mention_name,mention_type,mention_popularity,mention_address,mention_found_in_blogFiles
san jose city,toilets,87,"San José, South Market Street, Saint James Square Historic District, Japantown, San José, Santa Clara County, California, 95113, United States of America","beverly hills_and_san jose.json,long beach_and_san jose.json,pasadena_and_san jose.json"
st. andrews,residential,26,"Saint Andrews, Redhawk, Temecula, Riverside County, California, 92592, United States of America",fremont_and_santa ana.json
kanan dume road,primary,221,"Kanan Dume Road, Malibu, Los Angeles County, California, 90265, United States of America","bakersfield_and_malibu.json,beverly hills_and_monterey.json,long beach_and_malibu.json,malibu_and_napa.json,malibu_and_newport beach.json,malibu_and_pismo beach.json,malibu_and_santa cruz.json,malibu_and_santa monica.json"
turtle rock trail,track,108,"Turtle Rock Trail, Morro Bay, San Luis Obispo County, California, 93442, United States of America","mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"
blue springs,hamlet,30,"Blue Lake Springs, Calaveras County, California, United States of America",big bear lake_and_fremont.json
victoria gardens,mall,347,"Victoria Gardens, South Mainstreet, Rancho Cucamonga, San Bernardino County, California, 91739, United States of America","beverly hills_and_big bear lake.json,big bear lake_and_santa monica.json,big bear lake_and_temecula.json,long beach_and_san bernardino.json,san bernardino_and_san jose.json,san bernardino_and_santa barbara.json,san bernardino_and_santa monica.json,san bernardino_and_temecula.json,big bear lake_and_huntington beach.json,stockton_and_temecula.json"
piq berkeley,cafe,84,"PiQ, Addison Street, Downtown Berkeley, Berkeley, Alameda County, California, 94704, United States of America","berkeley_and_los angeles.json,berkeley_and_sacramento.json,berkeley_and_fremont.json"
muskegon,residential,27,"Muskegon Street, Burney, Shasta County, California, 96013, United States of America",monterey_and_riverside.json
south philly,fast_food,28,"Philly Frank's Steaks, South Rancho Santa Fe Road, Villa Vista Estates Mobil Home Park, San Elijo Hills, San Marcos, San Diego County, California, 92069, United States of America",pasadena_and_sacramento.json
cal poly san luis obispo,parking,456,"Cal Poly, Mount Bishop Road, Paso Robles, San Luis Obispo County, California, 93407, United States of America","avalon_and_pismo beach.json,berkeley_and_san luis obispo.json,big bear lake_and_san luis obispo.json,fremont_and_san luis obispo.json,long beach_and_pismo beach.json,pasadena_and_san luis obispo.json,pismo beach_and_san diego.json,pismo beach_and_san jose.json,pismo beach_and_san luis obispo.json,pismo beach_and_santa ana.json,pismo beach_and_stockton.json,oakland_and_pismo beach.json,san luis obispo_and_santa ana.json,san luis obispo_and_stockton.json"
el capitan state beach,park,375,"El Capitan State Beach, Bill Wallace Trail, Santa Barbara County, California, United States of America","anaheim_and_monterey.json,anaheim_and_san jose.json,anaheim_and_san luis obispo.json,anaheim_and_santa barbara.json,anaheim_and_santa cruz.json,berkeley_and_long beach.json,fremont_and_temecula.json,newport beach_and_santa barbara.json,san jose_and_san luis obispo.json,san jose_and_santa barbara.json,san luis obispo_and_santa cruz.json,san luis obispo_and_santa monica.json"
valhalla,cemetery,33,"Valhalla Memorial Park Cemetery, Burbank, Los Angeles County, California, 91504, United States of America",san bernardino_and_sausalito.json
visitor center,residential,27,"Visitor Centre, Solana Beach, San Diego County, California, 92075, United States of America",riverside_and_stockton.json
artesia,city,740,"Artesia, Los Angeles County, California, United States of America","bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,carlsbad_and_fremont.json,carlsbad_and_malibu.json,carlsbad_and_napa.json,carlsbad_and_riverside.json,carlsbad_and_santa ana.json,fresno_and_long beach.json,fresno_and_santa ana.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_riverside.json,sacramento_and_santa ana.json,santa monica_and_temecula.json"
south coast plaza,mall,2658,"South Coast Plaza, Bear Street, Costa Mesa, Orange County, California, 92704, United States of America","anaheim_and_avalon.json,anaheim_and_berkeley.json,anaheim_and_fremont.json,anaheim_and_fresno.json,anaheim_and_monterey.json,anaheim_and_newport beach.json,anaheim_and_oakland.json,anaheim_and_sacramento.json,anaheim_and_santa ana.json,anaheim_and_santa clarita.json,anaheim_and_sausalito.json,anaheim_and_stockton.json,avalon_and_big bear lake.json,avalon_and_fresno.json,avalon_and_oakland.json,avalon_and_riverside.json,avalon_and_san bernardino.json,anaheim_and_santa monica.json,beverly hills_and_carlsbad.json,beverly hills_and_pismo beach.json,avalon_and_santa barbara.json,avalon_and_santa monica.json,bakersfield_and_newport beach.json,bakersfield_and_sausalito.json,berkeley_and_huntington beach.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_newport beach.json,beverly hills_and_san jose.json,big bear lake_and_oakland.json,big bear lake_and_san jose.json,big bear lake_and_santa ana.json,big bear lake_and_santa cruz.json,big bear lake_and_santa monica.json,carlsbad_and_pasadena.json,carlsbad_and_santa barbara.json,fremont_and_huntington beach.json,fremont_and_newport beach.json,fremont_and_santa ana.json,fresno_and_huntington beach.json,fresno_and_long beach.json,fresno_and_pasadena.json,fresno_and_san diego.json,fresno_and_santa ana.json,fresno_and_santa barbara.json,fresno_and_santa monica.json,huntington beach_and_irvine.json,huntington beach_and_newport beach.json,huntington beach_and_oakland.json,huntington beach_and_san bernardino.json,huntington beach_and_san francisco.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa ana.json,huntington beach_and_santa clarita.json,huntington beach_and_sausalito.json,huntington beach_and_stockton.json,irvine_and_los angeles.json,irvine_and_santa ana.json,los angeles_and_san diego.json,los angeles_and_santa ana.json,malibu_and_newport beach.json,monterey_and_pasadena.json,monterey_and_san diego.json,monterey_and_newport beach.json,newport beach_and_oakland.json,newport beach_and_sacramento.json,newport beach_and_santa ana.json,newport beach_and_santa barbara.json,oakland_and_riverside.json,oakland_and_san diego.json,oakland_and_santa ana.json,oakland_and_santa barbara.json,pasadena_and_san jose.json,pasadena_and_santa ana.json,pismo beach_and_san bernardino.json,pismo beach_and_santa clarita.json,sacramento_and_santa ana.json,san bernardino_and_santa barbara.json,san bernardino_and_santa clarita.json,san bernardino_and_santa monica.json,san diego_and_santa ana.json,newport beach_and_sausalito.json,san luis obispo_and_santa clarita.json,santa barbara_and_santa clarita.json,santa barbara_and_stockton.json"
mesilla,residential,27,"Mesilla, Mission Viejo, Orange County, California, 92692, United States of America",carlsbad_and_santa ana.json
morgan hill,town,92,"Morgan Hill, Santa Clara County, California, United States of America","beverly hills_and_santa cruz.json,malibu_and_san jose.json,san jose_and_san luis obispo.json"
essex,hamlet,69,"Essex, San Bernardino County, California, United States of America","pasadena_and_san francisco.json,san bernardino_and_san francisco.json"
thousand island lake,water,329,"Thousand Island Lake, John Muir Trail, Tuolumne County, California, United States of America","bakersfield_and_mammoth lakes.json,bakersfield_and_sacramento.json,berkeley_and_fresno.json,fresno_and_long beach.json,fresno_and_sacramento.json,fresno_and_riverside.json,long beach_and_mammoth lakes.json,mammoth lakes_and_sacramento.json,mammoth lakes_and_stockton.json,riverside_and_sacramento.json,riverside_and_stockton.json"
north los angeles street los angeles,secondary,73,"North Los Angeles Street, Civic Center, Little Tokyo Historic District, LA, Los Angeles County, California, 90012, United States of America","san luis obispo_and_santa ana.json,san luis obispo_and_santa clarita.json"
cerritos,city,386,"Cerritos, Los Angeles County, California, United States of America","beverly hills_and_santa ana.json,long beach_and_santa monica.json,long beach_and_los angeles.json,los angeles_and_santa ana.json,los angeles_and_santa clarita.json,malibu_and_santa ana.json,pasadena_and_santa ana.json,pasadena_and_santa clarita.json,pasadena_and_santa monica.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa clarita.json,santa ana_and_santa monica.json"
artesia blvd,secondary,63,"Artesia Boulevard, Cerritos, Los Angeles County, California, 90701, United States of America","long beach_and_santa ana.json,long beach_and_santa clarita.json"
devils postpile national monument,national_park,64,"Devils Postpile National Monument, John Muir Trail, Madera County, California, United States of America","mammoth lakes_and_napa.json,mammoth lakes_and_santa barbara.json"
eastern sierra of california,aerodrome,31,"Eastern Sierra Regional Airport, Airport Road, Bishop Trail Park, Inyo County, California, 93515, United States of America",mammoth lakes_and_pasadena.json
pedego,bicycle,35,"Pedego Electric Bikes, 425, 1st Street, Avila Beach, San Luis Obispo County, California, 93424, United States of America",huntington beach_and_sausalito.json
water park,water,274,"water park, Gibson Street, Riverside, Riverside County, California, 92503, United States of America","anaheim_and_berkeley.json,anaheim_and_carlsbad.json,beverly hills_and_carlsbad.json,berkeley_and_carlsbad.json,carlsbad_and_fremont.json,carlsbad_and_monterey.json,carlsbad_and_oakland.json,carlsbad_and_riverside.json,carlsbad_and_sacramento.json,san diego_and_san jose.json"
descanso gardens,park,128,"Descanso Gardens, Descanso Drive, La Cañada Flintridge, Los Angeles County, California, 91011, United States of America","beverly hills_and_pasadena.json,beverly hills_and_santa clarita.json,huntington beach_and_pasadena.json,malibu_and_pasadena.json"
national forest,national_park,31,"Inyo National Forest, 1517, Mono County, California, United States of America",big bear lake_and_stockton.json
huntington beach,city,10560,"Huntington Beach, Orange County, California, United States of America","anaheim_and_avalon.json,anaheim_and_berkeley.json,anaheim_and_carlsbad.json,anaheim_and_fremont.json,anaheim_and_fresno.json,anaheim_and_huntington beach.json,anaheim_and_irvine.json,anaheim_and_long beach.json,anaheim_and_los angeles.json,anaheim_and_malibu.json,anaheim_and_monterey.json,anaheim_and_newport beach.json,anaheim_and_oakland.json,anaheim_and_pismo beach.json,anaheim_and_riverside.json,anaheim_and_sacramento.json,anaheim_and_san bernardino.json,anaheim_and_san diego.json,anaheim_and_san francisco.json,anaheim_and_san jose.json,anaheim_and_san luis obispo.json,anaheim_and_santa clarita.json,anaheim_and_santa cruz.json,anaheim_and_sausalito.json,anaheim_and_stockton.json,anaheim_and_temecula.json,avalon_and_bakersfield.json,avalon_and_big bear lake.json,avalon_and_fresno.json,avalon_and_huntington beach.json,avalon_and_irvine.json,avalon_and_long beach.json,avalon_and_monterey.json,avalon_and_oakland.json,avalon_and_riverside.json,avalon_and_san bernardino.json,avalon_and_san diego.json,avalon_and_san jose.json,avalon_and_san luis obispo.json,avalon_and_malibu.json,bakersfield_and_huntington beach.json,bakersfield_and_san bernardino.json,berkeley_and_long beach.json,beverly hills_and_carlsbad.json,beverly hills_and_pismo beach.json,avalon_and_santa barbara.json,avalon_and_santa clarita.json,avalon_and_santa cruz.json,avalon_and_santa monica.json,avalon_and_sausalito.json,bakersfield_and_beverly hills.json,bakersfield_and_long beach.json,bakersfield_and_mammoth lakes.json,bakersfield_and_monterey.json,bakersfield_and_newport beach.json,bakersfield_and_oakland.json,bakersfield_and_riverside.json,bakersfield_and_santa clarita.json,bakersfield_and_santa monica.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,bakersfield_and_temecula.json,berkeley_and_newport beach.json,berkeley_and_pismo beach.json,berkeley_and_san diego.json,berkeley_and_santa monica.json,berkeley_and_temecula.json,beverly hills_and_big bear lake.json,berkeley_and_huntington beach.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_newport beach.json,beverly hills_and_oakland.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_san jose.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,big bear lake_and_long beach.json,big bear lake_and_oakland.json,big bear lake_and_san jose.json,big bear lake_and_san luis obispo.json,big bear lake_and_santa ana.json,big bear lake_and_santa barbara.json,big bear lake_and_santa clarita.json,big bear lake_and_santa cruz.json,big bear lake_and_santa monica.json,big bear lake_and_sausalito.json,big bear lake_and_stockton.json,carlsbad_and_fresno.json,carlsbad_and_huntington beach.json,carlsbad_and_irvine.json,carlsbad_and_long beach.json,carlsbad_and_malibu.json,carlsbad_and_newport beach.json,carlsbad_and_oakland.json,carlsbad_and_pasadena.json,carlsbad_and_pismo beach.json,carlsbad_and_riverside.json,carlsbad_and_sacramento.json,carlsbad_and_san jose.json,carlsbad_and_santa barbara.json,carlsbad_and_santa clarita.json,carlsbad_and_santa cruz.json,carlsbad_and_santa monica.json,carlsbad_and_stockton.json,fremont_and_huntington beach.json,fremont_and_long beach.json,fremont_and_los angeles.json,fremont_and_malibu.json,fremont_and_newport beach.json,fremont_and_pasadena.json,fremont_and_pismo beach.json,fremont_and_san diego.json,fremont_and_santa ana.json,fremont_and_santa barbara.json,fremont_and_santa clarita.json,fremont_and_santa monica.json,fresno_and_huntington beach.json,fresno_and_irvine.json,fresno_and_long beach.json,fresno_and_los angeles.json,fresno_and_malibu.json,fresno_and_pasadena.json,fresno_and_san bernardino.json,fresno_and_san diego.json,fresno_and_santa ana.json,fresno_and_santa barbara.json,fresno_and_santa monica.json,fresno_and_temecula.json,huntington beach_and_irvine.json,huntington beach_and_long beach.json,huntington beach_and_los angeles.json,huntington beach_and_mammoth lakes.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_newport beach.json,huntington beach_and_oakland.json,huntington beach_and_pasadena.json,huntington beach_and_pismo beach.json,huntington beach_and_riverside.json,huntington beach_and_sacramento.json,huntington beach_and_san bernardino.json,huntington beach_and_san diego.json,huntington beach_and_san francisco.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa ana.json,huntington beach_and_santa barbara.json,huntington beach_and_santa clarita.json,huntington beach_and_santa cruz.json,huntington beach_and_santa monica.json,huntington beach_and_sausalito.json,huntington beach_and_stockton.json,huntington beach_and_temecula.json,irvine_and_long beach.json,irvine_and_los angeles.json,irvine_and_malibu.json,irvine_and_monterey.json,irvine_and_newport beach.json,irvine_and_pismo beach.json,irvine_and_sacramento.json,irvine_and_san diego.json,irvine_and_san jose.json,irvine_and_santa barbara.json,irvine_and_santa cruz.json,irvine_and_santa monica.json,irvine_and_sausalito.json,carlsbad_and_los angeles.json,huntington beach_and_malibu.json,huntington beach_and_san jose.json,irvine_and_temecula.json,long beach_and_napa.json,long beach_and_newport beach.json,long beach_and_oakland.json,long beach_and_pasadena.json,long beach_and_pismo beach.json,long beach_and_riverside.json,long beach_and_sacramento.json,long beach_and_san bernardino.json,long beach_and_san diego.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_san luis obispo.json,long beach_and_santa ana.json,long beach_and_santa clarita.json,long beach_and_santa cruz.json,long beach_and_santa monica.json,long beach_and_stockton.json,long beach_and_temecula.json,los angeles_and_malibu.json,los angeles_and_napa.json,long beach_and_los angeles.json,long beach_and_malibu.json,los angeles_and_pismo beach.json,los angeles_and_riverside.json,los angeles_and_san diego.json,los angeles_and_san francisco.json,los angeles_and_san jose.json,los angeles_and_santa ana.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,los angeles_and_temecula.json,malibu_and_napa.json,malibu_and_newport beach.json,malibu_and_pasadena.json,malibu_and_pismo beach.json,malibu_and_riverside.json,malibu_and_sacramento.json,malibu_and_san diego.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_santa ana.json,malibu_and_santa barbara.json,malibu_and_santa cruz.json,malibu_and_sausalito.json,malibu_and_stockton.json,mammoth lakes_and_riverside.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_temecula.json,monterey_and_pasadena.json,monterey_and_san bernardino.json,monterey_and_san diego.json,monterey_and_santa barbara.json,napa_and_newport beach.json,napa_and_pismo beach.json,napa_and_san diego.json,napa_and_san luis obispo.json,napa_and_santa monica.json,long beach_and_monterey.json,long beach_and_santa barbara.json,los angeles_and_newport beach.json,los angeles_and_santa cruz.json,malibu_and_monterey.json,malibu_and_santa clarita.json,mammoth lakes_and_pismo beach.json,monterey_and_newport beach.json,monterey_and_santa monica.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_riverside.json,newport beach_and_sacramento.json,newport beach_and_san bernardino.json,newport beach_and_san diego.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,newport beach_and_san luis obispo.json,newport beach_and_santa ana.json,newport beach_and_santa barbara.json,newport beach_and_santa clarita.json,newport beach_and_santa cruz.json,newport beach_and_santa monica.json,newport beach_and_stockton.json,newport beach_and_temecula.json,oakland_and_pasadena.json,oakland_and_riverside.json,oakland_and_san bernardino.json,oakland_and_san diego.json,oakland_and_san luis obispo.json,oakland_and_santa ana.json,oakland_and_santa barbara.json,oakland_and_santa clarita.json,oakland_and_santa monica.json,pasadena_and_pismo beach.json,pasadena_and_riverside.json,pasadena_and_sacramento.json,pasadena_and_san diego.json,pasadena_and_san francisco.json,pasadena_and_san jose.json,pasadena_and_san luis obispo.json,pasadena_and_santa ana.json,pasadena_and_santa cruz.json,pasadena_and_sausalito.json,pasadena_and_stockton.json,pismo beach_and_riverside.json,pismo beach_and_san bernardino.json,pismo beach_and_san diego.json,pismo beach_and_santa ana.json,pismo beach_and_santa clarita.json,pismo beach_and_santa monica.json,pismo beach_and_sausalito.json,pismo beach_and_stockton.json,riverside_and_sacramento.json,riverside_and_san diego.json,riverside_and_san francisco.json,riverside_and_santa monica.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_san luis obispo.json,sacramento_and_santa ana.json,sacramento_and_santa barbara.json,sacramento_and_santa clarita.json,sacramento_and_santa monica.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san bernardino_and_santa ana.json,san bernardino_and_santa barbara.json,san bernardino_and_santa clarita.json,san bernardino_and_santa monica.json,san bernardino_and_sausalito.json,san diego_and_san jose.json,san diego_and_san luis obispo.json,san diego_and_santa ana.json,san diego_and_santa barbara.json,san diego_and_santa clarita.json,san diego_and_santa cruz.json,san diego_and_santa monica.json,san diego_and_sausalito.json,san diego_and_stockton.json,san diego_and_temecula.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa clarita.json,san francisco_and_santa monica.json,san francisco_and_temecula.json,san jose_and_santa barbara.json,sacramento_and_san bernardino.json,newport beach_and_pismo beach.json,newport beach_and_sausalito.json,oakland_and_pismo beach.json,riverside_and_santa ana.json,san bernardino_and_stockton.json,san jose_and_santa monica.json,santa clarita_and_sausalito.json,big bear lake_and_huntington beach.json,san jose_and_temecula.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa clarita.json,san luis obispo_and_santa monica.json,san luis obispo_and_sausalito.json,santa barbara_and_santa clarita.json,santa barbara_and_santa cruz.json,santa barbara_and_santa monica.json,santa barbara_and_sausalito.json,santa barbara_and_stockton.json,santa cruz_and_santa monica.json,santa monica_and_sausalito.json,santa monica_and_stockton.json,santa monica_and_temecula.json,stockton_and_temecula.json"
huntington garden,city,27,"Huntington Beach, Orange County, California, United States of America",pasadena_and_sausalito.json
zabriskie point,viewpoint,133,"Zabriskie Point, Zabriskie Point Trail, Inyo County, California, United States of America","avalon_and_napa.json,avalon_and_oakland.json,fremont_and_pasadena.json,malibu_and_santa barbara.json,santa barbara_and_sausalito.json"
pacific dunes ranch,caravan_site,264,"Pacific Dunes Ranch RV Resort, 1205, Silver Spur Place, Halcyon, San Luis Obispo County, California, 93445, United States of America","avalon_and_monterey.json,carlsbad_and_monterey.json,irvine_and_monterey.json,long beach_and_pismo beach.json,long beach_and_san luis obispo.json,los angeles_and_monterey.json,los angeles_and_pismo beach.json,monterey_and_pasadena.json,monterey_and_pismo beach.json"
long valley caldera,volcano,267,"Long Valley Caldera, Mono County, California, United States of America","bakersfield_and_mammoth lakes.json,fremont_and_mammoth lakes.json,mammoth lakes_and_pasadena.json,mammoth lakes_and_riverside.json,mammoth lakes_and_sacramento.json,mammoth lakes_and_san bernardino.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_temecula.json"
north tijuana,city,33,"Tijuana, Baja California, México",san bernardino_and_san diego.json
lake kaweah,water,52,"Lake Kaweah, Sierra Drive, Lemon Cove, Tulare County, California, 93244, United States of America","bakersfield_and_carlsbad.json,fresno_and_irvine.json"
staples center,stadium,1293,"Staples Center, Figueroa Street, South Park, Saint James Park, LA, Los Angeles County, California, 90015, United States of America","anaheim_and_riverside.json,avalon_and_beverly hills.json,avalon_and_pasadena.json,beverly hills_and_carlsbad.json,bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,beverly hills_and_fremont.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_irvine.json,beverly hills_and_long beach.json,beverly hills_and_los angeles.json,beverly hills_and_malibu.json,beverly hills_and_oakland.json,beverly hills_and_pasadena.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_san diego.json,beverly hills_and_santa ana.json,beverly hills_and_stockton.json,beverly hills_and_temecula.json,fresno_and_long beach.json,fresno_and_santa ana.json,huntington beach_and_oakland.json,huntington beach_and_santa clarita.json,irvine_and_long beach.json,long beach_and_pasadena.json,long beach_and_riverside.json,long beach_and_san bernardino.json,los angeles_and_pasadena.json,los angeles_and_santa monica.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,oakland_and_riverside.json,oakland_and_santa ana.json,pasadena_and_riverside.json,sacramento_and_santa ana.json,san bernardino_and_santa monica.json,riverside_and_santa ana.json,santa monica_and_temecula.json"
