youTubeLinkIds@sourceA,attraction_name@sourceA,attraction_knownFor@sourceA,attraction_reviewComment@sourceA,attraction_ranking@sourceA,attraction_no_of_reviews@sourceA,attraction_contact@sourceA,attraction_in@sourceA,attraction_address@sourceA,attraction_url@sourceA,attraction_in_file@sourceA,mention_name@sourceB,mention_popularity@sourceB,mention_longitude@sourceB,mention_latitude@sourceB,no_of_blogFiles@sourceB,Confidence
"KucHuKht_hM,ntHcyqudMKI,qpeZn4c3FeM",Stacy's Wine Tours,,,1,11,+1 707-266-6168,American Canyon,"American Canyon , CA 94558",https://www.tripadvisor.com/Attraction_Review-g29091-d4431643-Reviews-Stacy_s_Wine_Tours-American_Canyon_Napa_Valley_California.html,american_canyon.json,american canyon,2,-122.2608043,38.1749179,3,100
"CiMiOCARgn4,Q8ErOOcQ-hc,3vLZT5hfrJk",California Winery Shuttle & Private Tours,,"Sanoma wine tour was excellant! Well informed driver, not too talkative. Ravenswood winery had a great naritive by the local herbologist.",4,6,+1 707-704-8033,American Canyon,"100 Tower Rd , American Canyon , CA 94503-9650",https://www.tripadvisor.com/Attraction_Review-g29091-d1873751-Reviews-California_Winery_Shuttle_Private_Tours-American_Canyon_Napa_Valley_California.html,american_canyon.json,american canyon,2,-122.2608043,38.1749179,3,100
"oEpL0i_GFuA,3-4QX8Ip3_M,i0IJkKwYHog",Disneyland Park,,I love this place! But it is pricy so come prepared. As alway Disneyland was a great experience. Only a few rides were closed down so it wasn't so bad. The wait lines were not too... read more,2,"19,799",(714) 781-4565,Anaheim,"1313 Disneyland Dr , Anaheim , CA 92803-3232",https://www.tripadvisor.com/Attraction_Review-g29092-d103346-Reviews-Disneyland_Park-Anaheim_California.html,anaheim.json,anaheim,255,-117.9117319,33.8347516,192,100
"PEIeRffIuJc,or17pUlBXSA,CDY-88rq1Ww",Yorba Regional Park,Neighborhood: Anaheim Hlls Nature & Parks,"Wonderful for all outdoor activity. Many trails around man made lakes with ducks and squirrels. I love to take my dog for walks in the park but it is a great place to bike, hike... read more",24,70,+1 714-973-6615,Anaheim,"7600 E La Palma Ave , Anaheim , CA 92807-2444",https://www.tripadvisor.com/Attraction_Review-g29092-d280446-Reviews-Yorba_Regional_Park-Anaheim_California.html,anaheim.json,anaheim,255,-117.9117319,33.8347516,192,100
"wOg0mLZg0Lg,8h0sE5bgsVM,IOBA3EOcVvQ",Founder's Park,,Founder's Park has a great overview of Anaheim history. Interpretive panels and wonderfully restored buildings give a nice glimpse into Anaheim's past and its German roots. Worth... read more,96,5,7147656453,Anaheim,"400 N West St , Anaheim , CA 92801-5953",https://www.tripadvisor.com/Attraction_Review-g29092-d10000014-Reviews-Founder_s_Park-Anaheim_California.html,anaheim.json,anaheim,255,-117.9117319,33.8347516,192,100
"yn8levMEE3o,9461ACY7Wm0,VwU4wiWJQGQ",Hobby City Doll and Toy Museum,,Larger than you might think. Something for everyone. Will bring back memories or teach you about toys of the past.,98,14,+1 714-527-2323,Anaheim,"1238 S Beach Blvd , Anaheim , CA 92804",https://www.tripadvisor.com/Attraction_Review-g29092-d280444-Reviews-Hobby_City_Doll_and_Toy_Museum-Anaheim_California.html,anaheim.json,anaheim,255,-117.9117319,33.8347516,192,100
"sjl8XYmHBSg,QRpssUc0GVM,yfcnmPu9KEU",Angel Stadium of Anaheim,,"I have been coming to the Angel Stadium since 1977. The stadium is nice, but old. They did remodels to the stadium, but not really that much to make it as nice as other stadiums... read more",5,"1,197",+1 714-940-2000,Anaheim,"2000 E Gene Autry Way , Anaheim , CA 92806-6143",https://www.tripadvisor.com/Attraction_Review-g29092-d630476-Reviews-Angel_Stadium_of_Anaheim-Anaheim_California.html,anaheim.json,anaheim,255,-117.9117319,33.8347516,192,100
"eF65hscWR-w,CZcauLf1Fnk,Q7N8gAaSfBY",Bruery Terreux,"ニ_ニ_ニ_ Trendy Cool New Brewery ニ_ニ_ニ_ Reviewed August 12, 2016 We had the chance to check out the Bruery's newest family member, Bruery Terreux. Just opened July 8th, this spot is going to quickly become very popular. The Bruery has some great beers and now Bruery Terreux is showcasing their wilds and sours, all barrel aged. The brewery is fabulous, very trendy with plenty of space. You will find a... More Helpful? Thank beetrvln Report",,131,,,Anaheim,,https://www.tripadvisor.com/Attraction_Review-g29092-d10665011-Reviews-Bruery_Terreux-Anaheim_California.html,anaheim.json,anaheim,255,-117.9117319,33.8347516,192,100
"WMMiZFPYg6M,4N0otrMuh7E,zYx8qT3ueXw",Space Mountain,,They've upgraded the ride and effects since I have gone last time. Very much enjoyed all parts of the ride. Love the speed and the picture at the end!,27,56,,Anaheim,"1313 Disneyland Drive , Tomorrowland , Anaheim , CA",https://www.tripadvisor.com/Attraction_Review-g29092-d8563065-Reviews-Space_Mountain-Anaheim_California.html,anaheim.json,anaheim,255,-117.9117319,33.8347516,192,100
"0BCIfYc9r8s,MLPnHxqnfUo,SplU-hnML7M",Splash Mountain,,"Splash Mountain is one of the iconic attractions in Disneyland and as memorable as Pirates, Haunted Mansion or Indiana Jones Adventure. It would be hard to imagine that anyone... read more",39,26,,Anaheim,"1313 Disneyland Drive , Critter Country , Anaheim , CA",https://www.tripadvisor.com/Attraction_Review-g29092-d8563061-Reviews-Splash_Mountain-Anaheim_California.html,anaheim.json,anaheim,255,-117.9117319,33.8347516,192,100
"ZKPHeT_cJLA,VmbRdQbghyM,WjikgpDs_Q4",New Beer Garden,,This is a little bar with great outdoor seating. The owners own made bacon cheeseburgers are by far the best we've ever had; ever. Priced reasonably,10,3,+1 925-726-6572,Antioch,"809 W 2nd St , Antioch , CA 94509-1144",https://www.tripadvisor.com/Attraction_Review-g29099-d6198242-Reviews-New_Beer_Garden-Antioch_California.html,antioch.json,antioch,5,-121.8057889,38.0049214,15,100
"vC0WwuMhDEI,gglc0amNzCI,jGfgfQtpmmg",NorCal Destinations Private Day Tours,,"We booked Alberto for a private tour of Muir woods and Wine country. Alberto took care of everything, and made the whole adventure amazing. He was knowledgable about the area... read more",5,4,+1 925-238-8690,Antioch,"4464 Lone Tree Way # 302 , Antioch , CA 94531-7413",https://www.tripadvisor.com/Attraction_Review-g29099-d6367055-Reviews-NorCal_Destinations_Private_Day_Tours-Antioch_California.html,antioch.json,antioch,5,-121.8057889,38.0049214,15,100
"vqo7TpXe7xM,e_ZyTdhYXAo,OIpKHTSYiAU",The Red Caboose,"ニ_ニ_ニ_ Good food ニ_ニ_ニ_ Reviewed June 26, 2016 This is an old caboose that has been turned into a restaurant, there is a bar on one side and they serve great burgers and fries. It is a cash only place. Helpful? Thank 925justin Report",,12,,,Antioch,,https://www.tripadvisor.com/Attraction_Review-g29099-d5835061-Reviews-The_Red_Caboose-Antioch_California.html,antioch.json,antioch,5,-121.8057889,38.0049214,15,100
"jOkXjtpqbDQ,yZEHNJj2XpA,Muazt-72mqU",Lone Tree Golf Course,,"We were recently given a 50th Wedding Anniversary celebration at this venue. The room, view, food, and service was fantastic. The compliments received from the guests especially... read more",3,23,+1 925-706-4220,Antioch,"4800 Golf Course Rd , Antioch , CA 94531-8012",https://www.tripadvisor.com/Attraction_Review-g29099-d218943-Reviews-Lone_Tree_Golf_Course-Antioch_California.html,antioch.json,antioch,5,-121.8057889,38.0049214,15,100
"BFgv9uLYbpE,ukFdMjz8EJI,6BMGth7Yi3c",Paradise Skate Roller Rink,,"If you need a place to take the kids that isn't going to break the bank, this is the spot. They have improved the skate floor, so there are no more cracks in the concrete. You... read more",11,2,(925)779-0200,Antioch,"1201 W 10th St , Antioch , CA 94509-1406",https://www.tripadvisor.com/Attraction_Review-g29099-d8389754-Reviews-Paradise_Skate_Roller_Rink-Antioch_California.html,antioch.json,antioch,5,-121.8057889,38.0049214,15,100
"sjQcaVyDXHo,25vjgD70F2U,RpQyRRu4MhI",Prewett Family Park,,Good place for some fun in the sun with friends and family. Great to see the lifeguards in all stations and in rotation every so minutes. Water park is more geared to older kids... read more,6,6,+1 925-776-3070,Antioch,"4701 Lone Tree Way , Antioch , CA 94531-8494",https://www.tripadvisor.com/Attraction_Review-g29099-d3331602-Reviews-Prewett_Family_Park-Antioch_California.html,antioch.json,antioch,5,-121.8057889,38.0049214,15,100
"27P6wlUwtH0,iT--ME0bWNY,oDEZM7D6-ic",Antioch Speedway,"ニ_ニ_ニ_ For a very fun Saturday night...here it is. ニ_ニ_ニ_ Reviewed May 14, 2016 The fairgrounds comes alive during the season with dirt track racing. There are many classes of cars that race there weekly. If you live in Antioch, you probably hear them anyhow, you might as well see them too. I just took my 3 year old grandson and he was extremely excited. As a word of caution: if your children are... More Helpful? 1 Thank Randy B Report",,8,2,,Antioch,,https://www.tripadvisor.com/Attraction_Review-g29099-d10314526-Reviews-Antioch_Speedway-Antioch_California.html,antioch.json,antioch,5,-121.8057889,38.0049214,15,100
"eXlYAw7Dcyo,vMG3Vk-7UJ8,_K-PzKHuQfQ",Black Diamond Mines Regional Preserve,Nature & Parks,I was really impressed with what the Regional Park service has done with these mines. Our guide was really informative and if you are interested in the history and economic... read more,1,84,+1 510-544-2750,Antioch,"5175 Somersville Rd , Antioch , CA 94509-7807",https://www.tripadvisor.com/Attraction_Review-g29099-d2457506-Reviews-Black_Diamond_Mines_Regional_Preserve-Antioch_California.html,antioch.json,antioch,5,-121.8057889,38.0049214,15,100
"paF5kxJ9BdM,WsXWClqOwjg,Pi9kcZ5QKas",Wilderness Park,,"Just be aware that it is closed on weekends unless you RSVP, so it's best to take the kids on a school holiday or half-day. They have a half-mile hiking trail, picnic tables, a... read more",8,7,+1 626-355-5309,Arcadia,"2240 Highland Oaks Dr , Arcadia , CA 91006-1527",https://www.tripadvisor.com/Attraction_Review-g29105-d2365898-Reviews-Wilderness_Park-Arcadia_California.html,arcadia.json,arcadia,11,-118.0401496,34.1362075,23,100
"TxPk-dsnnUI,YxZtK8DX_Fk,u8YbESmmJac",Westfield Santa Anita Shopping Center,,This shopping center is well designed and clean. You will find the basic shops and more. Good points : have two playgrounds for kids one outside and the other inside. Have a food... read more,5,38,(626) 445-3116,Arcadia,"400 S Baldwin Ave , Arcadia , CA 91007-1900",https://www.tripadvisor.com/Attraction_Review-g29105-d6915166-Reviews-Westfield_Santa_Anita_Shopping_Center-Arcadia_California.html,arcadia.json,arcadia,11,-118.0401496,34.1362075,23,100
"0xRt9jaAuWA,W4HKfgAfGdc,Yu3FDJL2n5U",Angeles National Forest,"Forests , National Parks , Nature & Parks","Spectacular, especially compared to other California ""forests"" that aren't. This one is lush and even has some fall colors. We came here from the southeast direction, from I-15N... read more",4,41,+1 626-574-5200,Arcadia,"701 N Santa Anita Ave , Arcadia , CA 91006-2725",https://www.tripadvisor.com/Attraction_Review-g29105-d207972-Reviews-Angeles_National_Forest-Arcadia_California.html,arcadia.json,arcadia,11,-118.0401496,34.1362075,23,100
"zhWkEYQ9PNM,GnqscBxJm4I,C8dR6gCJfaA",Los Angeles County Arboretum & Botanic Garden,"Historic Sites , Gardens , Sights & Landmarks , Nature & Parks","I wrote a review, regarding Queen Anne's Cottage. It is located inside the arboretum. I have had a membership for the past 4 years and it is worth it.",2,305,+1 626-821-3222,Arcadia,"301 N Baldwin Ave , Arcadia , CA 91007-2697",https://www.tripadvisor.com/Attraction_Review-g29105-d144146-Reviews-Los_Angeles_County_Arboretum_Botanic_Garden-Arcadia_California.html,arcadia.json,arcadia,11,-118.0401496,34.1362075,23,100
"T3kGjdrONj0,D_My2HGujqE",Santa Anita Race Park,"Horse Tracks , Fun & Games , Casinos & Gambling",The San Gabriel mountains are the perfect backdrop for this spectacular track location. Always fun at the track. Beautiful trees and gardens. Clean bathrooms. Great views anywhere... read more,1,278,+1 626-574-7223,Arcadia,"285 W Huntington Dr , Arcadia , CA 91007-3472",https://www.tripadvisor.com/Attraction_Review-g29105-d2482851-Reviews-Santa_Anita_Race_Park-Arcadia_California.html,arcadia.json,arcadia,11,-118.0401496,34.1362075,23,100
"VuNI79KYBto,nzxTbrz0fXo,KEik0pX6LY4",Vine Vera,Spas & Wellness,"I visited the Mall in Tallahassee, FL and saw the demonstration on the Vine vera products and loved them. I bought the day cream, the face peel and the wrinkle pen. I have used... read more",3,249,+1 626-447-0541,Arcadia,"400 S Baldwin Ave , Level 1 Store C39 , Arcadia , CA 91007-1900",https://www.tripadvisor.com/Attraction_Review-g29105-d6496840-Reviews-Vine_Vera-Arcadia_California.html,arcadia.json,arcadia,11,-118.0401496,34.1362075,23,100
"dJcOhj5C0EQ,5N9pEYHKGc4,W3XqdFnxm9A",Queen Anne Cottage and Coach Barn,,"I LOVE the arboretum!!! There is so much to see. I have been a member for the past four years. It is worth the cost. It is close by, so sometimes I go for a quick walk, In the... read more",6,15,626-821-3222,Arcadia,"301 N Baldwin Ave , Los Angeles County Arboretum and Botanic Garden , Arcadia , CA 91007-2697",https://www.tripadvisor.com/Attraction_Review-g29105-d8328059-Reviews-Queen_Anne_Cottage_and_Coach_Barn-Arcadia_California.html,arcadia.json,arcadia,11,-118.0401496,34.1362075,23,100
"OEHO9qdBQ1I,83Bmtcyip3o,W8nBPGYML4A",AMC Santa Anita 16,,"It's located at the Santa Anita Mall, so it's very convenient for people to shop, eat, and watch movies at the same place. They always have the newest movies in theaters and the... read more",11,4,(626) 321-4265,Arcadia,"400 S Baldwin Ave , Suite 940-u , Arcadia , CA 91007-1900",https://www.tripadvisor.com/Attraction_Review-g29105-d8797268-Reviews-AMC_Santa_Anita_16-Arcadia_California.html,arcadia.json,arcadia,11,-118.0401496,34.1362075,23,100
"YsBgN71AJcI,Lh-A3LofO2A,nYdYseEKM8E",Arcata Marsh and Wildlife Sanctuary,"Nature & Wildlife Areas , Nature & Parks","Despite any expectation you may have when thinking about water reclamation facilities this is a Great area for picnic lunch, part of the jog routine, walking your dog on its... read more",1,101,(707) 822-8184,Arcata,"Arcata , CA 95521",https://www.tripadvisor.com/Attraction_Review-g29106-d3982313-Reviews-Arcata_Marsh_and_Wildlife_Sanctuary-Arcata_Humboldt_County_California.html,arcata.json,arcata,5,-124.0828395,40.8665166,43,100
"CYHh_3x4pKA,VhebyUJ4UX8,iDpeHrbbhDg",Mad River Beach County Park,,"We stopped here with our grandson. He loved the dunes!! It was fun to get to taking off the beaten path roads. It was a bit windy but with the ocean and the dunes, there was a lot... read more",8,15,(707) 445-7491,Arcata,"150 Mad River Rd , Arcata , CA 95521",https://www.tripadvisor.com/Attraction_Review-g29106-d6833186-Reviews-Mad_River_Beach_County_Park-Arcata_Humboldt_County_California.html,arcata.json,arcata,5,-124.0828395,40.8665166,43,100
"13QV-i3scuo,4L7jXPFdF6U,kXdxWPlrNRE",Clam Beach County Park,"State Parks , Nature & Parks","When I went the fog was pretty prevalent, but it was nice out and walking on the beach was serene. The sand is soft, but there were quite a few smaller rocks that had washed up... read more",4,67,+1 707-445-7651,Arcata,"Humboldt County , Arcata , CA",https://www.tripadvisor.com/Attraction_Review-g29106-d1091877-Reviews-Clam_Beach_County_Park-Arcata_Humboldt_County_California.html,arcata.json,arcata,5,-124.0828395,40.8665166,43,100
"MAUXm8V8ZzY,o77BMj20-N4,3ivbrzzThWs",Los Bagels,,"This is a really unique spot to grab a bite to eat. It is not super-fancy, but the food is good and we go every time we are in the Arcata area. I went during the lunch rush and... read more",5,20,+1 707-822-3150,Arcata,"1061 I St , Arcata , CA 95521-5517",https://www.tripadvisor.com/Attraction_Review-g29106-d665615-Reviews-Los_Bagels-Arcata_Humboldt_County_California.html,arcata.json,arcata,5,-124.0828395,40.8665166,43,100
"cN58zXtTSqs,AwHRNUx8Xow,O53hRKQepjU",Mad River Hatchery,,"This is your basic hatchery for steelhead trout and rainbow trout, but it is an enjoyable experience along the Mad River. You can feed the fish with fish pellets and take a walk... read more",10,13,+1 707-822-0592,Arcata,"1660 Hatchery Rd , Arcata , CA 95521-9275",https://www.tripadvisor.com/Attraction_Review-g29106-d2509351-Reviews-Mad_River_Hatchery-Arcata_Humboldt_County_California.html,arcata.json,arcata,5,-124.0828395,40.8665166,43,100
"dV4pQJmVHoM,D-okvRbuKdc,x0QWiQC-r6o",Holly Yashi Store and Design Studio,,Holly Yashi is a beautiful store. The staff is friendly and helpful. The choices are amazing. And it's so nice to be able to see jewelry being designed and crafted on... read more,6,12,(707) 822-5132,Arcata,"1300 9th St , Arcata , CA 95521-5703",https://www.tripadvisor.com/Attraction_Review-g29106-d7050536-Reviews-Holly_Yashi_Store_and_Design_Studio-Arcata_Humboldt_County_California.html,arcata.json,arcata,5,-124.0828395,40.8665166,43,100
"sR1hCCK-hXE,qQUehy60E7s",Finnish Country Sauna & Tubs,,"I have there several times in the past, friendly service and easy, just call and make a reservation then show up and enjoy, small cafeteria but not bad drinks, some times the hot... read more",7,19,(707) 822-2228,Arcata,"495 J St , Arcata , CA 95521-6125",https://www.tripadvisor.com/Attraction_Review-g29106-d6697387-Reviews-Finnish_Country_Sauna_Tubs-Arcata_Humboldt_County_California.html,arcata.json,arcata,5,-124.0828395,40.8665166,43,100
"BsyY22zpARQ,3-aYUU_vIxg,KIkqewU_PSw",Arcata Farmers' Market,,"happy spot on the town square, musicians playing while strolling past lots of local farms produce and handmade foods and",3,30,,Arcata,"8th Street and 9th Street (G Street and H Street) , Arcata , CA 95518",https://www.tripadvisor.com/Attraction_Review-g29106-d8129322-Reviews-Arcata_Farmers_Market-Arcata_Humboldt_County_California.html,arcata.json,arcata,5,-124.0828395,40.8665166,43,100
"9OwSY2ethTM,j1v7oh1yLnQ,RqAlC213kyo",Talley Vineyards,"Wineries & Vineyards , Wine Tours & Tastings , Food & Drink , Tours","The Talley Winery is very beautiful, warm, comfortable winery perfect for a easy visit. Bruce Talley, a gracious host, was helping to serve. Delicious wines, mostly on the... read more",2,51,+1 805-489-0446,Arroyo Grande,"3031 Lopez Dr , Arroyo Grande , CA 93420-4999",https://www.tripadvisor.com/Attraction_Review-g29111-d2647230-Reviews-Talley_Vineyards-Arroyo_Grande_San_Luis_Obispo_County_California.html,arroyo_grande.json,arroyo grande,10,-120.5907251,35.1185869,39,100
"ypJQW3bEJ0c,MTvtBxZuqps",Heritage House Museum,,Wonderfully restored and furnished. You can wander through and see so much from the 1800's. The docents are very friendly and knowledgeable. Great place to visit for the whole... read more,12,5,+1 805-489-8282,Arroyo Grande,"126 South Mason Street , South County Historical Society , Arroyo Grande , CA 93420",https://www.tripadvisor.com/Attraction_Review-g29111-d6636869-Reviews-Heritage_House_Museum-Arroyo_Grande_San_Luis_Obispo_County_California.html,arroyo_grande.json,arroyo grande,10,-120.5907251,35.1185869,39,100
"6H3oAvyfDNw,MF2bAEyDhbU,UIjFqEUUHAk",Kynsi Winery,,Went during the week and we were the only people there. We got to meet the winemaker as harvest just finished. Our server was very knowledgeable as she works at several local... read more,7,26,+1 805-544-8461,Arroyo Grande,"2212 Corbett Canyon Rd , Arroyo Grande , CA 93420-4918",https://www.tripadvisor.com/Attraction_Review-g29111-d1894067-Reviews-Kynsi_Winery-Arroyo_Grande_San_Luis_Obispo_County_California.html,arroyo_grande.json,arroyo grande,10,-120.5907251,35.1185869,39,100
"vgW4bNYx3_U,wLSPJJ-25Os,4N8bfkGFUUM",Lopez Lake Recreation Area,"Bodies of Water , Nature & Parks","Camped at Lake Lopez for the first time for two nights. About nine miles out of Arroyo Grande, the rec are is set on Lake Lopez which is rapidly dwindling in size. You can still... read more",4,82,+1 805-489-1122,Arroyo Grande,"Lopez Drive , Arroyo Grande , CA 93420",https://www.tripadvisor.com/Attraction_Review-g29111-d146144-Reviews-Lopez_Lake_Recreation_Area-Arroyo_Grande_San_Luis_Obispo_County_California.html,arroyo_grande.json,arroyo grande,10,-120.5907251,35.1185869,39,100
"Jk8SteY415I,XX05_owF5js,8sj0JNirh8A",Bill's Place,,"Nice local bar and hangout on the main street of the Village of Arroyo Grande, the bar tender is very friendly and has a good sense of humor with the regulars and locals, we... read more",13,6,+1 805-489-9989,Arroyo Grande,"112 E Branch St , Arroyo Grande , CA 93420-2702",https://www.tripadvisor.com/Attraction_Review-g29111-d5833283-Reviews-Bill_s_Place-Arroyo_Grande_San_Luis_Obispo_County_California.html,arroyo_grande.json,arroyo grande,10,-120.5907251,35.1185869,39,100
"V2uBky8Fyfg,gF2ml7oy_so,UygHnEuEP_I",Rutiz Family Farms,,"Super local, super fresh seasonal vegetables, fruits, & herbs. On Tues. Friday, & Sat. they are open most of the year. Late Summer/ Fall they usually have U-Pick blackberries... read more",5,30,,Arroyo Grande,"1075 The Pike , Arroyo Grande , CA 93420-4207",https://www.tripadvisor.com/Attraction_Review-g29111-d4833586-Reviews-Rutiz_Family_Farms-Arroyo_Grande_San_Luis_Obispo_County_California.html,arroyo_grande.json,arroyo grande,10,-120.5907251,35.1185869,39,100
"JOGz4_HZTms,uFMnn-Ix6pY",Vista Lago Adventure Park,,"Took our daughters over the Labor Day weekend. They had a blast!! The loved the little course and the zip line! They wanted to do more, we're definitely coming back and doing more... read more",9,10,(805) 710-7970,Arroyo Grande,"6820 Lopez Dr , Lopez Lake Recreation Area , Arroyo Grande , CA 93420-4985",https://www.tripadvisor.com/Attraction_Review-g29111-d7267955-Reviews-Vista_Lago_Adventure_Park-Arroyo_Grande_San_Luis_Obispo_County_California.html,arroyo_grande.json,arroyo grande,10,-120.5907251,35.1185869,39,100
"mkttUbQ2jVA,pTVaGt4w_6c,4qUfuGmvYN8",Laetitia Vineyard and Winery,"Wineries & Vineyards , Food & Drink",I'm not so much of a wine fanatic and I've never been to a vineyard before but this experience was unforgettable. Went there as a guest of my friend who was a member of their... read more,1,87,+1 805-481-1772,Arroyo Grande,"453 Laetitia Vineyard Dr , Arroyo Grande , CA 93420-9701",https://www.tripadvisor.com/Attraction_Review-g29111-d2409057-Reviews-Laetitia_Vineyard_and_Winery-Arroyo_Grande_San_Luis_Obispo_County_California.html,arroyo_grande.json,arroyo grande,10,-120.5907251,35.1185869,39,100
"k-1p_-cprHw,5L8PTAKiBKg,qkMJPZT_TKE",Stadium Park,,A good workout right in town with nice views and well maintained trails. You can't beat this for what seems way away from the town yet right in the heart of Atascadero.,7,6,,Atascadero,"Atascadero , CA 93422",https://www.tripadvisor.com/Attraction_Review-g29115-d8453057-Reviews-Stadium_Park-Atascadero_San_Luis_Obispo_County_California.html,atascadero.json,atascadero,11,-120.6707254,35.4894169,79,100
