mention_name,mention_type,mention_popularity,mention_address,mention_longitude,mention_latitude,no_of_blogFiles,mention_found_in_blogFiles,youTubeLinkIds
riverside national cemetery,cemetery,3,"Riverside National Cemetery, 22495, Alessandro, Riverside County, California, 92518, United States of America",-117.270726607134,33.87692125,140,"anaheim_and_avalon.json,anaheim_and_bakersfield.json,anaheim_and_berkeley.json,anaheim_and_carlsbad.json,anaheim_and_fremont.json,anaheim_and_fresno.json,anaheim_and_malibu.json,anaheim_and_mammoth lakes.json,anaheim_and_monterey.json,anaheim_and_oakland.json,anaheim_and_riverside.json,anaheim_and_sacramento.json,anaheim_and_san bernardino.json,anaheim_and_san diego.json,anaheim_and_san jose.json,anaheim_and_sausalito.json,anaheim_and_temecula.json,avalon_and_bakersfield.json,avalon_and_berkeley.json,avalon_and_fremont.json,avalon_and_fresno.json,avalon_and_irvine.json,avalon_and_mammoth lakes.json,avalon_and_monterey.json,avalon_and_oakland.json,avalon_and_pasadena.json,avalon_and_pismo beach.json,avalon_and_riverside.json,avalon_and_sacramento.json,avalon_and_san bernardino.json,avalon_and_san diego.json,avalon_and_san jose.json,avalon_and_malibu.json,avalon_and_santa ana.json,bakersfield_and_san bernardino.json,beverly hills_and_carlsbad.json,beverly hills_and_sausalito.json,avalon_and_santa barbara.json,avalon_and_santa cruz.json,avalon_and_sausalito.json,avalon_and_temecula.json,bakersfield_and_beverly hills.json,bakersfield_and_carlsbad.json,bakersfield_and_fremont.json,bakersfield_and_irvine.json,bakersfield_and_malibu.json,bakersfield_and_mammoth lakes.json,bakersfield_and_monterey.json,bakersfield_and_oakland.json,bakersfield_and_pasadena.json,bakersfield_and_riverside.json,bakersfield_and_san francisco.json,bakersfield_and_san jose.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,bakersfield_and_temecula.json,berkeley_and_malibu.json,berkeley_and_riverside.json,berkeley_and_san bernardino.json,berkeley_and_beverly hills.json,berkeley_and_carlsbad.json,berkeley_and_irvine.json,beverly hills_and_fremont.json,beverly hills_and_fresno.json,beverly hills_and_oakland.json,beverly hills_and_riverside.json,beverly hills_and_temecula.json,carlsbad_and_fremont.json,carlsbad_and_fresno.json,carlsbad_and_huntington beach.json,carlsbad_and_irvine.json,carlsbad_and_mammoth lakes.json,carlsbad_and_monterey.json,carlsbad_and_oakland.json,carlsbad_and_pasadena.json,carlsbad_and_riverside.json,carlsbad_and_sacramento.json,carlsbad_and_sausalito.json,fremont_and_irvine.json,fremont_and_malibu.json,fremont_and_pasadena.json,fremont_and_san bernardino.json,fremont_and_temecula.json,fresno_and_irvine.json,fresno_and_malibu.json,fresno_and_pasadena.json,fresno_and_san bernardino.json,fresno_and_san diego.json,fresno_and_temecula.json,irvine_and_monterey.json,irvine_and_oakland.json,irvine_and_riverside.json,irvine_and_san bernardino.json,irvine_and_san jose.json,irvine_and_sausalito.json,fremont_and_riverside.json,fresno_and_riverside.json,irvine_and_pasadena.json,malibu_and_oakland.json,malibu_and_riverside.json,malibu_and_san diego.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_stockton.json,malibu_and_temecula.json,mammoth lakes_and_pasadena.json,malibu_and_mammoth lakes.json,mammoth lakes_and_riverside.json,mammoth lakes_and_temecula.json,monterey_and_pasadena.json,monterey_and_riverside.json,monterey_and_temecula.json,malibu_and_monterey.json,newport beach_and_sacramento.json,oakland_and_pasadena.json,oakland_and_riverside.json,oakland_and_san bernardino.json,pasadena_and_riverside.json,pasadena_and_sacramento.json,pasadena_and_san francisco.json,pasadena_and_san jose.json,pasadena_and_sausalito.json,pasadena_and_stockton.json,riverside_and_sacramento.json,riverside_and_san bernardino.json,riverside_and_san jose.json,riverside_and_sausalito.json,riverside_and_stockton.json,san bernardino_and_sausalito.json,san bernardino_and_temecula.json,san diego_and_sausalito.json,san diego_and_stockton.json,san francisco_and_temecula.json,sacramento_and_san diego.json,oakland_and_temecula.json,pasadena_and_san bernardino.json,irvine_and_stockton.json,san jose_and_temecula.json,sausalito_and_temecula.json,stockton_and_temecula.json","gwQUVuAxmh8,-wWoKctT58M,Wo4lhQRqfY0"
quigley canyon,residential,1,"Quigley Canyon Road, Newhall, Santa Clarita, Los Angeles County, California, 91321, United States of America",-118.5166861,34.3860127,1,los angeles_and_santa clarita.json,"tqr2YC7_eeo,gZAqR6YL__Y,miya6raSJyc"
luckie park,park,1,"Luckie Park, Mojave Road, San Bernardino County, California, United States of America",-116.0380661,35.1485944,10,"avalon_and_big bear lake.json,bakersfield_and_big bear lake.json,berkeley_and_big bear lake.json,big bear lake_and_fremont.json,big bear lake_and_monterey.json,big bear lake_and_napa.json,big bear lake_and_oakland.json,big bear lake_and_san diego.json,big bear lake_and_sausalito.json,big bear lake_and_stockton.json","PtmmVFLybd8,KK36gyBMd04,nJ4myObo0KQ"
arista street,residential,1,"Arista Street, Old Town, San Diego, San Diego County, California, 92103, United States of America",-117.1897859,32.755437,10,"anaheim_and_carlsbad.json,avalon_and_carlsbad.json,avalon_and_temecula.json,bakersfield_and_temecula.json,berkeley_and_carlsbad.json,beverly hills_and_temecula.json,carlsbad_and_newport beach.json,carlsbad_and_riverside.json,carlsbad_and_san jose.json,san jose_and_temecula.json","vCjBm6jqLQA,74-gZH6XalQ,YzdMachz6Vk"
shaffer road,tertiary,2,"Shaffer Road, Westside, Santa Cruz, Santa Cruz County, California, 95060, United States of America",-122.0621835,36.9612912,2,"fremont_and_santa cruz.json,san jose_and_santa cruz.json","yMMP2pSDLHk,Y5h9qp9ZPKU,nEqJkVWFUkA"
fallen leaf lake,water,1,"Fallen Leaf Lake, Fallen Leaf Road, Fallen Leaf, El Dorado County, California, 96158, United States of America",-120.062583089286,38.900458,1,fresno_and_huntington beach.json,"jf6TSh3mwfY,C6_ynd3e8_4,dQ3tbD4rMtM"
pixieland,theme_park,1,"Pixieland Amusement Park, Windy Grove Cars, Concord, Contra Costa County, California, 94519, United States of America",-122.021839297124,37.9894542,8,"berkeley_and_fremont.json,fremont_and_oakland.json,fremont_and_sacramento.json,fremont_and_san francisco.json,fremont_and_sausalito.json,long beach_and_oakland.json,oakland_and_san jose.json,sacramento_and_san francisco.json","RIGj1srSdQ0,7RDz-4BxCDE,-4fNMWU9fgA"
carson pass,saddle,1,"Carson Pass, CA 88, Alpine County, California, United States of America",-119.9886384,38.6942607,1,mammoth lakes_and_napa.json,"Zz9vSEHjtEc,BHXCYoQVu-8,COpFhTc1-nk"
ojai valley museum,museum,2,"Ojai Valley Historical Museum, 130, West Ojai Avenue, Ojai, Ventura County, California, 93023, United States of America",-119.2477623,34.4478991,31,"avalon_and_monterey.json,avalon_and_santa cruz.json,big bear lake_and_santa barbara.json,big bear lake_and_santa cruz.json,fremont_and_santa barbara.json,fresno_and_santa barbara.json,long beach_and_santa cruz.json,napa_and_santa ana.json,napa_and_santa barbara.json,napa_and_santa clarita.json,napa_and_santa monica.json,long beach_and_santa barbara.json,pasadena_and_santa barbara.json,pasadena_and_santa cruz.json,riverside_and_santa barbara.json,sacramento_and_santa ana.json,sacramento_and_santa barbara.json,sacramento_and_santa monica.json,san bernardino_and_santa barbara.json,san diego_and_santa cruz.json,san diego_and_santa monica.json,san francisco_and_santa barbara.json,san francisco_and_santa monica.json,santa ana_and_santa barbara.json,santa ana_and_santa cruz.json,santa ana_and_stockton.json,santa barbara_and_santa clarita.json,santa barbara_and_santa cruz.json,santa barbara_and_santa monica.json,santa barbara_and_temecula.json,santa cruz_and_santa monica.json","c93SNzQlwyw,Rf-HnqaiV9E"
cliff drive,residential,2,"Cliff Drive, Mount Washington, Highland Park, LA, Los Angeles County, California, 90065-1256, United States of America",-118.2273464,34.0994131,3,"avalon_and_long beach.json,avalon_and_los angeles.json,santa clarita_and_temecula.json","gE8698Uaw3Q,jilD_lyqMR8,LONRNnZ0cUk"
gilroy gardens,residential,2,"Gilroy Garden, Gilroy, Santa Clara County, California, 95036, United States of America",-121.585536992967,37.0288343,2,"anaheim_and_san francisco.json,monterey_and_santa cruz.json","8L8c-aIKH-o,OIu0--kgo_g,HwHeXjwxTwE"
edwards air force base,administrative,1,"Edwards Air Force Base, Forbes Avenue, Wherry Housing, Kern County, California, 93523, United States of America",-117.943953225678,34.900814,6,"anaheim_and_mammoth lakes.json,avalon_and_mammoth lakes.json,beverly hills_and_mammoth lakes.json,los angeles_and_mammoth lakes.json,mammoth lakes_and_pasadena.json,mammoth lakes_and_santa clarita.json","JmRumT54DrU,oqkV_l-g9Mc,jXnlHmz-e74"
olympia,hamlet,2,"Olympia, Santa Cruz County, California, United States of America",-122.0585742,37.0696702,4,"berkeley_and_sacramento.json,fremont_and_santa barbara.json,sacramento_and_san jose.json,sacramento_and_san francisco.json","zK6Jt3Gxeao,pQobu0xCkeI,P10-zXCv1bM"
napa creek,stream,1,"Napa Creek, Napa, Napa County, California, United States of America",-122.2894245,38.300481,2,"napa_and_riverside.json,napa_and_santa clarita.json","mzdP9k9m--I,V4OtvDBLWOk"
bodega bay,bay,10,"Bodega Bay, Estero Lane, Bodega Bay, Sonoma County, California, United States of America",-123.0061117,38.273529,58,"anaheim_and_santa cruz.json,avalon_and_oakland.json,avalon_and_sacramento.json,avalon_and_santa cruz.json,bakersfield_and_sacramento.json,bakersfield_and_sausalito.json,berkeley_and_riverside.json,berkeley_and_sacramento.json,berkeley_and_carlsbad.json,carlsbad_and_santa cruz.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_san francisco.json,huntington beach_and_santa cruz.json,irvine_and_monterey.json,irvine_and_sacramento.json,irvine_and_san jose.json,irvine_and_santa cruz.json,huntington beach_and_san jose.json,long beach_and_napa.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_santa cruz.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_santa cruz.json,monterey_and_sacramento.json,napa_and_pismo beach.json,napa_and_sacramento.json,napa_and_santa monica.json,long beach_and_monterey.json,los angeles_and_santa cruz.json,malibu_and_monterey.json,monterey_and_santa monica.json,oakland_and_san diego.json,oakland_and_santa cruz.json,oakland_and_santa monica.json,pismo beach_and_san diego.json,pismo beach_and_san jose.json,pismo beach_and_santa cruz.json,pismo beach_and_sausalito.json,riverside_and_sausalito.json,sacramento_and_santa barbara.json,sacramento_and_santa monica.json,sacramento_and_sausalito.json,san diego_and_santa cruz.json,san diego_and_sausalito.json,san francisco_and_santa monica.json,san jose_and_santa barbara.json,newport beach_and_sausalito.json,sacramento_and_san francisco.json,san jose_and_santa monica.json,san jose_and_sausalito.json,santa barbara_and_santa cruz.json,santa cruz_and_santa monica.json,santa cruz_and_sausalito.json","ecaGFiiQDvM,egLb8jC6mwk,4sNkB_y_l0k"
old mine trail,track,1,"Old Mine Trail, Santa Clara County, California, 95076, United States of America",-121.6936952,37.0212953,1,oakland_and_san jose.json,"oSSlz4UyzZ8,rsDCKCKpju8,ff7Ko1vWG8o"
delhi community center,place_of_worship,1,"Delhi Community Presbyterian, 15917, 4th Street, Delhi, Merced County, California, 95315, United States of America",-120.775448164159,37.4334948,1,fremont_and_santa ana.json,"aMIxfHfTCXQ,MnXTwb0m8xY,9AvaaaDvt24"
barrio,hamlet,2,"Barro, Napa County, California, United States of America",-122.4927582,38.5260194,2,"berkeley_and_riverside.json,fremont_and_santa ana.json","S78zHoJQxME,4Ffw32xQFEQ,PzXjCGeVma8"
fryman canyon,track,1,"Fryman Canyon Hike, Studio City, Valley Village, LA, Los Angeles County, California, 91604, United States of America",-118.3994759,34.134221,1,santa ana_and_santa monica.json,"ZlJs6KTGxPM,7zhonNz0_SA,rFxBO_HLgFY"
kern river,river,16,"Kern River, Tulare County, California, United States of America",-118.4124188,36.6816956,137,"anaheim_and_bakersfield.json,anaheim_and_berkeley.json,anaheim_and_fremont.json,anaheim_and_fresno.json,anaheim_and_mammoth lakes.json,anaheim_and_monterey.json,anaheim_and_oakland.json,anaheim_and_sacramento.json,anaheim_and_san francisco.json,anaheim_and_san jose.json,anaheim_and_sausalito.json,anaheim_and_stockton.json,avalon_and_bakersfield.json,avalon_and_berkeley.json,avalon_and_fremont.json,avalon_and_fresno.json,avalon_and_mammoth lakes.json,avalon_and_monterey.json,avalon_and_oakland.json,avalon_and_pismo beach.json,avalon_and_sacramento.json,avalon_and_san jose.json,bakersfield_and_san bernardino.json,beverly hills_and_sausalito.json,avalon_and_santa cruz.json,avalon_and_sausalito.json,bakersfield_and_berkeley.json,bakersfield_and_carlsbad.json,bakersfield_and_fremont.json,bakersfield_and_fresno.json,bakersfield_and_irvine.json,bakersfield_and_long beach.json,bakersfield_and_los angeles.json,bakersfield_and_malibu.json,bakersfield_and_mammoth lakes.json,bakersfield_and_monterey.json,bakersfield_and_napa.json,bakersfield_and_oakland.json,bakersfield_and_pasadena.json,bakersfield_and_riverside.json,bakersfield_and_sacramento.json,bakersfield_and_san francisco.json,bakersfield_and_san jose.json,bakersfield_and_santa monica.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,bakersfield_and_temecula.json,berkeley_and_malibu.json,berkeley_and_mammoth lakes.json,berkeley_and_riverside.json,berkeley_and_san bernardino.json,berkeley_and_beverly hills.json,berkeley_and_carlsbad.json,berkeley_and_fresno.json,berkeley_and_irvine.json,beverly hills_and_fremont.json,beverly hills_and_fresno.json,beverly hills_and_oakland.json,carlsbad_and_fremont.json,carlsbad_and_fresno.json,carlsbad_and_mammoth lakes.json,carlsbad_and_monterey.json,carlsbad_and_oakland.json,carlsbad_and_sacramento.json,carlsbad_and_sausalito.json,fremont_and_fresno.json,fremont_and_irvine.json,fremont_and_malibu.json,fremont_and_pasadena.json,fremont_and_san bernardino.json,fremont_and_temecula.json,fresno_and_irvine.json,fresno_and_malibu.json,fresno_and_mammoth lakes.json,fresno_and_monterey.json,fresno_and_napa.json,fresno_and_oakland.json,fresno_and_pasadena.json,fresno_and_sacramento.json,fresno_and_san bernardino.json,fresno_and_san diego.json,fresno_and_san francisco.json,fresno_and_san jose.json,fresno_and_sausalito.json,fresno_and_stockton.json,fresno_and_temecula.json,irvine_and_monterey.json,irvine_and_oakland.json,irvine_and_san jose.json,irvine_and_sausalito.json,fremont_and_riverside.json,fresno_and_riverside.json,los angeles_and_stockton.json,malibu_and_oakland.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_stockton.json,mammoth lakes_and_oakland.json,mammoth lakes_and_pasadena.json,malibu_and_mammoth lakes.json,mammoth lakes_and_riverside.json,mammoth lakes_and_sacramento.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,mammoth lakes_and_stockton.json,mammoth lakes_and_temecula.json,monterey_and_pasadena.json,monterey_and_riverside.json,monterey_and_temecula.json,malibu_and_monterey.json,mammoth lakes_and_sausalito.json,newport beach_and_sacramento.json,oakland_and_pasadena.json,oakland_and_riverside.json,oakland_and_san bernardino.json,pasadena_and_sacramento.json,pasadena_and_san francisco.json,pasadena_and_san jose.json,pasadena_and_sausalito.json,pasadena_and_stockton.json,riverside_and_sacramento.json,riverside_and_san jose.json,riverside_and_sausalito.json,riverside_and_stockton.json,san bernardino_and_sausalito.json,san diego_and_sausalito.json,san diego_and_stockton.json,san francisco_and_santa clarita.json,san francisco_and_temecula.json,san jose_and_santa clarita.json,sacramento_and_san diego.json,oakland_and_temecula.json,irvine_and_stockton.json,san jose_and_temecula.json,sausalito_and_temecula.json,stockton_and_temecula.json","6jlVdC4qxsQ,qs1eWq3H4Ho,8kkC25BmUR4"
