mention_name,mention_type,mention_popularity,mention_address,no_of_blogFiles,mention_found_in_blogFiles
seal beach,city,15,"Seal Beach, Orange County, California, United States of America",78,"anaheim_and_berkeley.json,anaheim_and_carlsbad.json,anaheim_and_huntington beach.json,anaheim_and_long beach.json,anaheim_and_malibu.json,anaheim_and_newport beach.json,anaheim_and_pismo beach.json,anaheim_and_san luis obispo.json,anaheim_and_santa clarita.json,anaheim_and_sausalito.json,anaheim_and_stockton.json,beverly hills_and_carlsbad.json,bakersfield_and_long beach.json,berkeley_and_newport beach.json,berkeley_and_carlsbad.json,beverly hills_and_fresno.json,beverly hills_and_san bernardino.json,carlsbad_and_fremont.json,carlsbad_and_monterey.json,carlsbad_and_oakland.json,carlsbad_and_pasadena.json,carlsbad_and_pismo beach.json,carlsbad_and_riverside.json,carlsbad_and_sacramento.json,carlsbad_and_santa monica.json,fremont_and_long beach.json,fremont_and_malibu.json,fremont_and_newport beach.json,fremont_and_pasadena.json,fremont_and_santa monica.json,fresno_and_long beach.json,huntington beach_and_long beach.json,huntington beach_and_los angeles.json,huntington beach_and_monterey.json,huntington beach_and_oakland.json,huntington beach_and_pismo beach.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa barbara.json,huntington beach_and_santa cruz.json,huntington beach_and_santa monica.json,irvine_and_pismo beach.json,irvine_and_san jose.json,irvine_and_santa monica.json,huntington beach_and_malibu.json,long beach_and_stockton.json,malibu_and_pasadena.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_stockton.json,napa_and_san luis obispo.json,malibu_and_monterey.json,malibu_and_santa clarita.json,newport beach_and_sacramento.json,newport beach_and_san luis obispo.json,newport beach_and_santa barbara.json,oakland_and_san luis obispo.json,pasadena_and_pismo beach.json,pasadena_and_san francisco.json,pasadena_and_san luis obispo.json,pasadena_and_santa cruz.json,pasadena_and_stockton.json,pismo beach_and_san diego.json,pismo beach_and_santa monica.json,sacramento_and_san luis obispo.json,sacramento_and_santa barbara.json,san diego_and_san jose.json,san diego_and_santa barbara.json,san diego_and_stockton.json,san francisco_and_temecula.json,oakland_and_pismo beach.json,san luis obispo_and_santa monica.json,santa barbara_and_stockton.json,santa monica_and_stockton.json,santa monica_and_temecula.json,stockton_and_temecula.json"
lake anza,water,1,"Lake Anza, Wildcat Gorge Trail, Contra Costa County, California, 94708, United States of America",5,"berkeley_and_san jose.json,berkeley_and_los angeles.json,berkeley_and_oakland.json,berkeley_and_sacramento.json,berkeley_and_fremont.json"
muddy river,stream,1,"Muddy Creek, Kern County, California, United States of America",6,"bakersfield_and_big bear lake.json,berkeley_and_big bear lake.json,big bear lake_and_fremont.json,big bear lake_and_napa.json,big bear lake_and_oakland.json,big bear lake_and_sausalito.json"
tehachapi municipal airport,aerodrome,1,"Tehachapi Municipal Airport, East H Street, Tehachapi, Kern County, California, 93561, United States of America",4,"bakersfield_and_fresno.json,bakersfield_and_long beach.json,bakersfield_and_pismo beach.json,bakersfield_and_san francisco.json"
ca.,postcode,2,"Piedmont, Alameda County, California, ca, United States of America",2,"big bear lake_and_sausalito.json,fremont_and_oakland.json"
los osos creek,stream,1,"Los Osos Creek, San Luis Obispo County, California, United States of America",1,big bear lake_and_napa.json
santa monicaa,residential,7,"Santa Monicaa Avenue, Sanger, Fresno County, California, 93657, United States of America",1,monterey_and_santa ana.json
south shore center,neighbourhood,1,"South Shore, Alameda, Alameda County, California, 94501, United States of America",1,monterey_and_sacramento.json
valley street,residential,1,"Valley Street, Echo Park, Angelino Heights, LA, Los Angeles County, California, 90057, United States of America",4,"big bear lake_and_santa clarita.json,mammoth lakes_and_santa clarita.json,santa clarita_and_stockton.json,santa clarita_and_temecula.json"
brussels park,residential,1,"Brussels Avenue, Sylmar, LA, Los Angeles County, California, 91342, United States of America",1,berkeley_and_san luis obispo.json
tulsa,tertiary,2,"Tulsa Street, Sepulveda, LA, Los Angeles County, California, 91344, United States of America",2,"beverly hills_and_big bear lake.json,santa barbara_and_sausalito.json"
stockton & san jose,secondary,2,"Stockton Avenue, College Park, Rose Garden, San José, Santa Clara County, California, 95126, United States of America",16,"bakersfield_and_san francisco.json,beverly hills_and_fresno.json,beverly hills_and_sacramento.json,beverly hills_and_san jose.json,fresno_and_long beach.json,fresno_and_san bernardino.json,fresno_and_santa ana.json,long beach_and_oakland.json,long beach_and_sacramento.json,long beach_and_stockton.json,newport beach_and_oakland.json,newport beach_and_san jose.json,oakland_and_santa ana.json,sacramento_and_santa ana.json,san francisco_and_stockton.json,santa ana_and_stockton.json"
yee tock chee park,park,1,"Yee Tock Chee Park, Bridgeway, Sausalito, Marin County, California, 94965, United States of America",1,san jose_and_sausalito.json
baldwin park,city,3,"Baldwin Park, Los Angeles County, California, United States of America",73,"anaheim_and_carlsbad.json,anaheim_and_fresno.json,anaheim_and_san bernardino.json,anaheim_and_san jose.json,anaheim_and_santa clarita.json,anaheim_and_sausalito.json,avalon_and_bakersfield.json,bakersfield_and_san bernardino.json,avalon_and_santa clarita.json,avalon_and_sausalito.json,bakersfield_and_berkeley.json,bakersfield_and_long beach.json,bakersfield_and_los angeles.json,bakersfield_and_malibu.json,bakersfield_and_monterey.json,bakersfield_and_oakland.json,bakersfield_and_riverside.json,bakersfield_and_san jose.json,bakersfield_and_santa clarita.json,bakersfield_and_santa monica.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,berkeley_and_malibu.json,big bear lake_and_santa clarita.json,big bear lake_and_sausalito.json,carlsbad_and_oakland.json,carlsbad_and_riverside.json,carlsbad_and_sacramento.json,carlsbad_and_santa clarita.json,carlsbad_and_stockton.json,fresno_and_los angeles.json,fresno_and_san bernardino.json,huntington beach_and_sacramento.json,huntington beach_and_sausalito.json,irvine_and_sacramento.json,irvine_and_sausalito.json,long beach_and_stockton.json,long beach_and_temecula.json,los angeles_and_riverside.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,malibu_and_riverside.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_sausalito.json,mammoth lakes_and_riverside.json,monterey_and_san bernardino.json,oakland_and_santa clarita.json,pasadena_and_sausalito.json,riverside_and_sacramento.json,riverside_and_san diego.json,riverside_and_san francisco.json,riverside_and_santa monica.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_santa clarita.json,san bernardino_and_san jose.json,san bernardino_and_santa clarita.json,san bernardino_and_santa monica.json,san bernardino_and_sausalito.json,san diego_and_santa clarita.json,san francisco_and_santa clarita.json,san francisco_and_temecula.json,sacramento_and_san bernardino.json,newport beach_and_sausalito.json,san bernardino_and_stockton.json,san jose_and_santa monica.json,santa clarita_and_sausalito.json,san luis obispo_and_santa clarita.json,san luis obispo_and_sausalito.json,santa monica_and_sausalito.json,stockton_and_temecula.json"
mead avenue,residential,1,"Mead Avenue, Sacramento, Sacramento County, California, 95822, United States of America",2,"san jose_and_santa clarita.json,santa clarita_and_santa cruz.json"
paradise island,residential,1,"Paradise Island Lane, Banning, Riverside County, California, 92220, United States of America",1,san francisco_and_temecula.json
linden place,residential,1,"Linden Place, Costa Mesa, Orange County, California, 92627, United States of America",1,berkeley_and_newport beach.json
boulevard,hamlet,2,"Boulevard, San Diego County, California, United States of America",2,"pasadena_and_san diego.json,riverside_and_sacramento.json"
callaway gardens,residential,1,"Callaway Drive, Ontario, San Bernardino County, California, 91761, United States of America",1,beverly hills_and_big bear lake.json
mentone,administrative,5,"Mentone, Reservoir Canal Road, Crafton, San Bernardino County, California, 92374, United States of America",80,"anaheim_and_carlsbad.json,anaheim_and_fresno.json,anaheim_and_san bernardino.json,anaheim_and_san jose.json,anaheim_and_santa clarita.json,anaheim_and_sausalito.json,avalon_and_bakersfield.json,avalon_and_big bear lake.json,bakersfield_and_san bernardino.json,avalon_and_sausalito.json,bakersfield_and_long beach.json,bakersfield_and_monterey.json,bakersfield_and_oakland.json,bakersfield_and_riverside.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,beverly hills_and_big bear lake.json,berkeley_and_big bear lake.json,beverly hills_and_riverside.json,big bear lake_and_fremont.json,big bear lake_and_long beach.json,big bear lake_and_los angeles.json,big bear lake_and_malibu.json,big bear lake_and_mammoth lakes.json,big bear lake_and_napa.json,big bear lake_and_newport beach.json,big bear lake_and_oakland.json,big bear lake_and_pasadena.json,big bear lake_and_san jose.json,big bear lake_and_santa ana.json,big bear lake_and_santa clarita.json,big bear lake_and_santa cruz.json,big bear lake_and_santa monica.json,big bear lake_and_sausalito.json,big bear lake_and_stockton.json,carlsbad_and_oakland.json,carlsbad_and_riverside.json,carlsbad_and_sacramento.json,carlsbad_and_santa clarita.json,carlsbad_and_stockton.json,fresno_and_los angeles.json,fresno_and_san bernardino.json,huntington beach_and_sacramento.json,huntington beach_and_san bernardino.json,huntington beach_and_sausalito.json,irvine_and_sacramento.json,irvine_and_sausalito.json,big bear lake_and_san bernardino.json,long beach_and_stockton.json,long beach_and_temecula.json,los angeles_and_riverside.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,malibu_and_riverside.json,malibu_and_sausalito.json,mammoth lakes_and_riverside.json,monterey_and_san bernardino.json,oakland_and_santa clarita.json,pasadena_and_sausalito.json,riverside_and_sacramento.json,riverside_and_san bernardino.json,riverside_and_san diego.json,riverside_and_san francisco.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_santa clarita.json,san bernardino_and_san jose.json,san bernardino_and_santa ana.json,san bernardino_and_santa clarita.json,san bernardino_and_sausalito.json,san diego_and_santa clarita.json,san francisco_and_santa clarita.json,san francisco_and_temecula.json,sacramento_and_san bernardino.json,newport beach_and_sausalito.json,san bernardino_and_stockton.json,santa clarita_and_sausalito.json,san luis obispo_and_santa clarita.json,santa monica_and_sausalito.json,stockton_and_temecula.json"
west harrison,residential,1,"Harrison, Lambert Ranch, Portola Springs, Irvine, Orange County, California, 92618, United States of America",1,beverly hills_and_riverside.json
playa vista,suburb,2,"Playa Vista, LA, Los Angeles County, California, United States of America",3,"irvine_and_sausalito.json,los angeles_and_malibu.json,long beach_and_los angeles.json"
long beach landing,ferry_terminal,1,"Catalina Express Long Beach Downtown Landing, Golden Shore Street, Willowville, Long Beach, Los Angeles County, California, 90802, United States of America",3,"avalon_and_carlsbad.json,avalon_and_newport beach.json,avalon_and_santa monica.json"
angel,residential,2,"Angel, Danville, Contra Costa County, California, 94526, United States of America",3,"fremont_and_san bernardino.json,mammoth lakes_and_san bernardino.json,riverside_and_stockton.json"
ojai valley,city,2,"Ojai, Ventura County, California, United States of America",143,"anaheim_and_bakersfield.json,anaheim_and_berkeley.json,anaheim_and_fremont.json,anaheim_and_fresno.json,anaheim_and_mammoth lakes.json,anaheim_and_monterey.json,anaheim_and_oakland.json,anaheim_and_sacramento.json,anaheim_and_san diego.json,anaheim_and_san jose.json,anaheim_and_sausalito.json,avalon_and_bakersfield.json,avalon_and_berkeley.json,avalon_and_fremont.json,avalon_and_fresno.json,avalon_and_mammoth lakes.json,avalon_and_monterey.json,avalon_and_oakland.json,avalon_and_pismo beach.json,avalon_and_sacramento.json,avalon_and_san jose.json,avalon_and_malibu.json,bakersfield_and_san bernardino.json,beverly hills_and_carlsbad.json,beverly hills_and_sausalito.json,avalon_and_santa barbara.json,avalon_and_santa cruz.json,avalon_and_sausalito.json,bakersfield_and_beverly hills.json,bakersfield_and_carlsbad.json,bakersfield_and_fremont.json,bakersfield_and_fresno.json,bakersfield_and_irvine.json,bakersfield_and_malibu.json,bakersfield_and_mammoth lakes.json,bakersfield_and_monterey.json,bakersfield_and_oakland.json,bakersfield_and_pasadena.json,bakersfield_and_riverside.json,bakersfield_and_san francisco.json,bakersfield_and_san jose.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,bakersfield_and_temecula.json,berkeley_and_malibu.json,berkeley_and_riverside.json,berkeley_and_san bernardino.json,berkeley_and_beverly hills.json,berkeley_and_carlsbad.json,berkeley_and_irvine.json,beverly hills_and_fremont.json,beverly hills_and_fresno.json,beverly hills_and_oakland.json,beverly hills_and_riverside.json,beverly hills_and_temecula.json,big bear lake_and_santa barbara.json,big bear lake_and_santa cruz.json,carlsbad_and_fremont.json,carlsbad_and_fresno.json,carlsbad_and_mammoth lakes.json,carlsbad_and_monterey.json,carlsbad_and_oakland.json,carlsbad_and_pasadena.json,carlsbad_and_sacramento.json,carlsbad_and_sausalito.json,fremont_and_irvine.json,fremont_and_malibu.json,fremont_and_pasadena.json,fremont_and_san bernardino.json,fremont_and_santa barbara.json,fremont_and_temecula.json,fresno_and_irvine.json,fresno_and_malibu.json,fresno_and_pasadena.json,fresno_and_san bernardino.json,fresno_and_san diego.json,fresno_and_san francisco.json,fresno_and_santa barbara.json,fresno_and_sausalito.json,irvine_and_monterey.json,irvine_and_oakland.json,irvine_and_san jose.json,irvine_and_sausalito.json,fremont_and_riverside.json,fresno_and_riverside.json,long beach_and_santa cruz.json,malibu_and_oakland.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_stockton.json,mammoth lakes_and_pasadena.json,malibu_and_mammoth lakes.json,mammoth lakes_and_riverside.json,mammoth lakes_and_temecula.json,monterey_and_pasadena.json,monterey_and_riverside.json,monterey_and_temecula.json,napa_and_santa ana.json,napa_and_santa barbara.json,napa_and_santa clarita.json,napa_and_santa monica.json,long beach_and_santa barbara.json,malibu_and_monterey.json,oakland_and_pasadena.json,oakland_and_riverside.json,oakland_and_san bernardino.json,pasadena_and_sacramento.json,pasadena_and_san francisco.json,pasadena_and_san jose.json,pasadena_and_santa barbara.json,pasadena_and_santa cruz.json,pasadena_and_sausalito.json,pasadena_and_stockton.json,riverside_and_sacramento.json,riverside_and_san jose.json,riverside_and_santa barbara.json,riverside_and_stockton.json,sacramento_and_santa ana.json,sacramento_and_santa barbara.json,sacramento_and_santa monica.json,san bernardino_and_santa barbara.json,san bernardino_and_sausalito.json,san diego_and_santa cruz.json,san diego_and_santa monica.json,san diego_and_sausalito.json,san diego_and_stockton.json,san francisco_and_santa barbara.json,san francisco_and_santa monica.json,san francisco_and_temecula.json,sacramento_and_san diego.json,oakland_and_temecula.json,irvine_and_stockton.json,san jose_and_temecula.json,santa ana_and_santa barbara.json,santa ana_and_santa cruz.json,santa ana_and_stockton.json,santa barbara_and_santa clarita.json,santa barbara_and_santa cruz.json,santa barbara_and_santa monica.json,santa barbara_and_temecula.json,santa cruz_and_santa monica.json,sausalito_and_temecula.json,stockton_and_temecula.json"
harbour mall,retail,1,"Huntington Harbour Mall, Huntington Beach, Orange County, California, 92649, United States of America",2,"huntington beach_and_los angeles.json,huntington beach_and_sausalito.json"
pasadena & arcadia,motel,1,"Best Western Pasadena Royale, 3600, East Colorado Boulevard, Rosemead, Los Angeles County, California, 91107, United States of America",1,beverly hills_and_pasadena.json
santa barbara maritime museum,museum,1,"Santa Barbara Maritime Museum, 113, Harbor Way, Santa Barbara, Santa Barbara County, California, 93109, United States of America",1,newport beach_and_san luis obispo.json
rapid city,residential,1,"Rapid Falls Drive, Yuba City, Sutter County, California, 95991, United States of America",6,"anaheim_and_sacramento.json,anaheim_and_san jose.json,avalon_and_sacramento.json,los angeles_and_san jose.json,sacramento_and_santa monica.json,san diego_and_san jose.json"
golden bear,bar,1,"The Golden Bear, 2326, K Street, Sacramento, Sacramento County, California, 95816, United States of America",1,huntington beach_and_santa cruz.json
clarita valley,city,1,"Santa Clarita, Los Angeles County, California, United States of America",1,santa clarita_and_sausalito.json
east folsom lake,reservoir,1,"Folsom Lake, Folsom Dam Road, Folsom, Sacramento County, California, 95630, United States of America",1,mammoth lakes_and_san luis obispo.json
avaya stadium,stadium,1,"Avaya Stadium, -, Coleman Avenue, Newhall, Rose Garden, San José, Santa Clara County, California, 95110, United States of America",2,"san jose_and_santa clarita.json,santa clarita_and_santa cruz.json"
central point,stream,1,"Central Branch Tujunga Wash, LA, Los Angeles County, California, United States of America",1,bakersfield_and_sacramento.json
pintura drive,residential,1,"La Pintura Drive, La Jolla, San Diego, San Diego County, California, 92037, United States of America",2,"mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"
bothe-napa valley state park,park,3,"Bothe-Napa Valley State Park, Saint Helena Highway, Larkmead, Napa County, California, 94574; 94515, United States of America",24,"anaheim_and_napa.json,carlsbad_and_napa.json,carlsbad_and_oakland.json,fresno_and_napa.json,fresno_and_santa cruz.json,los angeles_and_napa.json,monterey_and_temecula.json,napa_and_sacramento.json,napa_and_san jose.json,napa_and_san luis obispo.json,napa_and_santa monica.json,napa_and_stockton.json,napa_and_temecula.json,oakland_and_san luis obispo.json,oakland_and_santa cruz.json,sacramento_and_san luis obispo.json,sacramento_and_santa cruz.json,sacramento_and_temecula.json,san francisco_and_santa cruz.json,san francisco_and_temecula.json,san jose_and_temecula.json,san luis obispo_and_santa cruz.json,santa cruz_and_temecula.json,sausalito_and_temecula.json"
northspur,hamlet,1,"Northspur, Mendocino County, California, United States of America",2,"huntington beach_and_mammoth lakes.json,mammoth lakes_and_temecula.json"
michigan ave.,residential,1,"Michigan Avenue, Brooklyn Heights, Little Tokyo Historic District, LA, Los Angeles County, California, 90033, United States of America",6,"berkeley_and_malibu.json,berkeley_and_santa monica.json,long beach_and_santa monica.json,los angeles_and_santa monica.json,malibu_and_pasadena.json,malibu_and_santa monica.json"
santa monica route,city,11,"Santa Monica, Los Angeles County, California, United States of America",6,"fremont_and_santa monica.json,newport beach_and_santa monica.json,oakland_and_santa monica.json,riverside_and_santa monica.json,santa ana_and_santa monica.json,santa clarita_and_santa monica.json"
rancho la puerta,hotel,1,"Rancho La Puerta, Carretera Libre Tecate-Tijuana, Tecate, Baja California, 21440, México",1,beverly hills_and_temecula.json
noyo river,hamlet,1,"Noyo, Mendocino County, California, United States of America",1,san jose_and_santa monica.json
malabar hills,residential,1,"Malabar Road, Foothill Ranch, Lake Forest, Orange County, California, 92679, United States of America",1,fremont_and_long beach.json
selma,city,1,"Selma, Fresno County, California, United States of America",1,bakersfield_and_fresno.json
silver lake reservoir,water,1,"Silver Lake Reservoir, West Silver Lake Drive, Silver Lake, Atwater, LA, Los Angeles County, California, 90039, United States of America",1,beverly hills_and_pasadena.json
palm motel,motel,1,"Palm Motel, 14th Street, Santa Monica, Los Angeles County, California, 90405, United States of America",6,"berkeley_and_malibu.json,berkeley_and_santa monica.json,long beach_and_santa monica.json,los angeles_and_santa monica.json,malibu_and_pasadena.json,malibu_and_santa monica.json"
balboa pier newport beach,footway,1,"Balboa Pier, Balboa Island, Newport Beach, Orange County, California, 92661, United States of America",1,newport beach_and_santa cruz.json
tourmaline street,residential,1,"Tourmaline Street, Rose Hill, Highland Park, LA, Los Angeles County, California, 90032, United States of America",1,huntington beach_and_san diego.json
alvarado terrace park,residential,2,"Alvarado Terrace, Saint James Park, LA, Los Angeles County, California, 90006, United States of America",20,"bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_pasadena.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,fresno_and_long beach.json,fresno_and_santa ana.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_riverside.json,sacramento_and_santa ana.json,santa monica_and_temecula.json"
eastern sierra interagency center,public_building,1,"Eastern Sierra Interagency Visitor Center, CA 136, Lone Pine, Inyo County, California, 93545, United States of America",1,mammoth lakes_and_riverside.json
red mountain,hamlet,1,"Red Mountain, San Bernardino County, California, United States of America",1,mammoth lakes_and_riverside.json
ashland st.,residential,1,"Ashland Street, Bakersfield, Kern County, California, 93308, United States of America",1,bakersfield_and_sacramento.json
agoura,hamlet,1,"Agoura, Los Angeles County, California, United States of America",1,los angeles_and_malibu.json
newport bay,bay,16,"Newport Bay, Via Lido Soud, Balboa Island, Newport Beach, Orange County, California, 92663, United States of America",31,"avalon_and_newport beach.json,berkeley_and_long beach.json,beverly hills_and_pismo beach.json,berkeley_and_newport beach.json,carlsbad_and_santa barbara.json,fremont_and_irvine.json,huntington beach_and_irvine.json,huntington beach_and_san bernardino.json,huntington beach_and_santa ana.json,huntington beach_and_santa clarita.json,irvine_and_newport beach.json,long beach_and_newport beach.json,monterey_and_san diego.json,los angeles_and_newport beach.json,monterey_and_newport beach.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_riverside.json,newport beach_and_santa ana.json,newport beach_and_santa barbara.json,newport beach_and_stockton.json,newport beach_and_temecula.json,pismo beach_and_san bernardino.json,pismo beach_and_santa clarita.json,san bernardino_and_santa barbara.json,san bernardino_and_santa clarita.json,san bernardino_and_santa monica.json,newport beach_and_sausalito.json,riverside_and_santa ana.json,san luis obispo_and_santa clarita.json,santa barbara_and_santa clarita.json"
oceanside pier,footway,1,"Oceanside Pier, Oceanside, San Diego County, California, 92054, United States of America",4,"carlsbad_and_riverside.json,carlsbad_and_santa monica.json,carlsbad_and_los angeles.json,san diego_and_santa monica.json"
riverside east,city,1,"Riverside, Riverside County, California, United States of America",1,berkeley_and_riverside.json
spring valley,hamlet,1,"Spring Valley, El Dorado County, California, United States of America",1,san bernardino_and_san jose.json
temecula creek,stream,2,"Temecula Creek, Temecula, Riverside County, California, United States of America",6,"anaheim_and_temecula.json,los angeles_and_temecula.json,napa_and_temecula.json,san diego_and_temecula.json,san jose_and_temecula.json,stockton_and_temecula.json"
pasadena freeway,motorway,5,"Pasadena Freeway, Highland Park, LA, Los Angeles County, California, 90042, United States of America",8,"avalon_and_pasadena.json,beverly hills_and_pasadena.json,big bear lake_and_santa clarita.json,huntington beach_and_pasadena.json,long beach_and_santa clarita.json,pasadena_and_santa ana.json,pasadena_and_santa clarita.json,pasadena_and_san bernardino.json"
painted canyon,residential,1,"Painted Canyon Road, Riverside County, California, 92251, United States of America",1,berkeley_and_long beach.json
