"mention_name@blogNonCitySrc","mention_type@blogNonCitySrc","mention_popularity@blogNonCitySrc","mention_address@blogNonCitySrc","zip_code@blogNonCitySrc","mention_longitude@blogNonCitySrc","mention_latitude@blogNonCitySrc","no_of_blogFiles@blogNonCitySrc","mention_found_in_blogFiles@blogNonCitySrc","attraction_name@tripAdvMentionsSrc","attraction_knownFor@tripAdvMentionsSrc","attraction_reviewComment@tripAdvMentionsSrc","attraction_ranking@tripAdvMentionsSrc","attraction_no_of_reviews@tripAdvMentionsSrc","attraction_contact@tripAdvMentionsSrc","attraction_in@tripAdvMentionsSrc","attraction_address@tripAdvMentionsSrc","zip_code@tripAdvMentionsSrc","attraction_longitude@tripAdvMentionsSrc","attraction_latitude@tripAdvMentionsSrc","attraction_url@tripAdvMentionsSrc","attraction_in_file@tripAdvMentionsSrc","youTubeLinkIds@tripAdvMentionsSrc","Confidence"
"pismo pier","footway","1","""Pismo Beach Pier, Pismo Beach, San Luis Obispo County, California, 93449, United States of America""","93449","-120.6430002","35.1388074","1","pismo beach_and_sacramento.json","Pismo Pier","""Piers & Boardwalks , Sights & Landmarks""","""Love going to Pismo Beach, the Pier is different then when I was in high school and lived in the area, but still a fantastic place to be. It is a great view of the water, surfers... read more""","2","""1,119""","+1 805-773-4382","Pismo Beach","""Pismo Beach , CA""","","-120.6412826","35.1427533","https://www.tripadvisor.com/Attraction_Review-g32894-d220150-Reviews-Pismo_Pier-Pismo_Beach_San_Luis_Obispo_County_California.html","pismo_beach.json","""pOqHPkpzRAQ,8dGuHJHpVo8,0T23d0G3b6g""","100"
"baker beach","beach","3","""Baker Beach, Coastal Trail, Seacliff, SF, California, 94121, United States of America""","94121","-122.483842091428","37.7931092","8","""fresno_and_huntington beach.json,huntington beach_and_monterey.json,huntington beach_and_san francisco.json,huntington beach_and_santa cruz.json,huntington beach_and_stockton.json,long beach_and_oakland.json,monterey_and_newport beach.json,newport beach_and_santa cruz.json""","Baker Beach","""Beaches , Outdoor Activities , Nature & Parks ""","""We bought a book, 50 walks in San Francisco. The walk from Bakers beach really appealed as we could take our dog. The views are just stunning, and far less busy / commercial... read more""","31","547","+1 415-561-4323","San Francisco","""1504 Pershing Dr , San Francisco , CA 94129-3306""","94129","","","https://www.tripadvisor.com/Attraction_Review-g60713-d754023-Reviews-Baker_Beach-San_Francisco_California.html","san_francisco.json","""pbevC3hsf68,jLMxPSYw4PI,-pVCv5pNVlw""","100"
"tuolumne river trail","river","2","""Tuolumne River, Stanislaus County, California, United States of America""","","-120.9724123","37.6222212","3","""mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json""","Tuolumne River Trail","","""When I visit friends we always end up having a bbq at the river, there are many parks and swimming areas lots of mowed lawn to read out on.""","8","4","","Modesto","""Modesto , CA""","","-120.9968781","37.6390972","https://www.tripadvisor.com/Attraction_Review-g32724-d8505937-Reviews-Tuolumne_River_Trail-Modesto_California.html","modesto.json","""sFxbuvW7yn4,6ncKIiY_SHA,NUy9vlrZpOI""","100"
"old town san diego state historic park","park","1","""Old Town San Diego State Historic Park, Twiggs Street, Old Town, San Diego, San Diego County, California, 92110, United States of America""","92110","-117.194891467408","32.7537731","10","""anaheim_and_carlsbad.json,avalon_and_carlsbad.json,avalon_and_temecula.json,bakersfield_and_temecula.json,berkeley_and_carlsbad.json,beverly hills_and_temecula.json,carlsbad_and_newport beach.json,carlsbad_and_riverside.json,carlsbad_and_san jose.json,san jose_and_temecula.json""","Old Town San Diego State Historic Park","""Historic Walking Areas , Neighborhoods , State Parks , Other, Sights & Landmarks , Nature & Parks , More ""","""I had never been to old town San Diego before but I really enjoyed myself today. The minute you walk into the area, you feel like you're stepping back into time. With several... read more""","23","""3,490""","619-220-5422","San Diego","""San Diego Avenue at Twiggs Street , San Diego , CA 92110""","92110","","","https://www.tripadvisor.com/Attraction_Review-g60750-d104586-Reviews-Old_Town_San_Diego_State_Historic_Park-San_Diego_California.html","san_diego.json","""soNXw0SqXFM,fV4H1Qd1m3w,ZXwuZ7ONVbo""","100"
"travel town","museum","1","""Travel Town Museum, 5200, Zoo Drive, West Glendale, LA, Los Angeles County, California, 90027, United States of America""","90027","-118.307543192878","34.1546815","1","berkeley_and_los angeles.json","Travel Town","","""Warning: may cause explosive tears from your 5 year old when leaving after 2 hours, when he realises he may never return. It's just that good. About 15 locomotives and carriages... read more""","73","100","+1 323-662-5874","Los Angeles","""5200 Zoo Dr , Los Angeles , CA 90027-1472""","90027","","","https://www.tripadvisor.com/Attraction_Review-g32655-d116886-Reviews-Travel_Town-Los_Angeles_California.html","los_angeles.json","""pLGyEH1gkrE,cZHQbswc7RA,h8YWGMCo0Ww""","100"
"coronado island","island","6","""Isla Coronado Centro, Tijuana, Baja California, M��xico""","","-117.260743289496","32.4172137","24","""anaheim_and_sausalito.json,avalon_and_big bear lake.json,avalon_and_monterey.json,avalon_and_malibu.json,berkeley_and_carlsbad.json,beverly hills_and_san diego.json,huntington beach_and_monterey.json,huntington beach_and_sacramento.json,huntington beach_and_san diego.json,huntington beach_and_san francisco.json,huntington beach_and_santa barbara.json,huntington beach_and_santa cruz.json,huntington beach_and_sausalito.json,irvine_and_monterey.json,irvine_and_san diego.json,irvine_and_santa barbara.json,irvine_and_sausalito.json,los angeles_and_sausalito.json,malibu_and_sausalito.json,monterey_and_san diego.json,san diego_and_sausalito.json,san francisco_and_santa barbara.json,santa barbara_and_sausalito.json,santa monica_and_sausalito.json""","Coronado Island","""Islands , Nature & Parks ""","The weather is quite comfortable and plenty of nice places to dine. But being from Illinois I don't have much else to compare it to. Ha ha.","1","""2,034""","+1 619-437-8788","Coronado","""1100 Orange Ave , Coronado , CA 92118-3407""","92118","","","https://www.tripadvisor.com/Attraction_Review-g32250-d1519764-Reviews-Coronado_Island-Coronado_California.html","coronado.json","""7q3gTTYBjW0,NkOQcefM3jM,QPoOe76iC9E""","100"
"niles canyon railway","disused","1","""Niles Canyon Railway, Mission Boulevard, Niles Junction, Niles District, Fremont, Alameda County, California, 94539, United States of America""","94539","-121.9731392","37.5777735","2","""fremont_and_monterey.json,fremont_and_san jose.json""","Niles Canyon Railway","""Scenic Railroads , Tours""","""This is not an authentically restored historic ride but it is not a regular train either. It's something in the middle. However, you'll see a beautiful canyon, we'll be exposed to... read more""","4","89","+1 510-996-8420","Fremont","""6 Kilkare Rd , Niles Station , Fremont , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g32411-d270487-Reviews-Niles_Canyon_Railway-Fremont_California.html","fremont.json","""gzCmP8QXE4o,xKK72PotnPw,31y9hlQbvqI""","100"
"chateau montelana","residential","1","""Chateau Montelana Drive, Zee Estates, El Dorado County, California, 95762, United States of America""","95762","-121.0455243","38.7664261","10","""avalon_and_sacramento.json,bakersfield_and_sacramento.json,bakersfield_and_sausalito.json,berkeley_and_riverside.json,berkeley_and_sacramento.json,irvine_and_sacramento.json,monterey_and_sacramento.json,napa_and_sacramento.json,sacramento_and_sausalito.json,sacramento_and_san francisco.json""","Chateau Montelena","""Wineries & Vineyards , Food & Drink ""","I had a great time. My wife who prefers sweeter wines did not have that great of time. Person servicing our tasting session had a great knowledge of Cabernet's and made... read more","3","441","+1 707-942-5105","Calistoga","""1429 Tubbs Ln , Calistoga , CA 94515-9726""","94515","","","https://www.tripadvisor.com/Attraction_Review-g32143-d144798-Reviews-Chateau_Montelena-Calistoga_Napa_Valley_California.html","calistoga.json","""xOjlBWg3i1w,A46P13xhDQA""","100"
"filoli","residential","1","""Filoli Drive, Ponderosa Palisades, Placer County, California, United States of America""","","-120.1590024","39.2834839","1","sacramento_and_san jose.json","Filoli","""Historic Sites , Gardens , Sights & Landmarks , Nature & Parks""","""Filoli stands for """"Fight,"""" """"Love,"""" and """"Life"""". The stately mansion is huge. One can imagine being an invited guest back in the early 1900s. And the gardens are vast and... read more""","1","308","+1 650-364-8300","Woodside","""86 Canada Rd , Woodside , CA 94062-4144""","94062","","","https://www.tripadvisor.com/Attraction_Review-g33292-d113585-Reviews-Filoli-Woodside_California.html","woodside.json","""4O38CtduB_M,U6JO7M5BHZc,_cS3SWIzqzc""","100"
"alpine meadows","hamlet","2","""Alpine Meadows, Placer County, California, United States of America""","","-120.2276947","39.1785177","2","""fresno_and_stockton.json,long beach_and_oakland.json""","Alpine Meadows","""Ski & Snowboard Areas , Nature & Parks , Outdoor Activities""","""Nice 2h return walk above Alpine Meadows to the Five Lakes. Good views across the mountains. Trail was in good condition, and we were able to achieve a height gain of 1000' which... read more""","5","100","+1 800-403-0206","Tahoe City","""2600 Alpine Meadows Rd , Tahoe City , CA 96146-9854""","96146","","","https://www.tripadvisor.com/Attraction_Review-g33155-d156933-Reviews-Alpine_Meadows-Tahoe_City_Lake_Tahoe_California_California.html","tahoe_city.json","""ma3MJl1vC6Q,XCUWtfFQLbM,8aNvzRf5IfI""","100"
"fairytale town","theme_park","3","""Fairytale Town, 3901, Land Park Drive, Sacramento, Sacramento County, California, 95822, United States of America""","95822","-121.501064428096","38.53977405","4","""bakersfield_and_sacramento.json,fresno_and_sacramento.json,oakland_and_stockton.json,riverside_and_sacramento.json""","Fairytale Town","""Educational sites , Theme Parks , Water & Amusement Parks , Sights & Landmarks""","""Love to take the kids here for Halloween, lots of treats and the kids can run off their candy high. Well, worth the extra fee for this treat""","12","201","+1 916-808-7462","Sacramento","""3901 Land Park Dr , Sacramento , CA 95822-1270""","95822","","","https://www.tripadvisor.com/Attraction_Review-g32999-d265196-Reviews-Fairytale_Town-Sacramento_California.html","sacramento.json","""MzwwBS0Dr0Q,Dq8n2C_mdx4,LJzWICOhekM""","100"
"dana point harbor","tertiary","5","""Dana Point Harbor Drive, Dana Point, Orange County, California, 92629, United States of America""","92629","-117.6897783","33.4631376","18","""avalon_and_los angeles.json,avalon_and_san diego.json,berkeley_and_san diego.json,carlsbad_and_huntington beach.json,carlsbad_and_irvine.json,carlsbad_and_newport beach.json,fremont_and_san diego.json,huntington beach_and_los angeles.json,huntington beach_and_san diego.json,huntington beach_and_temecula.json,irvine_and_sacramento.json,carlsbad_and_los angeles.json,los angeles_and_san diego.json,los angeles_and_temecula.json,newport beach_and_san diego.json,newport beach_and_santa barbara.json,pasadena_and_san diego.json,san diego_and_temecula.json""","Dana Point Harbor","""Piers & Boardwalks , Sights & Landmarks""","Awesome ride but does have some hills but hotel will give you a ride if biking isn't for you. Great for sunset","1","692","","Dana Point","""34624 Golden Lantern St , Dana Point , CA 92629-2908""","34624","","","https://www.tripadvisor.com/Attraction_Review-g32279-d1416556-Reviews-Dana_Point_Harbor-Dana_Point_California.html","dana_point.json","""VtU2RA0rFs4,6Gw54iSiRH8,b3ml2KXuHv4""","100"
"grover hot springs state park","protected_area","1","""Grover Hot Springs State Park, East Charity Valley Trail, Shay Creek Summer Home Area, Alpine County, California, United States of America""","","-119.837977461663","38.70219315","1","mammoth lakes_and_riverside.json","Grover Hot Springs State Park","""State Parks , Nature & Parks""","""Bathing suits available if you forgot yours. Located in a snowy valley--first we took a hike up the valley in the snow to a frozen water fall, then came down and luxuriated in the... read more""","1","68","+1 530-694-2248","Markleeville","""Hot Springs Road , Markleeville , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g32686-d143467-Reviews-Grover_Hot_Springs_State_Park-Markleeville_California.html","markleeville.json","""OXNKiSpqxBo,E9K52pa5Kdw,_f7zShMYQyE""","100"
"asian garden mall","yes","1","""Asian Garden Mall, Weststate Street, Westminster, Orange County, California, 92683, United States of America""","92683","-117.968641507007","33.7433939","1","huntington beach_and_irvine.json","Asian Garden Mall","","Took my friends who are here visiting from Rochester to see Little Saigon. Had to stop at the main mall to check my favorite bakery for Almond cookies. They were all out!?! Said... read more","2","12","+1 714-897-9926","Westminster","""9200 Bolsa Ave , Westminster , CA 92683-5500""","92683","","","https://www.tripadvisor.com/Attraction_Review-g33260-d2477995-Reviews-Asian_Garden_Mall-Westminster_California.html","westminster.json","""TKgfw1aLre4,EaMMAjr0oWs,SlauBrZLIC0""","100"
