City,Attraction,URL,ReviewCount,Address,ContactNo,Review,Rank,Total Attractions,KnownFor
Los Gatos,Los Gatos Museums Gallery,https://www.tripadvisor.com/Attraction_Review-g32657-d4546798-Reviews-Los_Gatos_Museums_Gallery-Los_Gatos_California.html,1,"24 N Santa Cruz Ave , Los Gatos , CA 95030-5917",,"??? Always a treat to visit this gallery ??? I have been visiting this gallery several times a year for the past 7 years. The volunteers who staff the desk are unfailingly friendly and helpful. They are also often... read more Reviewed September 9, 2016 Joan L , Los Altos, California Add Photo Write a Review 1 Review from our TripAdvisor Community Which Los Gatos hotels are on sale? mm/dd/yyyy mm/dd/yyyy See hotels Sponsored links * See what travelers are saying: Traveler rating Excellent (1) Very good (0) Average (0) Poor (0) Terrible (0) Traveler type Families (0) Couples (0) Solo (1) Business (0) Friends (0) Time of year Mar-May (0) Jun-Aug (0) Sep-Nov (1) Dec-Feb (0) Language All languages English (1) Showing 1: English review Clear all Start your review of Los Gatos Museums Gallery Click to rate Joan L Los Altos, California Level Contributor 25 reviews 7 attraction reviews 5 helpful votes ??? Always a treat to visit this gallery ??? Reviewed September 9, 2016 I have been visiting this gallery several times a year for the past 7 years. The volunteers who staff the desk are unfailingly friendly and helpful. They are also often knowledgeable about not only their own art on exhibition but also about the art of their colleagues. The art itself varies in quality which actually adds to the interest of... More Helpful? Thank Joan L Report Updating list... Travelers who viewed Los Gatos Museums Gallery also viewed New Museum of Los Gatos 5 Reviews Los Gatos, CA Castle Rock State Park 66 Reviews Los Gatos, CA Castle Rock Falls 10 Reviews Los Gatos, CA Vasona Lake County Park 136 Reviews Los Gatos, CA All things to do in Los Gatos (36) Been to Los Gatos Museums Gallery? Share your experiences! Write a Review Add Photos & Videos Is This Your TripAdvisor Listing? Own or manage this property? Claim your listing for free to respond to reviews, update your profile and much more. Claim Your Listing Questions & Answers Questions? Get answers from Los Gatos Museums Gallery staff and past visitors. Hi, what would you like to know about this attraction? Posting guidelines Get notified about new answers to your questions. Ask Typical questions asked: Do I have to buy a ticket for my infant? How do I get there using public transportation? Is there a restaurant or caf?? onsite? Near Los Gatos Museums Gallery Top-rated Attractions Nearby 73 Reviews Testarossa 25 Reviews Oak Meadow Park 5 Reviews New Museum of Los Gatos Browse all attractions Top-rated Restaurants Nearby 113 Reviews Icing On the Cake 143 Reviews Steamer's Grillhouse 131 Reviews Willow Street Wood-Fired Pizza Browse all restaurants About Us | Site Map | Help Center ?? 2016 TripAdvisor LLC All rights reserved. TripAdvisor Terms of Use and Privacy Policy . * TripAdvisor LLC is not a booking agent and does not charge any service fees to users of our site... ( more ) TripAdvisor LLC is not responsible for content on external web sites. Taxes, fees not included for deals content.",#17,25,
Los Gatos,Regale Winery & Vineyards,https://www.tripadvisor.com/Attraction_Review-g32657-d2073412-Reviews-Regale_Winery_Vineyards-Los_Gatos_California.html,17,"24040 Summit Rd , Los Gatos , CA 95033-9290",+1 408-353-2500,,#6,25,
Los Gatos,Silver Mountain Vineyards,https://www.tripadvisor.com/Attraction_Review-g32657-d648839-Reviews-Silver_Mountain_Vineyards-Los_Gatos_California.html,5,"Silver Mountain Drive, between Miller Cut Off and Skyland Road , Los Gatos , CA",408-353-2278,,#15,25,
Los Gatos,Burrell School Vineyards & Winery,https://www.tripadvisor.com/Attraction_Review-g32657-d648837-Reviews-Burrell_School_Vineyards_Winery-Los_Gatos_California.html,10,"24060 Summit Rd , Los Gatos , CA 95033-9290",408-353-6290,,#10,25,
Los Gatos,David Bruce Winery,https://www.tripadvisor.com/Attraction_Review-g32657-d648838-Reviews-David_Bruce_Winery-Los_Gatos_California.html,13,"21439 Bear Creek Rd , Los Gatos , CA 95033-9429",408-354-4214,,#9,25,
Los Gatos,Loma Prieta Winery,https://www.tripadvisor.com/Attraction_Review-g32657-d2441406-Reviews-Loma_Prieta_Winery-Los_Gatos_California.html,14,"26985 Loma Prieta Way , Los Gatos , CA 95033-8103",408-353-2950,,#7,25,
Paso Robles,D'Anbino Vineyards & Cellars,https://www.tripadvisor.com/Attraction_Review-g32861-d1490961-Reviews-D_Anbino_Vineyards_Cellars-Paso_Robles_San_Luis_Obispo_County_California.html,23,"710 Pine St , Paso Robles , CA 93446-2858",805-227-6800,,#75,162,
Newport Beach,Environmental Nature Center,https://www.tripadvisor.com/Attraction_Review-g32780-d3653262-Reviews-Environmental_Nature_Center-Newport_Beach_California.html,13,"1601 E 16th St , Newport Beach , CA 92663-5976",949-645-8489,"??? Learn, See, Do ??? The Environmental Nature Center has been newly renovated. The new building is amazing. The trails outside take you through different ecosystems, they even have a section with... read more Reviewed August 24, 2016 Shawna B , North Carolina",#31,71,
Paso Robles,Paso Robles Wineries,https://www.tripadvisor.com/Attraction_Review-g32861-d10386553-Reviews-Paso_Robles_Wineries-Paso_Robles_San_Luis_Obispo_County_California.html,8,"560 10th Street Ste 201 , Paso Robles , CA 93446-2525",18052265555,,#79,162,
Paso Robles,We Olive,https://www.tripadvisor.com/Attraction_Review-g32861-d6951848-Reviews-We_Olive-Paso_Robles_San_Luis_Obispo_County_California.html,16,"1311 Park St , Paso Robles , CA 93446-2236",805-239-7961,,#57,162,
Paso Robles,Pianetta Winery,https://www.tripadvisor.com/Attraction_Review-g32861-d3293005-Reviews-Pianetta_Winery-Paso_Robles_San_Luis_Obispo_County_California.html,11,"829 13th St , Paso Robles , CA 93446-2220",805 226-4005,,#90,162,
Newport Beach,Orange County Museum of Art,https://www.tripadvisor.com/Attraction_Review-g32780-d259993-Reviews-Orange_County_Museum_of_Art-Newport_Beach_California.html,40,"850 San Clemente Dr , Newport Beach , CA 92660-6399","949-759-1122, 949-759-4848","??? Intimate Art Museum ??? I visited this museum for the first time about a week ago. It is rather small so you can see all of the exhibits in an hour (or two if you really like to linger). The current... read more Reviewed August 22, 2016 mkshaefer , Irvine, California",#28,71,
Paso Robles,Hearthstone Vineyard & Winery,https://www.tripadvisor.com/Attraction_Review-g32861-d3478415-Reviews-Hearthstone_Vineyard_Winery-Paso_Robles_San_Luis_Obispo_County_California.html,9,"5070 Vineyard Dr , Paso Robles , CA 93446-9682",(805) 238-2544,,#109,162,
Los Angeles,The Getty Center,https://www.tripadvisor.com/Attraction_Review-g32655-d147966-Reviews-The_Getty_Center-Los_Angeles_California.html,"9,709","1200 Getty Center Dr , Los Angeles , CA 90049-1657",13104407300,"??? A Fantastic Way To Spend An Afternoon ??? While visiting LA last month, I had the immense pleasure of visiting The Getty for the first time. The experience was outstanding from beginning to end: from the parking, to... read more Reviewed 2 days ago sox1fan , Weare, New Hampshire",#1,505,"Specialty Museums , Museums"
Paso Robles,Proulx Wines,https://www.tripadvisor.com/Attraction_Review-g32861-d1891770-Reviews-Proulx_Wines-Paso_Robles_San_Luis_Obispo_County_California.html,20,"5424 Vineyard Dr , Paso Robles , CA 93446-9684",+1 805-226-2800,,#70,162,
Newport Beach,Upper Newport Bay Regional Park,https://www.tripadvisor.com/Attraction_Review-g32780-d592151-Reviews-Upper_Newport_Bay_Regional_Park-Newport_Beach_California.html,34,"600 Shellmaker Rd , Newport Beach , CA 92660-8212",949 640 6746,"??? Sunset Tonight Was Great- Lots of birds ??? This is the best place to see wild life, mostly birds int he area. It is great to walk or bike around. I love it at night, when it is very peaceful. Reviewed September 21, 2016 Sienna G , New York",#22,71,
Paso Robles,Whalebone Vineyard,https://www.tripadvisor.com/Attraction_Review-g32861-d3628275-Reviews-Whalebone_Vineyard-Paso_Robles_San_Luis_Obispo_County_California.html,34,"8325 Vineyard Dr , Paso Robles , CA 93446-7613",805-239-9020,,#31,162,
Paso Robles,Oso Libre Winery,https://www.tripadvisor.com/Attraction_Review-g32861-d2148342-Reviews-Oso_Libre_Winery-Paso_Robles_San_Luis_Obispo_County_California.html,51,"7383 Vineyard Dr , Paso Robles , CA 93446-8676",(805) 238-3378,,#28,162,
Paso Robles,Thacher Winery,https://www.tripadvisor.com/Attraction_Review-g32861-d3483519-Reviews-Thacher_Winery-Paso_Robles_San_Luis_Obispo_County_California.html,15,"8355 Vineyard Dr , Paso Robles , CA 93446-7613",805-237-0087,,#66,162,
Newport Beach,Civic Center Park,https://www.tripadvisor.com/Attraction_Review-g32780-d8682112-Reviews-Civic_Center_Park-Newport_Beach_California.html,8,"100 Civic Center Dr , Newport Beach , CA 92660-3267",,"??? Great Family Place! ??? Beautiful location for a family to visit. Lots of space to walk and for children to run around. Lots of variety of art sculptures. Reviewed September 8, 2016 Linda C via mobile",#40,71,
Paso Robles,Ecluse Wines,https://www.tripadvisor.com/Attraction_Review-g32861-d1783162-Reviews-Ecluse_Wines-Paso_Robles_San_Luis_Obispo_County_California.html,60,"1520 Kiler Canyon Rd , Paso Robles , CA 93446-3703",805.238.4999,,#23,162,
Paso Robles,Lone Madrone Winery,https://www.tripadvisor.com/Attraction_Review-g32861-d1188663-Reviews-Lone_Madrone_Winery-Paso_Robles_San_Luis_Obispo_County_California.html,38,"5800 Adelaida Rd , Paso Robles , CA 93446-9783",805-238-0845,,#42,162,
Newport Beach,Peter & Mary Muth Interpretive Center,https://www.tripadvisor.com/Attraction_Review-g32780-d7988895-Reviews-Peter_Mary_Muth_Interpretive_Center-Newport_Beach_California.html,8,"2301 University Dr , Newport Beach , CA 92660-3310",(949) 923-2290,"??? Cool Place ??? I've been going to the Peter and Mary Muth interpretive Center ever since it was built. They have all kinds of activities and special days where you can learn not only about... read more Reviewed August 23, 2016 Shawna B , North Carolina",#39,71,
Paso Robles,Brochelle Vineyards,https://www.tripadvisor.com/Attraction_Review-g32861-d4205599-Reviews-Brochelle_Vineyards-Paso_Robles_San_Luis_Obispo_County_California.html,9,"6996 Peachy Canyon Rd , Paso Robles , CA 93446-6605",+1 805-237-4410,,#85,162,
Los Angeles,Hammer Museum,https://www.tripadvisor.com/Attraction_Review-g32655-d127420-Reviews-Hammer_Museum-Los_Angeles_California.html,108,,,"??? Nice Museum ??? I attended the Lawren Harris exhibit here last November and was very impressed with my visit to the museum itself. Easy parking, clean, quiet and free! A huge value and... read more Reviewed May 25, 2016 Kevin C , Montreal, Canada",#88,505,"Art Galleries , Art Museums , Shopping , Museums Overview Reviews (108) Q&A Location More Write a Review Save Does this activity require advanced planning, ticketing or reservations ? Yes No Unsure Is this activity accessible without advanced planning or reservations ? Yes No Unsure Is this attraction a hidden gem or off-the-beaten path? Yes No Unsure Does this attraction provide visitors with a taste of the local culture ? Yes No Unsure Is this attraction exciting, unusual, or risky to visit ? Yes No Unsure Does this attraction require above average amounts of physical activity (long walks, climbs, stairs or hikes)? Yes No Unsure Is this attraction good for couples ? Yes No Unsure Is this attraction suitable for adults only ? Yes No Unsure Is this attraction pet friendly ? Yes No Unsure Would this be a good sunny day activity? Yes No Unsure Thanks for helping! Share another experience before you go. Sponsored by: Also show Hotels Restaurants Things to Do Neighborhoods Also show Map Satellite Map updates are paused. Zoom in to see updated info. Reset zoom Updating Map... Sponsored by: Neighborhoods Neighborhoods Return to Map Get directions Address: 10899 Wilshire Blvd , Los Angeles , CA 90024-4343 Phone Number: +1 310-443-7000 Website"
Paso Robles,Poalillo Vineyards,https://www.tripadvisor.com/Attraction_Review-g32861-d4137026-Reviews-Poalillo_Vineyards-Paso_Robles_San_Luis_Obispo_County_California.html,7,"7970 Vineyard Dr , Paso Robles , CA 93446-9687",+1 805-238-0621,,#104,162,
Newport Beach,Mariner's Park,https://www.tripadvisor.com/Attraction_Review-g32780-d10134929-Reviews-Mariner_s_Park-Newport_Beach_California.html,2,"1300 Irvine Ave , Newport Beach , CA 92660-4605",9497212000,"??? Great for little kids ??? This little community park offers a nice playground for young children. It has a padded ground cover around the swings and slides. There are even trees to climb for the older... read more Reviewed 1 week ago John L. B , Newport Beach, California",#50,71,
Paso Robles,Stacked Stone Cellars,https://www.tripadvisor.com/Attraction_Review-g32861-d2694909-Reviews-Stacked_Stone_Cellars-Paso_Robles_San_Luis_Obispo_County_California.html,7,"1525 Peachy Canyon Rd , Paso Robles , CA 93446-7663",(805) 238-7872,,#115,162,
Paso Robles,L'Aventure Winery,https://www.tripadvisor.com/Attraction_Review-g32861-d2484335-Reviews-L_Aventure_Winery-Paso_Robles_San_Luis_Obispo_County_California.html,32,"2815 Live Oak Rd , Paso Robles , CA 93446-6613",(805) 227-1588,,#44,162,
Newport Beach,ExplorOcean,https://www.tripadvisor.com/Attraction_Review-g32780-d269455-Reviews-ExplorOcean-Newport_Beach_California.html,17,"600 E Bay Ave , Balboa Fun Zone , Newport Beach , CA 92661-1347",714-542-2823,"??? If you're in the area and have annual membership. ??? This was once known as ExplorOcean in Balboa Fun Zone. It has recently been merged with Discovery Cube and renamed Discovery Cube's OceanQuest. Since my boys love Discovery Cube... read more Reviewed August 23, 2016 BigBoyA77 , Los Angeles, California",#42,71,
Paso Robles,Zenaida Cellars,https://www.tripadvisor.com/Attraction_Review-g32861-d629493-Reviews-Zenaida_Cellars-Paso_Robles_San_Luis_Obispo_County_California.html,44,"1550 W Highway 46 , Paso Robles , CA 93446-9642",805-227-0382,,#34,162,
Paso Robles,Law Estates Winery,https://www.tripadvisor.com/Attraction_Review-g32861-d7712102-Reviews-Law_Estates_Winery-Paso_Robles_San_Luis_Obispo_County_California.html,23,"3885 Peachy Canyon Rd , Paso Robles , CA 93446-9691",805-226-9200,,#32,162,
Newport Beach,West Jetty View Park,https://www.tripadvisor.com/Attraction_Review-g32780-d3217739-Reviews-West_Jetty_View_Park-Newport_Beach_California.html,12,"Channel Rd , Newport Beach , CA",,"??? Watch the Boats Come and Go ??? My family and I always enjoy a bike ride to this park, to stay for a while and watch the boats come and go from/to the ocean to/from Newport Harbor. Reviewed August 9, 2016 Andrew H , Riverside, California",#32,71,
Newport Beach,Castaways Park,https://www.tripadvisor.com/Attraction_Review-g32780-d7751786-Reviews-Castaways_Park-Newport_Beach_California.html,16,"Newport Beach , CA",,"??? Field of Honor ??? The week before Memorial Day the Exchange Club places 1776 American Flags on the Castaways Park. It is open to everyone for about 3 days. What a special treat they provide our... read more Reviewed May 27, 2016 Hyflyingbee",#25,71,
Paso Robles,Linne Calodo,https://www.tripadvisor.com/Attraction_Review-g32861-d2484347-Reviews-Linne_Calodo-Paso_Robles_San_Luis_Obispo_County_California.html,26,"3030 Vineyard Drive , Paso Robles , CA 93446",805.227.0797,,#47,162,
Paso Robles,Ravine Waterpark,https://www.tripadvisor.com/Attraction_Review-g32861-d1862641-Reviews-Ravine_Waterpark-Paso_Robles_San_Luis_Obispo_County_California.html,84,"2301 Airport Rd , Paso Robles , CA 93446-8549",805-237-8500,,#19,162,
Paso Robles,Minassian-Young Vineyards,https://www.tripadvisor.com/Attraction_Review-g32861-d9842147-Reviews-Minassian_Young_Vineyards-Paso_Robles_San_Luis_Obispo_County_California.html,5,"4045 Peachy Canyon Rd , Paso Robles , CA 93446-9627",805-238-7571,,#105,162,
Newport Beach,Orange Coast Winery,https://www.tripadvisor.com/Attraction_Review-g32780-d2539899-Reviews-Orange_Coast_Winery-Newport_Beach_California.html,17,"869 W 16th St , Newport Beach , CA 92663-2801",949-645-0400,"??? Fabulous Wines, Friendly Service ??? This is a hidden gem. We had fantastic service from knowledgeable servers. Get the cheese or meat and cheese plate to pair the wines. Also, the hummus trio gets a five stars from... read more Reviewed September 20, 2016 Jones211 , Newport Beach, California",#30,71,
Paso Robles,Robert Hall Winery,https://www.tripadvisor.com/Attraction_Review-g32861-d629441-Reviews-Robert_Hall_Winery-Paso_Robles_San_Luis_Obispo_County_California.html,39,"3443 Mill Rd , Paso Robles , CA 93446-7345",805 239 1616,,#38,162,
Paso Robles,Bianchi Vineyard and Winery,https://www.tripadvisor.com/Attraction_Review-g32861-d4762466-Reviews-Bianchi_Vineyard_and_Winery-Paso_Robles_San_Luis_Obispo_County_California.html,28,"3380 Branch Rd , Paso Robles , CA 93446-8314",805.226.9922,,#56,162,
Paso Robles,Meridian Vineyards,https://www.tripadvisor.com/Attraction_Review-g32861-d318834-Reviews-Meridian_Vineyards-Paso_Robles_San_Luis_Obispo_County_California.html,9,"7000 E Highway 46 , Paso Robles , CA 93446-7390",805-226-7133,,#155,162,
Newport Beach,Balboa Island Museum & Historical Society,https://www.tripadvisor.com/Attraction_Review-g32780-d10335909-Reviews-Balboa_Island_Museum_Historical_Society-Newport_Beach_California.html,2,"331 Marine Avenue , Newport Beach , CA 92662",9496753952,"??? best of Balboa island ??? It is very charming and great to see the history of Balboa island. God bless Sharon and Bob Lambert. ... for all of their hard work. Reviewed 2 weeks ago Cat1893 , Tustin, California",#49,71,
Paso Robles,Barr Estate Winery,https://www.tripadvisor.com/Attraction_Review-g32861-d6696367-Reviews-Barr_Estate_Winery-Paso_Robles_San_Luis_Obispo_County_California.html,7,"6950 Union Rd , Paso Robles , CA 93446-9348",805-835-7653,,#92,162,
Paso Robles,Steinbeck Vineyards & Winery,https://www.tripadvisor.com/Attraction_Review-g32861-d7644863-Reviews-Steinbeck_Vineyards_Winery-Paso_Robles_San_Luis_Obispo_County_California.html,17,"5940 Union Rd , Paso Robles , CA 93446-9345",805.238.1854,,#51,162,
Los Angeles,"University of California, Los Angeles (UCLA)",https://www.tripadvisor.com/Attraction_Review-g32655-d144145-Reviews-University_of_California_Los_Angeles_UCLA-Los_Angeles_California.html,415,"Sunset Blvd. , Los Angeles , CA",310/206-8147,??? alma mater ??? still looks great great Westwood still the best. For LA very liveable area betterr than most other locations for aparment or condo living and peo0le to meet next to 405 or we used... read more Reviewed 3 days ago bateso,#24,505,"Educational sites , Sights & Landmarks"
Paso Robles,Eos Estate Winery,https://www.tripadvisor.com/Attraction_Review-g32861-d318832-Reviews-Eos_Estate_Winery-Paso_Robles_San_Luis_Obispo_County_California.html,28,"2300 Airport Rd , Paso Robles , CA 93446-8549",805-591-8050,,#59,162,
