youTubeLinkIds@sourceA,attraction_name@sourceA,attraction_knownFor@sourceA,attraction_reviewComment@sourceA,attraction_ranking@sourceA,attraction_no_of_reviews@sourceA,attraction_contact@sourceA,attraction_in@sourceA,attraction_address@sourceA,attraction_url@sourceA,attraction_in_file@sourceA,mention_name@sourceB,mention_popularity@sourceB,mention_longitude@sourceB,mention_latitude@sourceB,no_of_blogFiles@sourceB,Confidence
"OtNEmt8pWgI,sz02fKNbic4,noQ0ELeL27M",Alcazar Garden,,Yet another free thing to do at Balboa Park. The hedges are badly in need of a trim (as you may be able to see from the photos). Pretty much a walk through all the same...,160,28,+1 619-239-0512,San Diego,"El Prado at Park Boulevard , San Diego , CA",https://www.tripadvisor.com/Attraction_Review-g60750-d156155-Reviews-Alcazar_Garden-San_Diego_California.html,san_diego.json,alcazar garden,1,-122.4141086,37.7868699,1,100
"c7NVYfnzVXI,tJiKR_QGbDY,4OuNItXs59I",Aliso Beach Park,,"Great beach, easy to get to with lots of parking. The beach is dog friendly and popular with surfers. One word of caution, the sand running into the sea is a little steep and the... read more",11,104,(949)923-2280,Laguna Beach,"31131 S. Pacific Coast Hwy , Laguna Beach , CA 92652",https://www.tripadvisor.com/Attraction_Review-g32588-d4087681-Reviews-Aliso_Beach_Park-Laguna_Beach_California.html,laguna_beach.json,aliso beach park,1,-117.7525543,33.5100268,2,100
"uDQOwTJ1IkU,6-dRc7F4OwY,bjaguP5w0G8",Almaden Quicksilver County Park,"Points of Interest & Landmarks , Nature & Parks , Sights & Landmarks",Many trails provide hikers with the opportunity to birdwatch and learn some history relating to mercury minng The trails are empty midweek Be sure to take water,11,112,+1 408-358-3741 ext. 131,San Jose,"At the corner of McAbee Road and Camden Avenue , San Jose , CA 95120",https://www.tripadvisor.com/Attraction_Review-g33020-d146952-Reviews-Almaden_Quicksilver_County_Park-San_Jose_California.html,san_jose.json,almaden quicksilver county park,1,-121.8463347,37.1850743,16,100
"ma3MJl1vC6Q,XCUWtfFQLbM,8aNvzRf5IfI",Alpine Meadows,"Ski & Snowboard Areas , Nature & Parks , Outdoor Activities","Nice 2h return walk above Alpine Meadows to the Five Lakes. Good views across the mountains. Trail was in good condition, and we were able to achieve a height gain of 1000' which... read more",5,100,+1 800-403-0206,Tahoe City,"2600 Alpine Meadows Rd , Tahoe City , CA 96146-9854",https://www.tripadvisor.com/Attraction_Review-g33155-d156933-Reviews-Alpine_Meadows-Tahoe_City_Lake_Tahoe_California_California.html,tahoe_city.json,alpine meadows,2,-120.2276947,39.1785177,2,100
"K_YPsUiG4n8,DaMfmvqd57E,9Gc-qU04J6M",Alta Laguna PArk,,"I was in Search of Top of the World and this park is right by the main hill. It's a beautiful park with great views of the valley. Has a jungle gym, tennis courts, shelters, and... read more",17,30,,Laguna Beach,"3299 Alta Laguna Blvd , Laguna Beach , CA 92651-2059",https://www.tripadvisor.com/Attraction_Review-g32588-d3252692-Reviews-Alta_Laguna_PArk-Laguna_Beach_California.html,laguna_beach.json,alta laguna park,1,-117.7583472,33.55577725,1,100
"I5VMhUMYYjg,2Zjhu4wPOXs,HzNipz7JZ60",Alum Rock Park,Nature & Parks,If you've never been to Alum Rock Park -- DO IT! Even if you're a Santa Cruz Mountain snob -- these hills and trails (while a bit drier and different vegetation) will not... read more,14,98,+1 408-259-5477,San Jose,"16240 Alum Rock Ave , San Jose , CA 95127-1307",https://www.tripadvisor.com/Attraction_Review-g33020-d561235-Reviews-Alum_Rock_Park-San_Jose_California.html,san_jose.json,alum rock park,2,-121.8032282,37.39869235,3,100
"Vs-m2Cefx18,BLaDgZEtcLc,r6LgRVFz3Pc",American River Bicycle Trail,"Biking Trails , Outdoor Activities , Nature & Parks","Very accessible from all parts of town and beyond, it winds along the American River from Old Sacramento to Folsom. Approx. 8-10 ft wide asphalt with a divider strip for the bike... read more",4,425,9162482660,Sacramento,"Sacramento , CA",https://www.tripadvisor.com/Attraction_Review-g32999-d142861-Reviews-American_River_Bicycle_Trail-Sacramento_California.html,sacramento.json,american river bike trail,3,-121.4217199,38.566474,4,100
"f37MYrcp6ms,MLwd-rtRiu4,jLT9r5FWfxQ",American River Parkway,"Bodies of Water , Nature & Parks","Everytime I ride or walk on the American River Parkway I want to hug the people who had the foresight to create such a recreational treasure. You can ride your horse or bike, walk... read more",17,120,+1 916-875-6961,Sacramento,"Discovery Park to Hazel Avenue , 4,800-acres of Public Park Along 23 Miles of River , Sacramento , CA 95825",https://www.tripadvisor.com/Attraction_Review-g32999-d128282-Reviews-American_River_Parkway-Sacramento_California.html,sacramento.json,american river parkway,4,-121.3032835,38.6221269,6,100
"WdQnXKUWt_0,3A2JCOZ0RjI,l0EVZrDy5_Q",Anacapa Island,,Our visit to Anacapa was a day well spent. The ride over and back with Island Packers was enjoyable; we were fortunate to have calm waters and not too strong of a breeze. Three... read more,2,76,(805) 658-5730,Channel Islands National Park,"Channel Islands , Channel Islands National Park, CA",https://www.tripadvisor.com/Attraction_Review-g143019-d108635-Reviews-Anacapa_Island-Channel_Islands_National_Park_California.html,channel_islands_national_park.json,anacapa island,3,-119.4245809,34.0107087,3,100
"QFtvG2BiqDk,7eRfQZKhmCY,XFB5Xtvgexc",Anaheim Convention Center,"Neighborhood: Anaheim Resort Conference & Convention Centers , Traveler Resources","Attended the 2016 NSC in mid-October. Overall a wonderful convention facility well located with good hotels at various price points in close proximity. Great staff, super helpful... read more",7,693,+1 714-765-8950,Anaheim,"800 W Katella Ave , Anaheim , CA 92802-3496",https://www.tripadvisor.com/Attraction_Review-g29092-d1418518-Reviews-Anaheim_Convention_Center-Anaheim_California.html,anaheim.json,anaheim convention center,3,-117.9209445,33.8004226,6,100
"QFtvG2BiqDk,7eRfQZKhmCY,XFB5Xtvgexc",Anaheim Convention Center,"Neighborhood: Anaheim Resort Conference & Convention Centers , Traveler Resources","Attended the 2016 NSC in mid-October. Overall a wonderful convention facility well located with good hotels at various price points in close proximity. Great staff, super helpful... read more",7,693,+1 714-765-8950,Anaheim,"800 W Katella Ave , Anaheim , CA 92802-3496",https://www.tripadvisor.com/Attraction_Review-g29092-d1418518-Reviews-Anaheim_Convention_Center-Anaheim_California.html,anaheim.json,anaheim convention centre,1,-117.9209445,33.8004226,1,100
"-90Y_e-RKMg,0hbqV5S3Ig8,tMpNxTmMb3c",Anaheim Plaza,,An outdoor mall for the most part with large box stores. Good place to pick up supplies when on holidays with the standard Walmart.,64,36,,Anaheim,"510 N Euclid St , Anaheim , CA 92801-5510",https://www.tripadvisor.com/Attraction_Review-g29092-d1415063-Reviews-Anaheim_Plaza-Anaheim_California.html,anaheim.json,anaheim plaza,1,-117.9393689,33.83822405,1,100
"i1kt1_8twcE,boukwnMeF2Y",Anderson Valley,"Valleys , Nature & Parks",Enjoyed touring this wonderful winery region in California. It's very low key but has some amazing pinot wines.,1,72,,Philo,"Philo , CA",https://www.tripadvisor.com/Attraction_Review-g32878-d105535-Reviews-Anderson_Valley-Philo_Mendocino_County_California.html,philo.json,anderson valley,4,-120.4700107,39.1117345,7,100
"sjl8XYmHBSg,QRpssUc0GVM,yfcnmPu9KEU",Angel Stadium of Anaheim,,"I have been coming to the Angel Stadium since 1977. The stadium is nice, but old. They did remodels to the stadium, but not really that much to make it as nice as other stadiums... read more",5,"1,197",+1 714-940-2000,Anaheim,"2000 E Gene Autry Way , Anaheim , CA 92806-6143",https://www.tripadvisor.com/Attraction_Review-g29092-d630476-Reviews-Angel_Stadium_of_Anaheim-Anaheim_California.html,anaheim.json,angel stadium of anaheim,2,-117.8817425,33.8002599,2,100
"_4S2hlvRcr0,MWq9vCW5dDI,i9EhhYZsn1g",Angeles Crest Highway,,Who knew there were fall colors to be seen in southern California?! It was a pleasant surprise to us. We just wanted to enjoy a nature drive and this route exceeded every... read more,151,16,,Los Angeles,"Los Angeles , CA",https://www.tripadvisor.com/Attraction_Review-g32655-d277323-Reviews-Angeles_Crest_Highway-Los_Angeles_California.html,los_angeles.json,angeles crest highway,8,-118.2000652,34.2122297,26,100
"_4S2hlvRcr0,MWq9vCW5dDI,i9EhhYZsn1g",Angeles Crest Highway,,Who knew there were fall colors to be seen in southern California?! It was a pleasant surprise to us. We just wanted to enjoy a nature drive and this route exceeded every... read more,151,16,,Los Angeles,"Los Angeles , CA",https://www.tripadvisor.com/Attraction_Review-g32655-d277323-Reviews-Angeles_Crest_Highway-Los_Angeles_California.html,los_angeles.json,angeles forest highway,1,-118.1615099,34.2739116,1,100
"0xRt9jaAuWA,W4HKfgAfGdc,Yu3FDJL2n5U",Angeles National Forest,"Forests , National Parks , Nature & Parks","Spectacular, especially compared to other California ""forests"" that aren't. This one is lush and even has some fall colors. We came here from the southeast direction, from I-15N... read more",4,41,+1 626-574-5200,Arcadia,"701 N Santa Anita Ave , Arcadia , CA 91006-2725",https://www.tripadvisor.com/Attraction_Review-g29105-d207972-Reviews-Angeles_National_Forest-Arcadia_California.html,arcadia.json,angeles national forest,2,-118.590355,34.6169308,3,100
"OQU7bWFKss8,TxRod3aVN1g,TfCTuXscPs4",Annadel State Park,"State Parks , Nature & Parks",This is a beautiful park with lots of wonderful trails for all levels of hiking. Come with your bike if that's your interest. You can hike or bike to the top of Mt. Bennett if you... read more,6,131,+1 707-539-3911,Santa Rosa,"6201 Channel Dr , Santa Rosa , CA 95409-5701",https://www.tripadvisor.com/Attraction_Review-g33055-d288409-Reviews-Annadel_State_Park-Santa_Rosa_Sonoma_County_California.html,santa_rosa.json,annadel state park,1,-122.6243442,38.42610915,1,100
"GdbRaajAVA0,UYjNTENqynE,pAaxxTSasWU",Aquatic Park,,It has a great playground for kids. The open green space along the water though makes this a nice place to spend your lunchtime. The traffic can be less than pleasant from the... read more,30,10,,Berkeley,"80 Bolivar Dr , Berkeley , CA 94710-2211",https://www.tripadvisor.com/Attraction_Review-g32066-d7953024-Reviews-Aquatic_Park-Berkeley_California.html,berkeley.json,aquatic park,3,-122.2988824,37.8558224,4,100
"GdbRaajAVA0,UYjNTENqynE,pAaxxTSasWU",Aquatic Park,"Neighborhood: Fishermanニ_ニ_ニ_s Wharf Neighborhoods , Sights & Landmarks , Other, Nature & Parks",Just at the end of fishermans wharf. nice walk out the pier and a super view of The Rock. Nice place to relax from the hussle and bussle of fishermans wharf. grab a book and relax... read more,125,42,(415) 447-5000,San Francisco,"499 Jefferson St , San Francisco Maritime National Historical Park , San Francisco , CA 94109-1314",https://www.tripadvisor.com/Attraction_Review-g60713-d104950-Reviews-Aquatic_Park-San_Francisco_California.html,san_francisco.json,aquatic park,3,-122.2988824,37.8558224,4,100
"DeeLlZY68eI,12rkN0fI9jA,MDCpKdNb-5w",Arch Rock,,"These are beautiful natural rock formations to see on a slow drive through Joshua Tree National Park . But please do stop, get out & walk the easy 0.5 mile trail to the Arch Rock... read more",10,33,7603675500,Joshua Tree National Park,"Pinto Basin Road , Joshua Tree National Park, CA",https://www.tripadvisor.com/Attraction_Review-g143037-d6701329-Reviews-Arch_Rock-Joshua_Tree_National_Park_California.html,joshua_tree_national_park.json,arch rock,1,-117.8678342,33.5875228,2,100
"eBohOV4qP24,TuDClIROt0I,lfqsw4H6eQ4",Arlington Theatre,,We visited here and saw 'Sully' the film. The theatre just has one screen and so a limited number of showings a day. Ticket prices were pretty good (can only compare to UK cinema... read more,39,89,+1 805-963-4408,Santa Barbara,"1317 State St , Santa Barbara , CA 93101-2647",https://www.tripadvisor.com/Attraction_Review-g33045-d544557-Reviews-Arlington_Theatre-Santa_Barbara_California.html,santa_barbara.json,arlington theatre,2,-119.70697,34.4242119,120,100
"TKgfw1aLre4,EaMMAjr0oWs,SlauBrZLIC0",Asian Garden Mall,,Took my friends who are here visiting from Rochester to see Little Saigon. Had to stop at the main mall to check my favorite bakery for Almond cookies. They were all out!?! Said... read more,2,12,+1 714-897-9926,Westminster,"9200 Bolsa Ave , Westminster , CA 92683-5500",https://www.tripadvisor.com/Attraction_Review-g33260-d2477995-Reviews-Asian_Garden_Mall-Westminster_California.html,westminster.json,asian garden mall,1,-117.9686415,33.7433939,1,100
"YGP6usNfFnA,n2G126FAzXE,7ZshJnroQUU",Asistencia,,The bell-tower or wall of this little museum makes a nice landmark for the end of Loma Linda and the beginning of Redlands. An asistencia was a kind of annex to a Mission... read more,26,6,(909) 793-5402,Redlands,"26930 Barton Rd , Redlands , CA 92373-4312",https://www.tripadvisor.com/Attraction_Review-g32953-d8652565-Reviews-Asistencia-Redlands_California.html,redlands.json,asistencia,1,-117.2167061,34.0489029,1,100
"jR5g-Q44q78,hLkX0jiCb6E,j28lJC8ax2o",Avila Valley Barn,"Farms , Sights & Landmarks",This is an amazing establishment that sells a variety of crafts as well as yummy food and fruits and veggies. In the Fall they have a pumpkin patch and a variety of activities... read more,3,222,+1 805-595-2810,San Luis Obispo,"560 Avila Beach Dr , San Luis Obispo , CA 93405-8047",https://www.tripadvisor.com/Attraction_Review-g33026-d3332341-Reviews-Avila_Valley_Barn-San_Luis_Obispo_San_Luis_Obispo_County_California.html,san_luis_obispo.json,avila valley barn,2,-120.7061067,35.1828049,20,100
"CfakbfTvJio,Uz1SIdi1ZvE,-a3nRkYGeKc",Backbone Trail,,Several side trails and fire roads. Some of the trail systems are better than others. Some side trails are open to bikes some are not. The ocean front trails are great with great... read more,21,21,,Malibu,"Malibu , CA",https://www.tripadvisor.com/Attraction_Review-g32676-d146185-Reviews-Backbone_Trail-Malibu_California.html,malibu.json,backbone trail,2,-118.763353,34.0810603,2,100
"oCLpLWcX2cg,xJMji5x8Qzo,4G2MEszpox0",Bagdad Cafe,,"Its not a gourmet restaurant, just a stop along Route 66. Its a nostalgia trip. Friendly service, good cup of coffee, some interesting conversation, nice photo op, lots of... read more",1,58,17602573101,Newberry Springs,"Route 66 , Newberry Springs , CA",https://www.tripadvisor.com/Attraction_Review-g32775-d4064595-Reviews-Bagdad_Cafe-Newberry_Springs_California.html,newberry_springs.json,bagdad cafe,1,-116.6433071,34.81965555,1,100
"pbevC3hsf68,jLMxPSYw4PI,-pVCv5pNVlw",Baker Beach,"Beaches , Outdoor Activities , Nature & Parks","We bought a book, 50 walks in San Francisco. The walk from Bakers beach really appealed as we could take our dog. The views are just stunning, and far less busy / commercial... read more",31,547,+1 415-561-4323,San Francisco,"1504 Pershing Dr , San Francisco , CA 94129-3306",https://www.tripadvisor.com/Attraction_Review-g60713-d754023-Reviews-Baker_Beach-San_Francisco_California.html,san_francisco.json,baker beach,3,-122.4838421,37.7931092,8,100
"FfEKgCicqiE,tQ11UGd9L-s",Balboa Fun Zone,,"This area is perfect for the family with children, its got the rides & fun-zone with games. There are dining options that would cater perfectly for kids, theres ice cream... read more",16,198,+1 949-673-0408,Newport Beach,"600 E Bay Ave Ste R , Newport Beach , CA 92661-1347",https://www.tripadvisor.com/Attraction_Review-g32780-d2359997-Reviews-Balboa_Fun_Zone-Newport_Beach_California.html,newport_beach.json,balboa fun zone,8,-117.9001405,33.60326875,13,100
"FfEKgCicqiE,ar7S9bUIcEc,RDI_gy6W8TE",Balboa Island,"Islands , Nature & Parks",If your looking for something fun to do then you can't go wrong with a visit to Balboa Island. The stores offer a village feel down Main Street and there is a wide variety of... read more,3,955,9496736580,Newport Beach,"Newport Beach , CA",https://www.tripadvisor.com/Attraction_Review-g32780-d269454-Reviews-Balboa_Island-Newport_Beach_California.html,newport_beach.json,balboa island,42,-117.8920818,33.6064778,134,100
"I8sGfuSvOE0,FHwP1ON-kG0,vXSQv33akiQ",Balboa Island Ferry,"Ferries , Transportation","It is great to see a ferry on the island. Balboa is great, its quirky as is this ferry, I deliberately wait to use this ferry instead of driving across the bridge. One does speed... read more",1,"1,239",+1 949-673-1070,Newport Beach,"410 S Bay Front , Newport Beach , CA 92662-1042",https://www.tripadvisor.com/Attraction_Review-g32780-d2081137-Reviews-Balboa_Island_Ferry-Newport_Beach_California.html,newport_beach.json,balboa island ferry,3,-117.9002154,33.6035099,17,100
"IeIqaNR5Zs4,zG4WSd-jr2E,mfFZsd-Y_KE",Balboa Park,"Playgrounds , Gardens , Fun & Games , Nature & Parks",We enjoyed walking around Balboa park. It is huge. We took the trolley to college park and then bus 7 to Balboa park. It is a pretty long walk from downtown. There are a lot of... read more,3,"7,784",619-239-0512,San Diego,"1549 El Prado , San Diego , CA 92101-1660",https://www.tripadvisor.com/Attraction_Review-g60750-d102782-Reviews-Balboa_Park-San_Diego_California.html,san_diego.json,balboa park,23,-122.4448044,37.72494875,115,100
"p7abSExQ-10,p9Wh_EWbQE0,gGBtS8pSIKM",Balboa Pier,"Piers & Boardwalks , Points of Interest & Landmarks , Sights & Landmarks","In the fall/winter season, this place has nice sunsets, and sometimes you can watch dolphins, whales, sea lions and seals.",7,199,+1 949-675-8600,Newport Beach,"50 Main Street , Newport Beach , CA 92661",https://www.tripadvisor.com/Attraction_Review-g32780-d4695690-Reviews-Balboa_Pier-Newport_Beach_California.html,newport_beach.json,balboa pier,2,-117.9006349,33.5995462,6,100
"mLghK0_hL4o,KdYgBtS143Y,QaWqmWDTt-U",Balboa Village,"Piers & Boardwalks , Sights & Landmarks","Part of a day tour i took involved some time to explore this cute little waterside area. I could imagine this area would be very busy with families with children on weekends, it... read more",10,127,,Newport Beach,"Balboa Penninsula , Newport Beach , CA",https://www.tripadvisor.com/Attraction_Review-g32780-d2490379-Reviews-Balboa_Village-Newport_Beach_California.html,newport_beach.json,balboa village,2,-117.8377322,33.7395073,2,100
"rraD0p44LKQ,zwD3PiwAvH0,XyGYCbl7G3E",Barnsdall Art Park,,"I thought this was a beautiful gem within the city. I was so surprised that this place wasn't crowded! There was beautiful art everywhere, but the highlight of this experience was... read more",144,20,+1 323-644-6269,Los Angeles,"4800 Hollywood Blvd , Los Angeles , CA 90027-5302",https://www.tripadvisor.com/Attraction_Review-g32655-d2234805-Reviews-Barnsdall_Art_Park-Los_Angeles_California.html,los_angeles.json,barnsdall art park,4,-118.2942147,34.1004417,14,100
"S78zHoJQxME,M9wiI6Td-lI,4Ffw32xQFEQ",Barrio,,We visited on the tail end of happy hour (4-6pm). House margarita was good for the happy hour special. The patio seating is quite pleasant. The traffic isn't very noisy. Umbrellas... read more,36,13,,Carlsbad,"Tyler St. and Pine Ave. , Carlsbad , CA",https://www.tripadvisor.com/Attraction_Review-g32171-d282201-Reviews-Barrio-Carlsbad_California.html,carlsbad.json,barrio,2,-122.4927582,38.5260194,2,100
"FaAo_xFow3M,f3EWecrhj2g",Bay Area Discovery Museum,"Children's Museums , Science Museums , Specialty Museums , Museums , More",We got a Groupon to here and decided to go on a Saturday. Since there driver from home is over an hour we reached only by 11 am and initially I thought that we might not have... read more,8,166,415-339-3900,Sausalito,"557 McReynolds Rd , Sausalito , CA 94965-2614",https://www.tripadvisor.com/Attraction_Review-g33062-d103953-Reviews-Bay_Area_Discovery_Museum-Sausalito_Marin_County_California.html,sausalito.json,bay area discovery museum,4,-122.4770556,37.8357085,20,100
"X_fep4zOiag,0PoGETdf4WQ",Bay Street,,Small shopping area away from traffic. There is a AMC Movies and restaurants on the upper level and you can get a glimpse of the bay from there.,3,18,+1 510-655-4002,Emeryville,"5616 Bay St , Emeryville , CA 94608-2408",https://www.tripadvisor.com/Attraction_Review-g32352-d8749969-Reviews-Bay_Street-Emeryville_California.html,emeryville.json,bay street,2,-118.4274015,33.9748875,4,100
"qpsYgalyLQI,i5GUP8SvDTE",Bay Trail,,"I've been biking this trail (infrequently) for years. Recently, it was refurbished and is in good shape. It connects with the awesome Stevens Creek Trail of Mountain View as you... read more",12,5,,Mountain View,"Mountain View , CA",https://www.tripadvisor.com/Attraction_Review-g32761-d10055765-Reviews-Bay_Trail-Mountain_View_California.html,mountain_view.json,bay trail,1,-119.8851899,35.264709,1,100
"lfQhBRvhyo0,9bEQ6xnzdqg,lz73Luv6QfQ",Beach Chalet,,"We got a recommendation to visit The Beach Chalet while on our long weekend getaway to San Francisco. Although we were told you don't need a reservation, we phoned for one... read more",183,77,+1 415-386-8439,San Francisco,"1000 Great Hwy , Between Lincoln and Fulton , San Francisco , CA 94121-3268",https://www.tripadvisor.com/Attraction_Review-g60713-d156308-Reviews-Beach_Chalet-San_Francisco_California.html,san_francisco.json,beach chalet,1,-122.5102177,37.7694735,2,100
"qQHupNAqMos,Vw1uHrzcJqM,Jxjg1cDNOe0",Beals Point,,Super easy to find and the campsites are well laid out and not on top of each other. We stayed in an outer loop site. There is a lot of poison oak. The bathrooms were clean and... read more,10,23,+1 916-988-0205,Folsom,"7806 Folsom Auburn Rd , Folsom , CA 95630-1717",https://www.tripadvisor.com/Attraction_Review-g32389-d142876-Reviews-Beals_Point-Folsom_California.html,folsom.json,beals point,2,-121.1726142,38.72077175,3,100
"R2c5tTfEpxw,UxXtH59FjsY,YwoYv1REVss",Bell Tower,"Monuments & Statues , Sights & Landmarks",Historic Bell Tower located in the middle of historic Placerville. They have it decorated with hanging flower baskets.,8,46,,Placerville,"Placerville , CA 95667",https://www.tripadvisor.com/Attraction_Review-g32898-d103127-Reviews-Bell_Tower-Placerville_California.html,placerville.json,bellflower,8,-118.1167678,33.8825705,11,100
"gHxa7z8Ecw0,BHgebT-i99A",Bella Terra,,The Century Theater inside the shopping center is very nice and beautiful. We had gone to see a movie with family and quite enjoyed the movie in the cozy little theater.,23,17,+1 714-897-2534,Huntington Beach,"7777 Edinger Ave Ste 133 , Huntington Beach , CA 92647-8689",https://www.tripadvisor.com/Attraction_Review-g32513-d3384278-Reviews-Bella_Terra-Huntington_Beach_California.html,huntington_beach.json,bella terra,1,-121.3729034,38.7823814,3,100
"pmSrxD5m4tY,fw1JcuNx7kU,CeboCW6sHZE",Belmont Park,,We had a great time! Took my tween and teen for an evening of fun while we were in town. If you're headed the Belmont Park and think you should invest in the wristbands for the... read more,51,509,18582289283,San Diego,"3146 Mission Blvd , San Diego , CA 92109-7767",https://www.tripadvisor.com/Attraction_Review-g60750-d104585-Reviews-Belmont_Park-San_Diego_California.html,san_diego.json,belmont park,6,-117.252157,32.7709175,14,100
"ad9U7aLG5GM,ZusV49hX61E,dx7RJfvty3k",Berkeley Marina,"Neighborhoods , Marinas , Sights & Landmarks , Nature & Parks , Other","The Cal Sailing club is one of the best deals in the Bay Area. Only about $100 for 3 months, unlimited rentals and lessons, all included in the price. Great views of the bay... read more",4,195,+1 510-981-6740,Berkeley,"201 University Ave , Berkeley , CA 94710-1618",https://www.tripadvisor.com/Attraction_Review-g32066-d146942-Reviews-Berkeley_Marina-Berkeley_California.html,berkeley.json,berkeley marina,11,-122.3130527,37.8678664,13,100
