Attraction@sourceA,City@sourceA,ReviewCount@sourceA,URL@sourceA,Address@sourceA,ContactNo@sourceA,Review@sourceA,Rank@sourceA,Total Attractions@sourceA,KnownFor@sourceA,name@sourceB,longitude@sourceB,latitude@sourceB,blogLinks@sourceB,address@sourceB,src@sourceB,dest@sourceB,Confidence
Island Paddle Board,Balboa Island,9,https://www.tripadvisor.com/Attraction_Review-g580459-d3213529-Reviews-Island_Paddle_Board-Balboa_Island_Newport_Beach_California.html,"229 Marine Ave , Newport Beach , Balboa Island, CA 92662-1247",949-673-4280,,#3,6,,balboa island,-117.8920818,33.6064778,https://www.tripadvisor.com/Travel-g28926-c174834/California:United-States:Coast.Highway.Route.From.La.To.San.Diego.html,"Balboa Island, Newport Beach, Orange County, California, United States of America",anaheim,malibu,100
Balboa Boat Rentals,Balboa Island,1,https://www.tripadvisor.com/Attraction_Review-g580459-d8756539-Reviews-Balboa_Boat_Rentals-Balboa_Island_Newport_Beach_California.html,"510 E Edgewater Ave , Newport Beach , Balboa Island, CA 92661-1274",+1 949-673-7200,,#6,6,,balboa island,-117.8920818,33.6064778,https://www.tripadvisor.com/Travel-g28926-c174834/California:United-States:Coast.Highway.Route.From.La.To.San.Diego.html,"Balboa Island, Newport Beach, Orange County, California, United States of America",anaheim,malibu,100
Fun Zone Boat Company,Balboa Island,41,https://www.tripadvisor.com/Attraction_Review-g580459-d3347798-Reviews-Fun_Zone_Boat_Company-Balboa_Island_Newport_Beach_California.html,"600 E Edgewater Ave , Newport Beach , Balboa Island, CA 92661-1345",(949) 673-0240,,#1,6,,balboa island,-117.8920818,33.6064778,https://www.tripadvisor.com/Travel-g28926-c174834/California:United-States:Coast.Highway.Route.From.La.To.San.Diego.html,"Balboa Island, Newport Beach, Orange County, California, United States of America",anaheim,malibu,100
Our Gang's General Store,Balboa Island,2,https://www.tripadvisor.com/Attraction_Review-g580459-d8410384-Reviews-Our_Gang_s_General_Store-Balboa_Island_Newport_Beach_California.html,"217 Marine Ave , Newport Beach , Balboa Island, CA 92662-1288",949 675-0666,,#5,6,,balboa island,-117.8920818,33.6064778,https://www.tripadvisor.com/Travel-g28926-c174834/California:United-States:Coast.Highway.Route.From.La.To.San.Diego.html,"Balboa Island, Newport Beach, Orange County, California, United States of America",anaheim,malibu,100
Pirate Ship Tours,Big Bear City,23,https://www.tripadvisor.com/Attraction_Review-g32073-d2305404-Reviews-Pirate_Ship_Tours-Big_Bear_City_Big_Bear_Region_California.html,"at Holloway's Marina, 398 Edgemoor Rd , Big Bear City , CA 92315",(909) 878-4040,,#1,8,,big bear city,-116.8485978,34.267886,http://www.bigbearlake.net/about-big-bear/facts,"Big Bear City, Anita Avenue, Big Bear City, San Bernardino County, California, 92314, United States of America",avalon,big bear lake,100
Mountain Room Escapes,Big Bear City,4,https://www.tripadvisor.com/Attraction_Review-g32073-d10379507-Reviews-Mountain_Room_Escapes-Big_Bear_City_Big_Bear_Region_California.html,"1121 W Big Bear Blvd , Big Bear City , CA 92314",+(1)(877) 584-6427,"??? An escape room worthy of your time! ??? My husband and I have probably done 30 + escape rooms. We live in LA where they are plentiful and extremely well done (owing to the production design and storytelling talent LA... read more Reviewed September 18, 2016 Erin B Add Photo Write a Review 4 Reviews from our TripAdvisor Community Which Big Bear City hotels are on sale? mm/dd/yyyy mm/dd/yyyy See hotels Sponsored links * See what travelers are saying: Traveler rating Excellent (4) Very good (0) Average (0) Poor (0) Terrible (0) Traveler type Families (2) Couples (2) Solo (0) Business (0) Friends (0) Time of year Mar-May (0) Jun-Aug (3) Sep-Nov (1) Dec-Feb (0) Language All languages English (4) Showing 4: English reviews Clear all Start your review of Mountain Room Escapes Click to rate Erin B 1 review ??? An escape room worthy of your time! ??? Reviewed September 18, 2016 My husband and I have probably done 30 + escape rooms. We live in LA where they are plentiful and extremely well done (owing to the production design and storytelling talent LA has due to the entertainment industry). Tonight we were in big bear for our anniversary and we're pleased to find an escape room. ""Why not?"" We thought. This... More Helpful? Thank Erin B Report Matthew V, Owner at Mountain Room Escapes, responded to this review Erin! Thanks so much for visiting Mountain Room Escapes on your anniversary! We had an amazing time and were very impressed with your room escape knowledge. We can't wait to so you again in the future, ~Matt Vecchio Owner Mountain Room Escapes More Karen M Level Contributor 4 reviews 1 helpful vote ??? Awesome Family Experience! ??? Reviewed August 7, 2016 The entire family is still recalling a great family activity at Mountain Room Escapes. Three generations laughed, worked together, and left with unforgettable memories! Several family members have been to multiple room escapes and this ranks #1! Helpful? 1 Thank Karen M Report Matthew V, Owner at Mountain Room Escapes, responded to this review Karen, I am so glad you enjoyed your visit to Mountain Room Escapes. We have worked super hard to make our room fun, engaging and family friendly! Your group was awesome and I hope you get a chance to visit us again in the future. Thanks, ~Matt Owner Mountain Room Escapes More Shannon H Los Angeles, California 2 reviews 2 helpful votes ??? SO MUCH FUN!!!! ??? Reviewed July 28, 2016 My boyfriend and I have done 10-15 escape rooms in Los Angeles, Las Vegas, Austin, and Boulder, CO. This room ranked super high on our list as far as unique puzzles & gadgets!! The sound effects added to the great experience. We asked for a few hints, but we escaped with 5 minutes to spare!! It was so exciting to... More Helpful? 1 Thank Shannon H Report Matthew V, Owner at Mountain Room Escapes, responded to this review Thank you so much for visiting Mountain Room Escapes. I love room escapes, and it is fun when another room escape enthusiast gets to come escape our room! Come visit us again next time you are in Big Bear, ~Matt Vecchio Owner Mountain Room Escapes More Brian A Big Bear Lake, CA, United States 2 reviews 1 helpful vote ??? You MUST Go to Mountain Room Escapes Big Bear ??? Reviewed June 24, 2016 First time doing a room escape. This was a terrific experience. A very friendly environment. Matt and Marilyn were great hosts. We made it out with almost three minutes to spare. I HIGHLY recommend this adventure if you are in Big Bear. It would be great for team building or just for plain old fun! The de-brief afterwards was a... More Helpful? 1 Thank Brian A Report Matthew V, Owner at Mountain Room Escapes, responded to this review Brian! Thanks for coming to Mountain Room Escapes! You and your family were such a blast to see escape the room! I still point out your clever team poster every game. Hope to have you and the family back again in the future, ~Matt Vecchio Owner Mountain Room Escapes More Updating list... Travelers who viewed Mountain Room Escapes also viewed Gold Rush Mining Adventures 10 Reviews Big Bear Lake, Big Bear Region Alpine Slide at Magic Mountain 202 Reviews Big Bear Region, CA Boulder Bay Park 124 Reviews Big Bear Lake, Big Bear Region Pine Knot Village 89 Reviews Big Bear Region, CA All things to do in Big Bear City (8) Been to Mountain Room Escapes? Share your experiences! Write a Review Add Photos & Videos Is This Your TripAdvisor Listing? Own or manage this property? Claim your listing for free to respond to reviews, update your profile and much more. Claim Your Listing Questions & Answers Questions? Get answers from Mountain Room Escapes staff and past visitors. Hi, what would you like to know about this attraction? Posting guidelines Get notified about new answers to your questions. Ask Typical questions asked: Will you pick up and drop off at my hotel? I have a family of 7. Can your tour accommodate all of us together? How should I dress for this tour? Near Mountain Room Escapes Top-rated Attractions Nearby 363 Reviews Big Bear Alpine Zoo at Moonridge 7 Reviews Helicopter Big Bear - Private Tours 17 Reviews Alpine Pedal Path Browse all attractions Top-rated Restaurants Nearby 50 Reviews Lumberjack Cafe 25 Reviews No Name Pizza 21 Reviews Broadway Cafe Browse all restaurants About Us | Site Map | Help Center ?? 2016 TripAdvisor LLC All rights reserved. TripAdvisor Terms of Use and Privacy Policy . * TripAdvisor LLC is not a booking agent and does not charge any service fees to users of our site... ( more ) TripAdvisor LLC is not responsible for content on external web sites. Taxes, fees not included for deals content.",#4,8,,big bear city,-116.8485978,34.267886,http://www.bigbearlake.net/about-big-bear/facts,"Big Bear City, Anita Avenue, Big Bear City, San Bernardino County, California, 92314, United States of America",avalon,big bear lake,100
Helicopter Big Bear - Private Tours,Big Bear City,7,https://www.tripadvisor.com/Attraction_Review-g32073-d3658773-Reviews-Helicopter_Big_Bear_Private_Tours-Big_Bear_City_Big_Bear_Region_California.html,"501 Valley Blvd , Big Bear Airport , Big Bear City , CA 92314",909-585-1200,,#3,8,,big bear city,-116.8485978,34.267886,http://www.bigbearlake.net/about-big-bear/facts,"Big Bear City, Anita Avenue, Big Bear City, San Bernardino County, California, 92314, United States of America",avalon,big bear lake,100
Big Bear Fun Outdoor Adventures,Big Bear City,4,https://www.tripadvisor.com/Attraction_Review-g32073-d2191725-Reviews-Big_Bear_Fun_Outdoor_Adventures-Big_Bear_City_Big_Bear_Region_California.html,"Big Bear City , CA 92314",909-278-8455,,#6,8,,big bear city,-116.8485978,34.267886,http://www.bigbearlake.net/about-big-bear/facts,"Big Bear City, Anita Avenue, Big Bear City, San Bernardino County, California, 92314, United States of America",avalon,big bear lake,100
The Cave,Big Bear City,25,https://www.tripadvisor.com/Attraction_Review-g32073-d4831462-Reviews-The_Cave-Big_Bear_City_Big_Bear_Region_California.html,"Village Drive , Big Bear City , CA 92315",9098780204,,#2,8,,big bear city,-116.8485978,34.267886,http://www.bigbearlake.net/about-big-bear/facts,"Big Bear City, Anita Avenue, Big Bear City, San Bernardino County, California, 92314, United States of America",avalon,big bear lake,100
Ewoldsen Trail,Big Sur,6,https://www.tripadvisor.com/Attraction_Review-g240329-d10496407-Reviews-Ewoldsen_Trail-Big_Sur_California.html,"Julia Pfeiffer Burns State Park , Big Sur , CA 93920",,,#20,31,,big sur,-121.8074544,36.270241,http://myfamilytravels.com/content/10507-road-trip-usa-pacific-coast-highway-san-francisco-los-angeles,"Big Sur, Monterey County, California, United States of America",anaheim,san jose,100
Salmon Creek Falls Trail,Big Sur,22,https://www.tripadvisor.com/Attraction_Review-g240329-d6620451-Reviews-Salmon_Creek_Falls_Trail-Big_Sur_California.html,"Pacific Coast Highway , Big Sur , CA",,,#18,31,,big sur,-121.8074544,36.270241,http://myfamilytravels.com/content/10507-road-trip-usa-pacific-coast-highway-san-francisco-los-angeles,"Big Sur, Monterey County, California, United States of America",anaheim,san jose,100
Bodega Head Ride,Bodega Bay,12,https://www.tripadvisor.com/Attraction_Review-g32091-d1527578-Reviews-Bodega_Head_Ride-Bodega_Bay_Sonoma_County_California.html,"1580 Eastshore Rd , Suite J , Bodega Bay , CA 94923-9758",707-875-2255,,#8,21,,bodega bay,-123.0061117,38.273529,http://moon.com/2011/02/fun-road-trip-ideas-road-trip-the-california-coast/,"Bodega Bay, Estero Lane, Bodega Bay, Sonoma County, California, United States of America",anaheim,santa cruz,100
Westside Regional Park,Bodega Bay,14,https://www.tripadvisor.com/Attraction_Review-g32091-d2483860-Reviews-Westside_Regional_Park-Bodega_Bay_Sonoma_County_California.html,"2400 Westshore Road , Bodega Bay , CA",707 875-3540,,#10,21,,bodega bay,-123.0061117,38.273529,http://moon.com/2011/02/fun-road-trip-ideas-road-trip-the-california-coast/,"Bodega Bay, Estero Lane, Bodega Bay, Sonoma County, California, United States of America",anaheim,santa cruz,100
Hagemann Ranch Trout Fishing,Bodega Bay,7,https://www.tripadvisor.com/Attraction_Review-g32091-d3371975-Reviews-Hagemann_Ranch_Trout_Fishing-Bodega_Bay_Sonoma_County_California.html,"Between 18401 & 19000 California 1 , Bodega Bay , CA 94923",(707) 876-3217,,#13,21,,bodega bay,-123.0061117,38.273529,http://moon.com/2011/02/fun-road-trip-ideas-road-trip-the-california-coast/,"Bodega Bay, Estero Lane, Bodega Bay, Sonoma County, California, United States of America",anaheim,santa cruz,100
Sonoma Driving Tours,Bodega Bay,25,https://www.tripadvisor.com/Attraction_Review-g32091-d2696321-Reviews-Sonoma_Driving_Tours-Bodega_Bay_Sonoma_County_California.html,"Bodega Bay , CA 94923-0412",+1 707-328-0091,,#6,21,,bodega bay,-123.0061117,38.273529,http://moon.com/2011/02/fun-road-trip-ideas-road-trip-the-california-coast/,"Bodega Bay, Estero Lane, Bodega Bay, Sonoma County, California, United States of America",anaheim,santa cruz,100
Mammoth Rocks,Bodega Bay,11,https://www.tripadvisor.com/Attraction_Review-g32091-d3983865-Reviews-Mammoth_Rocks-Bodega_Bay_Sonoma_County_California.html,"Goat Rock Beach , Bodega Bay , CA",,,#12,21,,bodega bay,-123.0061117,38.273529,http://moon.com/2011/02/fun-road-trip-ideas-road-trip-the-california-coast/,"Bodega Bay, Estero Lane, Bodega Bay, Sonoma County, California, United States of America",anaheim,santa cruz,100
Sonoma Coast Visitors Center,Bodega Bay,8,https://www.tripadvisor.com/Attraction_Review-g32091-d9727411-Reviews-Sonoma_Coast_Visitors_Center-Bodega_Bay_Sonoma_County_California.html,"850 Highway 1 , Bodega Bay , CA 94923",(707) 875-3866,,#9,21,,bodega bay,-123.0061117,38.273529,http://moon.com/2011/02/fun-road-trip-ideas-road-trip-the-california-coast/,"Bodega Bay, Estero Lane, Bodega Bay, Sonoma County, California, United States of America",anaheim,santa cruz,100
St. Teresa of Avila Church,Bodega Bay,20,https://www.tripadvisor.com/Attraction_Review-g32091-d8817803-Reviews-St_Teresa_of_Avila_Church-Bodega_Bay_Sonoma_County_California.html,"17120 Bodega Hwy , Bodega Bay , CA 94922",707.874.3812,,#4,21,,bodega bay,-123.0061117,38.273529,http://moon.com/2011/02/fun-road-trip-ideas-road-trip-the-california-coast/,"Bodega Bay, Estero Lane, Bodega Bay, Sonoma County, California, United States of America",anaheim,santa cruz,100
Children's Bell Tower,Bodega Bay,32,https://www.tripadvisor.com/Attraction_Review-g32091-d3983762-Reviews-Children_s_Bell_Tower-Bodega_Bay_Sonoma_County_California.html,"west side of Route 1 , 1 1/2 miles north of Bodega Bay , Bodega Bay , CA",,,#5,21,,bodega bay,-123.0061117,38.273529,http://moon.com/2011/02/fun-road-trip-ideas-road-trip-the-california-coast/,"Bodega Bay, Estero Lane, Bodega Bay, Sonoma County, California, United States of America",anaheim,santa cruz,100
The Falcon Theatre,Burbank,11,https://www.tripadvisor.com/Attraction_Review-g32123-d6948840-Reviews-The_Falcon_Theatre-Burbank_California.html,"4252 W Riverside Dr , Burbank , CA 91505-4145",(818) 955-8101,,#4,24,,burbank,-118.3258553,34.1816482,https://www.yelp.com/biz/interstate-5-los-angeles,"Burbank, Los Angeles County, California, United States of America",anaheim,stockton,100
Portal of the Folded Wing,Burbank,3,https://www.tripadvisor.com/Attraction_Review-g32123-d7834910-Reviews-Portal_of_the_Folded_Wing-Burbank_California.html,"10621 Victory Blvd , Burbank , CA 91606-3918",,,#13,24,,burbank,-118.3258553,34.1816482,https://www.yelp.com/biz/interstate-5-los-angeles,"Burbank, Los Angeles County, California, United States of America",anaheim,stockton,100
Martial Arts History Museum,Burbank,15,https://www.tripadvisor.com/Attraction_Review-g32123-d2277257-Reviews-Martial_Arts_History_Museum-Burbank_California.html,"2319 W Magnolia Blvd , Burbank , CA 91506-1735",818-478-1722,,#5,24,,burbank,-118.3258553,34.1816482,https://www.yelp.com/biz/interstate-5-los-angeles,"Burbank, Los Angeles County, California, United States of America",anaheim,stockton,100
Colony Theater,Burbank,12,https://www.tripadvisor.com/Attraction_Review-g32123-d3929456-Reviews-Colony_Theater-Burbank_California.html,"555 N 3rd St , Burbank , CA 91502-1103",(818) 558-7000,,#6,24,,burbank,-118.3258553,34.1816482,https://www.yelp.com/biz/interstate-5-los-angeles,"Burbank, Los Angeles County, California, United States of America",anaheim,stockton,100
Conan O'Brien Show,Burbank,44,https://www.tripadvisor.com/Attraction_Review-g32123-d7715622-Reviews-Conan_O_Brien_Show-Burbank_California.html,"6564 Forest Lawn Dr , Burbank , CA 90068-1022",818-977-3056,,#2,24,,burbank,-118.3258553,34.1816482,https://www.yelp.com/biz/interstate-5-los-angeles,"Burbank, Los Angeles County, California, United States of America",anaheim,stockton,100
Joullian Vineyards,Carmel Valley,33,https://www.tripadvisor.com/Attraction_Review-g32173-d261201-Reviews-Joullian_Vineyards-Carmel_Valley_California.html,"2 Village Dr , Suite A , Carmel Valley , CA 93924-9766",+1 831-659-8100,,#3,24,,carmel valley,-121.7324475,36.4796839,http://myfamilytravels.com/content/10507-road-trip-usa-pacific-coast-highway-san-francisco-los-angeles,"Carmel Valley, Monterey County, California, United States of America",anaheim,san jose,100
Folktale Winery & Vineyard,Carmel Valley,28,https://www.tripadvisor.com/Attraction_Review-g32173-d8801409-Reviews-Folktale_Winery_Vineyard-Carmel_Valley_California.html,"8940 Carmel Valley Rd , Carmel Valley , CA 93923-9577",831 293 7500,,#6,24,,carmel valley,-121.7324475,36.4796839,http://myfamilytravels.com/content/10507-road-trip-usa-pacific-coast-highway-san-francisco-los-angeles,"Carmel Valley, Monterey County, California, United States of America",anaheim,san jose,100
Cowgirl Winery,Carmel Valley,29,https://www.tripadvisor.com/Attraction_Review-g32173-d5961961-Reviews-Cowgirl_Winery-Carmel_Valley_California.html,"25 Pilot Rd , Carmel Valley , CA 93924-9514",831-298-7030,,#7,24,,carmel valley,-121.7324475,36.4796839,http://myfamilytravels.com/content/10507-road-trip-usa-pacific-coast-highway-san-francisco-los-angeles,"Carmel Valley, Monterey County, California, United States of America",anaheim,san jose,100
Talbott Vineyards,Carmel Valley,32,https://www.tripadvisor.com/Attraction_Review-g32173-d6012738-Reviews-Talbott_Vineyards-Carmel_Valley_California.html,"25 Pilot Rd , Carmel Valley , CA 93924-9514",831-659-3500,,#5,24,,carmel valley,-121.7324475,36.4796839,http://myfamilytravels.com/content/10507-road-trip-usa-pacific-coast-highway-san-francisco-los-angeles,"Carmel Valley, Monterey County, California, United States of America",anaheim,san jose,100
Castaic Lake,Castaic,17,https://www.tripadvisor.com/Attraction_Review-g32182-d4021883-Reviews-Castaic_Lake-Castaic_California.html,"31540 Ridge Route Rd , Castaic , CA 91384-3358",6612574050,,#1,1,,castaic,-118.6228655,34.4888822,https://www.tripadvisor.com/ShowTopic-g28926-i29-k1592106-Sacramento_to_Disneyland_Best_Place_to_stop_for_the_night-California.html,"Castaic, Los Angeles County, California, United States of America",anaheim,bakersfield,100
Santa Rosa Island,Channel Islands National Park,17,https://www.tripadvisor.com/Attraction_Review-g143019-d1058176-Reviews-Santa_Rosa_Island-Channel_Islands_National_Park_California.html,"Channel Islands National Park, CA",,,#4,7,,channel islands national park,-119.2663778,34.248597,https://blog.virgin-atlantic.com/t5/Our-Places/mini-road-trips-los-angeles-to-santa-barbara/ba-p/1216,"Channel Islands National Park, Spinnaker Drive, Ventura, Ventura County, California, 93006, United States of America",anaheim,santa barbara,100
The Sea Caves,Channel Islands National Park,25,https://www.tripadvisor.com/Attraction_Review-g143019-d145183-Reviews-The_Sea_Caves-Channel_Islands_National_Park_California.html,"Channel Islands National Park, CA",,,#3,7,,channel islands national park,-119.2663778,34.248597,https://blog.virgin-atlantic.com/t5/Our-Places/mini-road-trips-los-angeles-to-santa-barbara/ba-p/1216,"Channel Islands National Park, Spinnaker Drive, Ventura, Ventura County, California, 93006, United States of America",anaheim,santa barbara,100
Channel Islands National Marine Sanctuary,Channel Islands National Park,11,https://www.tripadvisor.com/Attraction_Review-g143019-d145182-Reviews-Channel_Islands_National_Marine_Sanctuary-Channel_Islands_National_Park_California.html,"Off the coast of Santa Barbara and Ventura Counties , Channel Islands National Park, CA",+1 805-893-6431,,#5,7,,channel islands national park,-119.2663778,34.248597,https://blog.virgin-atlantic.com/t5/Our-Places/mini-road-trips-los-angeles-to-santa-barbara/ba-p/1216,"Channel Islands National Park, Spinnaker Drive, Ventura, Ventura County, California, 93006, United States of America",anaheim,santa barbara,100
Anacapa Island,Channel Islands National Park,74,https://www.tripadvisor.com/Attraction_Review-g143019-d108635-Reviews-Anacapa_Island-Channel_Islands_National_Park_California.html,"Channel Islands , Channel Islands National Park, CA",(805) 658-5730,,#2,7,,channel islands national park,-119.2663778,34.248597,https://blog.virgin-atlantic.com/t5/Our-Places/mini-road-trips-los-angeles-to-santa-barbara/ba-p/1216,"Channel Islands National Park, Spinnaker Drive, Ventura, Ventura County, California, 93006, United States of America",anaheim,santa barbara,100
