"attraction_name","attraction_knownFor","attraction_reviewComment","attraction_ranking","attraction_no_of_reviews","attraction_contact","attraction_in","attraction_address","zip_code","attraction_longitude","attraction_latitude","attraction_url","attraction_in_file","youTubeLinkIds"
"Macondray Lane","","""This lane is right up the street from where we are staying, so we decided to check in out on our way to the Cable Car Museum. The lane itself is very short, but quaint and quiet... read more""","182","25","","San Francisco","""Jones Street between Union and Green Streets , San Francisco , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g60713-d219469-Reviews-Macondray_Lane-San_Francisco_California.html","san_francisco.json","""wbJfxRrqiy8,hPX47EvK6bI,qL54yfH6hMo"""
"Market Street Railway","","When you are tired of walking the streets of San Francisco take a load off and ride the railway. You can get on and off where ever you like.","63","247","415 956-0472","San Francisco","""San Francisco , CA""","","-122.4629896","37.7647993","https://www.tripadvisor.com/Attraction_Review-g60713-d104964-Reviews-Market_Street_Railway-San_Francisco_California.html","san_francisco.json","""0IKAIFBrt3M,ARV7-1GLnEs,Ktlq8t-oCtA"""
"Presidio of San Francisco","""Historic Sites , Military Bases & Facilities , National Parks , Sights & Landmarks , Nature & Parks , More ""","""The Presidio grounds were once a much sought after Army installation at the base of the Golden Gate Bridge...many trails lead to awesome views of the bridge, bay and across to... read more""","25","""1,112""","+1 415-561-5300","San Francisco","""San Francisco , CA 94129""","94129","-122.4155266","37.7924289","https://www.tripadvisor.com/Attraction_Review-g60713-d128930-Reviews-Presidio_of_San_Francisco-San_Francisco_California.html","san_francisco.json","""1iHoWTD9Hc0,XtP6pJ7K8lc,jrsQBpFzaKQ"""
"San Francisco Maritime National Historical Park","""Neighborhood: Fisherman’s Wharf Educational sites , National Parks , Specialty Museums , Sights & Landmarks , Nature & Parks , Museums , More""","Every ship in this exhibit is worth visiting. We've been here several times because there is so much to see. Plus not every ship is open all the time. Our last visit was to the... read more","46","402","415-447-5000","San Francisco","""499 Jefferson St , San Francisco , CA 94109-1314""","94109","","","https://www.tripadvisor.com/Attraction_Review-g60713-d104217-Reviews-San_Francisco_Maritime_National_Historical_Park-San_Francisco_California.html","san_francisco.json","""S9d8CNBDVjA,4KPR-fxto3M"""
"Rodeo Beach","""Beaches , Outdoor Activities , Nature & Parks""","The place is usually very breezy and gives a good view of the city on the other side and the pacific on on side. The gold gate bridge can be admired as well. Good spot for the... read more","9","88","","Sausalito","""Sausalito , CA""","","-122.4854693","37.8590272","https://www.tripadvisor.com/Attraction_Review-g33062-d3804132-Reviews-Rodeo_Beach-Sausalito_Marin_County_California.html","sausalito.json","""-gaOJl8MM_g,54fdOW58PFM,R9c_W7f_IrQ"""
"Golden Gate View Point","","""I was very glad that we stopped at this vantage point to take pictures, as you cannot appreciate the grandeur of this bridge when you are driving over it. The official color of... read more""","10","28","","Mill Valley","""5702 Conzelman Road , Mill Valley , CA 94941""","94941","","","https://www.tripadvisor.com/Attraction_Review-g60909-d10122549-Reviews-Golden_Gate_View_Point-Mill_Valley_Marin_County_California.html","mill_valley.json","""stArFrK4MGM,u3qmEz7IiL8,HjjoSmkiZ2Q"""
"Bacchus & Venus","","Immediate pleasant greeting by the owners made me stay and actually purchase two bottles. These folks really know wine and can assist in choosing something yummy to take back to... read more","14","33","+1 415-331-2001","Sausalito","""769 Bridgeway , Sausalito , CA 94965-2102""","94965","","","https://www.tripadvisor.com/Attraction_Review-g33062-d281601-Reviews-Bacchus_Venus-Sausalito_Marin_County_California.html","sausalito.json","""gto_IYvlYLA,1mlHXQoTjEo,4ltHzauwFss"""
"Green Gulch Farm","","""On our ladies' day out, we ended our outing here with a private tea ceremony (they have public teas on Sundays). What a marvelous place to be in: calming and refreshing. The... read more""","2","9","+1 415-383-3134","Muir Beach","""1601 Shoreline Hwy , Muir Beach , CA 94965-9759""","94965","","","https://www.tripadvisor.com/Attraction_Review-g32762-d2416292-Reviews-Green_Gulch_Farm-Muir_Beach_Marin_County_California.html","muir_beach.json","""27T7JVCvktg,eg1bwj2AfDU,4iZSk-1PvFo"""
"Marin Headlands","""Nature & Wildlife Areas , State Parks , Nature & Parks""","""I don't know how we missed this place on the numerous times we have been in San Fransisco? On the way back from Napa, just as the sun was going down, we stopped off and went up... read more""","2","""1,731""","415-331-1540","Marin County","""Golden Gate National Recreation Area , CA 94965""","94965","-122.5177517","37.8499275","https://www.tripadvisor.com/Attraction_Review-g155988-d103182-Reviews-Marin_Headlands-Marin_County_California.html","marin_county.json","""RJ0F0cDXiBY,HjjoSmkiZ2Q,iwoEYxvaZnI"""
"Chinatown","","""A fairly large China Town in the city, recommend finding a place to stop and enjoy dim sum since fairly inexpensive. Not prettiest area to walk around in, but worth getting the... read more""","54","""3,955""","+1 888-212-3203","San Francisco","""Grant Avenue , San Francisco , CA 94108""","94108","-122.4051522","37.788237","https://www.tripadvisor.com/Attraction_Review-g60713-d108679-Reviews-Chinatown-San_Francisco_California.html","san_francisco.json","""OEYIKwEsGE0,PJmnLzw8NA4,rX8jZTN0CdU"""
"Legion of Honor","""Art Museums , Museums ""","""When in town, if there's a special exhibition here, I usually make time to attend. This time it was for the Brothers Nain, French artists of the 17th century who painted... read more""","17","""1,460""","+1 415-750-3600","San Francisco","""34th Avenue & Clement Street , Lincoln Park , San Francisco , CA 94121""","94121","","","https://www.tripadvisor.com/Attraction_Review-g60713-d156333-Reviews-Legion_of_Honor-San_Francisco_California.html","san_francisco.json","""Aqzv581xr2k,XWNQbvuXAik,3XcCsISB2AE"""
"Aquatic Park","""Neighborhood: Fisherman’s Wharf Neighborhoods , Sights & Landmarks , Other, Nature & Parks""","Just at the end of fishermans wharf. nice walk out the pier and a super view of The Rock. Nice place to relax from the hussle and bussle of fishermans wharf. grab a book and relax... read more","125","42","(415) 447-5000","San Francisco","""499 Jefferson St , San Francisco Maritime National Historical Park , San Francisco , CA 94109-1314""","94109","","","https://www.tripadvisor.com/Attraction_Review-g60713-d104950-Reviews-Aquatic_Park-San_Francisco_California.html","san_francisco.json","""GdbRaajAVA0,UYjNTENqynE,pAaxxTSasWU"""
"Bill Dan Balancing Rocks","","""This guy is AMAZING!! How he came up with this I'll never know, but I love the fact that he works on the rocky shoreline (in Sausalito near the main walkway), where no one else... read more""","11","47","","Sausalito","""Bridgeway Waterfront , Sausalito , CA 94966""","94966","","","https://www.tripadvisor.com/Attraction_Review-g33062-d3502389-Reviews-Bill_Dan_Balancing_Rocks-Sausalito_Marin_County_California.html","sausalito.json","""dxwZR6JuGwk,ZItqAdaYPQM,CuMAC6Dy66c"""
"Stinson Beach","","""This beach is crowdy, especially on week-ends. But the drive to the beach is amazing. The upkeep is not okay. Still spending sometime here can be rejuvenating.""","1","102","(415) 868-1922","Stinson Beach","""1 Calle Del Resaca , Stinson Beach , CA 94970-9706""","94970","","","https://www.tripadvisor.com/Attraction_Review-g33128-d7919980-Reviews-Stinson_Beach-Stinson_Beach_Marin_County_California.html","stinson_beach.json","""yLgshS4eYco,J-6NOnoB5Cc,lt_2rxZMLCc"""
"Chinese Historical Society of America","","The upstairs exhibits give you a good but limited overview of the history of Chinatown and can be covered in 20-30 minutes. The real jewel of this place is the downstairs... read more","213","20","+1 415-391-1188","San Francisco","""965 Clay St , Chinatown , San Francisco , CA 94108-1527""","94108","","","https://www.tripadvisor.com/Attraction_Review-g60713-d145241-Reviews-Chinese_Historical_Society_of_America-San_Francisco_California.html","san_francisco.json","""spk72fGrVFM,cViOP2mxIoA,VBVLIaeuXs0"""
"Sutro Baths","""Neighborhood: The Richmond Historic Sites , Sights & Landmarks ""","Amazing piece of San Francisco's history. To look at these ruins and imagine what it was like back in the day! What a neat place and spectacular views and great place to watch... read more","64","257","+1 415-561-4323","San Francisco","""Point Lobos , San Francisco , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g60713-d3242904-Reviews-Sutro_Baths-San_Francisco_California.html","san_francisco.json","""2jCtJWGcLfs,FkwDssuVKfU,6Ss0OCqVfL8"""
"Sea Lion Center","""Neighborhood: Fisherman’s Wharf Nature & Wildlife Areas , Zoos & Aquariums , Nature & Parks""","""It is located at the end of Pier 39. Before reaching the destination, you will come across many restaurants and souvenir shops. I came here at 9:30am this morning before visiting... read more""","105","75","+1 415-262-4734","San Francisco","""The Embarcadero at Beach Street , c/o Aquarium of the Bay , San Francisco , CA 94133""","94133","","","https://www.tripadvisor.com/Attraction_Review-g60713-d6352219-Reviews-Sea_Lion_Center-San_Francisco_California.html","san_francisco.json","""FWnakX5N-fA,wouVIslJxJQ,ZK4FSQvMF-s"""
"Stow Lake","""Neighborhood: Golden Gate Park Bodies of Water , Nature & Parks ""","We visited Stow Lake (family of four; kids ages 8 and 12) on a Monday in June. It was very peaceful. We brought a picnic lunch and enjoyed it at the boathouse area. After eating... read more","127","72","415 752 0347","San Francisco","""50 Stow Lake Drive , Golden Gate Park , San Francisco , CA 94118""","94118","","","https://www.tripadvisor.com/Attraction_Review-g60713-d104942-Reviews-Stow_Lake-San_Francisco_California.html","san_francisco.json","""-rz4mXNy4v4,KHW6qjixa9w,DOPdvUgG7eM"""
"Kong Chow Temple","","It claims to be one of the oldest temple in US. Temple timing is from 9-4. It's not that big and is on 3rd floor.","412","3","+1 415-788-1339","San Francisco","""855 Stockton St , San Francisco , CA 94108-2175""","94108","","","https://www.tripadvisor.com/Attraction_Review-g60713-d557319-Reviews-Kong_Chow_Temple-San_Francisco_California.html","san_francisco.json","""I179D8XjozU,T5b78V9WL6Q,HoMKB33bdSc"""
"Japanese Tea Garden","""Gardens , Nature & Parks ""","""To walk around this beautiful, fantastically well kept japanese garden brings peace and joy to my heart.. when possible try to get a seat at the tea bar and enjoy the fantastic... read more""","40","""2,237""","+1 415-752-4227","San Francisco","""Golden Gate Park , San Francisco , CA 94117""","94117","-122.4663048","37.7734254","https://www.tripadvisor.com/Attraction_Review-g60713-d142415-Reviews-Japanese_Tea_Garden-San_Francisco_California.html","san_francisco.json","""v5yX1TQwKnY,_dph-M78Qek,J7K3LvAzGuY"""
"Filbert Steps","""Neighborhood: North Beach / Telegraph Hill Historic Walking Areas , Sights & Landmarks ""","""Easy to park on the street at the bottom - pay and display. The walk up isn't that far, passing really nice looking houses. Even saw some parrots hanging out in the trees. Good... read more""","41","352","","San Francisco","""Sansome St. & Filbert St. , San Francisco , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g60713-d142463-Reviews-Filbert_Steps-San_Francisco_California.html","san_francisco.json","""Yx5PhOFk6E0,3cYMI6YP1Tc,bvHv0E85iIo"""
"16th Avenue Tiled Steps","""Scenic Walking Areas , Points of Interest & Landmarks , Sights & Landmarks""","I love the stairs. The design of from the bottom of the ocean to the top of the sky is incredible and moving. The new staircase is lovely too. It is very colorful and you should... read more","44","325","","San Francisco","""Moraga St , between 15th & 16th Ave , San Francisco , CA 94122""","94122","","","https://www.tripadvisor.com/Attraction_Review-g60713-d3440316-Reviews-16th_Avenue_Tiled_Steps-San_Francisco_California.html","san_francisco.json","""othyH2_HOZs,rhxdaJF6gO8,mooloVZegAU"""
"Ripley s Believe It or Not! San Francisco","","""Was okay. Interesting in some aspects but I've been to a different location previously, and some was more of the same that I have seen before. Interesting overall. Tourist... read more""","146","177","+1 415-202-9850","San Francisco","""175 Jefferson St , San Francisco , CA 94133-1201""","94133","","","https://www.tripadvisor.com/Attraction_Review-g60713-d2420049-Reviews-Ripley_s_Believe_It_or_Not_San_Francisco-San_Francisco_California.html","san_francisco.json","""Tt_WFUXXqNk,ISvw9kkjWSc,rwpw2W9wBds"""
"de Young Museum","""Specialty Museums , Museums ""","""The de Young museum located at Golden Gate Park holds frequent traveling art shows, such as the Mayan Exhibition and Egyptian Exposition...also has a permanent array of paintings... read more""","29","""1,450""","+1 415-750-3600","San Francisco","""50 Hagiwara Tea Garden Dr , Golden Gate Park , San Francisco , CA 94118-4502""","94118","","","https://www.tripadvisor.com/Attraction_Review-g60713-d127943-Reviews-De_Young_Museum-San_Francisco_California.html","san_francisco.json","""WMrH8b_TQvo,WbbjYrwk_J4"""
"California Academy of Sciences","""Neighborhood: Golden Gate Park Educational sites , Natural History Museums , Science Museums , Observatories & Planetariums , Zoos & Aquariums , Nature & Parks , Sights & Landmarks , Museums , More ""","My wife and I are both in our early 50’s. Just the two of us went. We wondered if this would be very enjoyable or not without kids. We loved it. We spent about 3 hours here... read more","14","""4,171""","+1 415-379-8000","San Francisco","""55 Music Concourse Dr , Golden Gate Park , San Francisco , CA 94118-4503""","94118","","","https://www.tripadvisor.com/Attraction_Review-g60713-d117078-Reviews-California_Academy_of_Sciences-San_Francisco_California.html","san_francisco.json","""Pp6EAJF71k8,u5hU6Yt3Bqs"""
"Shakespeare Garden","","""This garden is simply one of the most peaceful places I""""ve been. It's the kind of place that I would visit all the time if I lived in SF.""","290","5","415-831-5500","San Francisco","""55 Music Concourse Dr , San Francisco , CA 94118-4503""","94118","","","https://www.tripadvisor.com/Attraction_Review-g60713-d8779371-Reviews-Shakespeare_Garden-San_Francisco_California.html","san_francisco.json","""7PCtYSSbO0Y,Bet0CiXrX1A,OoU7GWgmSmY"""
"National AIDS Memorial Grove","","""We were at a birthday party for a friend at The AIDS Memorial Grove this weekend. First, the weather in the city was around 78 degrees..unheard of! There was not a cloud in the... read more""","186","18","+1 415-750-8340","San Francisco","""856 Stanyan St , Golden Gate Park , San Francisco , CA 94117-2752""","94117","","","https://www.tripadvisor.com/Attraction_Review-g60713-d311692-Reviews-National_AIDS_Memorial_Grove-San_Francisco_California.html","san_francisco.json","""CH2qFhWMrkU,hKBT_ozgeI8"""
"Golden Gate Park Windmills & Tulips","","Who knew that situated in Golden Gate Park on the far western end across the road from Ocean Beach was a tulip garden and Dutch Windmill? Well worth the stop for the peace and... read more","153","28","+1 415-263-0991","San Francisco","""1691 John F Kennedy Dr , San Francisco , CA 94121""","94121","-122.5110265","37.7704516","https://www.tripadvisor.com/Attraction_Review-g60713-d7998276-Reviews-Golden_Gate_Park_Windmills_Tulips-San_Francisco_California.html","san_francisco.json","""Ix9bchSJJY4,-Q5O431VOss,VeYaBD-oWLU"""
"San Francisco Botanical Garden","""Gardens , Nature & Wildlife Areas , Nature & Parks ""","We are still working our way through Nat Geo's best public gardens and the San Francisco Botanical Garden is certainly deserving of being on the list. We were actually killing... read more","42","532","(415) 661-1316","San Francisco","""1199 9th Ave , Golden Gate Park , San Francisco , CA 94122""","94122","","","https://www.tripadvisor.com/Attraction_Review-g60713-d104952-Reviews-San_Francisco_Botanical_Garden-San_Francisco_California.html","san_francisco.json","""9Bt3gFLjjYY,_DGQ027Wjnw,ZoSiYrVk-iM"""
"Telegraph Hill","""Neighborhood: North Beach / Telegraph Hill Historic Walking Areas , Observation Decks & Towers , Points of Interest & Landmarks , Lookouts , Sights & Landmarks , More ""","""This is a hefty hill, so be ready for a workout. It's iconic and historic for being the first place in San Francisco with a telegraph line.""","82","209","","San Francisco","""Lombard Street at Kearny Street , North Beach , San Francisco , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g60713-d105361-Reviews-Telegraph_Hill-San_Francisco_California.html","san_francisco.json","""HURCuc6Ili0,ZAtld3KOpuY,wJZ_ffv3Bz8"""
"Asian Art Museum","""Neighborhood: Civic Center Art Museums , Museums""","I confess my review is a bit belated as we visited during the Emperor's Treasure's Exhibition which was superbly curated with both art objects and history. But we did extend our... read more","21","""1,115""","415 581 3500","San Francisco","""200 Larkin St , San Francisco , CA 94102-4734""","94102","","","https://www.tripadvisor.com/Attraction_Review-g60713-d103857-Reviews-Asian_Art_Museum-San_Francisco_California.html","san_francisco.json","""dSYAEPR6fjo,0GcyVa4LU9w"""
"Queen Wilhelmina Garden","","The Queen Wilhelmina Garden is located at the base of the northernmost Dutch windmill along Ocean Beach. The mostly tulip garden with other blooming flowers mixed in was... read more","250","15","","San Francisco","""1690 John F Kennedy Drive , San Francisco , CA""","","-122.4667523","37.7725658","https://www.tripadvisor.com/Attraction_Review-g60713-d2624522-Reviews-Queen_Wilhelmina_Garden-San_Francisco_California.html","san_francisco.json","""MPGQwGm82kM,I56RUVetQ5Q,XKzCEQWDx7k"""
"Art for Children at the de Young Museum","","""We held our son's 4th birthday party at the de Young and it was fantastic. We had a private docent tour of the amazing African mask exhibit. Afterwards, our group gathered in a... read more""","404","2","+1 415-863-3330","San Francisco","""Eighth Ave. at John F. Kennedy Dr. , San Francisco , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g60713-d156293-Reviews-Art_for_Children_at_the_de_Young_Museum-San_Francisco_California.html","san_francisco.json","""6Rz1HGmTRGY,vdtsTbPBeoM,AozRXE2ssyM"""
"Beach Chalet","","""We got a recommendation to visit The Beach Chalet while on our long weekend getaway to San Francisco. Although we were told you don't need a reservation, we phoned for one... read more""","183","77","+1 415-386-8439","San Francisco","""1000 Great Hwy , Between Lincoln and Fulton , San Francisco , CA 94121-3268""","94121","","","https://www.tripadvisor.com/Attraction_Review-g60713-d156308-Reviews-Beach_Chalet-San_Francisco_California.html","san_francisco.json","""lfQhBRvhyo0,9bEQ6xnzdqg,lz73Luv6QfQ"""
"Little Italy","""Neighborhood: North Beach / Telegraph Hill Neighborhoods , Other, Sights & Landmarks ""","""San Francisco was founded by many different type of immigrants...Chinese, Hispanic, Japanese and Italian. Little Italy offers a multitude of great restaurants, coffee shops and... read more""","72","261","","San Francisco","""San Francisco , CA""","","-122.4629896","37.7647993","https://www.tripadvisor.com/Attraction_Review-g60713-d142403-Reviews-Little_Italy-San_Francisco_California.html","san_francisco.json","""lr8gpMAUflU,FE-PaCvEEaE,A9l5DmVs9Fc"""
"Orpheum Theatre","","""The Orpheum is SFs best opera house, great acoustics and seating views. I saw """"Phantom of the Opera"""" here years back, and it was an awesome experience...tickets not as pricey as... read more""","78","208","+1 415-551-2000","San Francisco","""1192 Market St , San Francisco , CA 94102-4928""","94102","","","https://www.tripadvisor.com/Attraction_Review-g60713-d156586-Reviews-Orpheum_Theatre-San_Francisco_California.html","san_francisco.json","""yUJj6dsa0j4,FS6zgSlOGZg"""
"Camera Obscura","","""Novel option for looking at a great scenery. Not worth standing in line for, but a cool option if you are in the area and have the time""","189","21","+1 415-750-0415","San Francisco","""1096 Point Lobos Ave , San Francisco , CA 94121-1449""","94121","","","https://www.tripadvisor.com/Attraction_Review-g60713-d254548-Reviews-Camera_Obscura-San_Francisco_California.html","san_francisco.json","""O3CkfvYMCWM,nhSanTYPm2g"""
"Sutro Heights Park","","Sutro Heights is a great place to get away from it all. You can wander through grounds of Adolph Sutro's estate and work your way over to ocean view and soak it all... read more","177","24","+1 415-561-4323","San Francisco","""48th Ave & Point Lobos Ave , San Francisco , CA 94121""","94121","","","https://www.tripadvisor.com/Attraction_Review-g60713-d3267601-Reviews-Sutro_Heights_Park-San_Francisco_California.html","san_francisco.json","""t_Su0fqcgwg,uEju6BLl69o,0KKgK2nx0H4"""
"USS San Francisco Memorial","","We stopped here because the parking was easier than for Sutro Baths. I had no idea about the history of Guadalcanal and was sobered by the loss of life and change in direction of... read more","242","13","415-334-0263","San Francisco","""2400 El Camino Del Mar , San Francisco , CA 94121""","94121","-122.510055933305","37.7822305815603","https://www.tripadvisor.com/Attraction_Review-g60713-d7212042-Reviews-USS_San_Francisco_Memorial-San_Francisco_California.html","san_francisco.json","""wfnxRRoDHQ4,CkY_utXmAN4,pNNE8MXVrZA"""
"San Francisco Ballet","","""I have season subscription tickets to the ballet as they are truly worth it. Imaginative programming, mixing old and new works. Great dance corps that continues to reach new... read more""","102","122","+1 415-703-9400","San Francisco","""401 Van Ness Ave , (between McAllister and Fell Sts) , San Francisco , CA 94102-4522""","94102","","","https://www.tripadvisor.com/Attraction_Review-g60713-d142414-Reviews-San_Francisco_Ballet-San_Francisco_California.html","san_francisco.json","""Y-uWQeWi7s0,LQQcbQ2nILk"""
"San Francisco Symphony","","""We are Hitchcock fans so this was a must see! Symphony played the background music to Alfred Hitchcock's movie Vertigo. To top it off, Kim Novak who starred with Jimmy Stewart... read more""","80","216","+1 415-864-6000","San Francisco","""201 Van Ness Ave , San Francisco , CA 94102-4585""","94102","","","https://www.tripadvisor.com/Attraction_Review-g60713-d142413-Reviews-San_Francisco_Symphony-San_Francisco_California.html","san_francisco.json","""pphzMKu924U,krCiR04u8Ig"""
"Grand View Park","","""Sure, it's worth the climb for the extraordinary view. """"Just do it"""" and bring your camera. You won't be disappointed.""","136","35","","San Francisco","""14th and 15th Avenues, Sunset District , San Francisco , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g60713-d4180173-Reviews-Grand_View_Park-San_Francisco_California.html","san_francisco.json","""3uxr7-UI55s,5FZcvSUt2q4,ft4ph_EWIn0"""
"SFJazz Center","","""SF Jazz is a unique venue in that it is dedicated to jazz music, jazz appreciation and the development of jazz musicians. It promotes and depends on its membership to fully fund... read more""","141","39","+1 866-920-5299","San Francisco","""201 Franklin St , San Francisco , CA 94102-5108""","94102","","","https://www.tripadvisor.com/Attraction_Review-g60713-d3844100-Reviews-SFJazz_Center-San_Francisco_California.html","san_francisco.json","""64c1mtalO-k,EpBrmwVlrZo,iu-8XK8Av4k"""
"TIX Bay Area","","Visited twice and got tickets for City of Angels and The Rules; both Playhouse productions. Kat served us on both occasions and was really friendly. Overheard her colleague... read more","316","11","+1 415-430-1140","San Francisco","""350 Powell St , Union Square - between Geary & Post , San Francisco , CA 94102-1813""","94102","","","https://www.tripadvisor.com/Attraction_Review-g60713-d3410479-Reviews-TIX_Bay_Area-San_Francisco_California.html","san_francisco.json","""NmHc9abojTs,AUkH2U9hJQk,wOux47RjaqQ"""
