name,locType,longitude,latitude,closest_to,blogLinks,src,dest,address,srcLoc,destLoc
southern california,university,-118.286343973446,34.0224149,anaheim,http://www.hopper.com/articles/291/five-great-stops-between-los-angeles-and-san-francisco-on-the-pacific-coast-highway,anaheim,napa,"University of Southern California, Watt Way, Saint James Park, LA, Los Angeles County, California, 90089, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
san francisco ferry building,bicycle_rental,-122.3942497,37.7953363,anaheim,http://gocalifornia.about.com/od/topcalifornia/qt/San-Francisco-to-Napa-Valley.htm,anaheim,napa,"Harry Bridges Plaza (Ferry Building), Harry Bridges Plaza, Financial District, SF, California, 94111, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
marin county,administrative,-122.6199637,38.0409144,anaheim,http://www.wineinstitute.org/consumerstories,anaheim,napa,"Marin County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
terwer valley,residential,-123.9924519,41.525645,napa,http://gocalifornia.about.com/od/caplaceslist/ss/Redwood-Forests-in-California.htm,anaheim,napa,"Terwer Valley Road, Klamath Glen, Del Norte County, California, 95548, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
joshua tree national park,national_park,-115.951115484517,33.89706715,anaheim,https://www.tripadvisor.com/ShowTopic-g28926-i29-k6152478-Driving_from_Anaheim_to_Napa_Itinerary_Help-California.html,anaheim,napa,"Joshua Tree National Park, Pinto Basin Road, Riverside County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
monterey bay,bay,-121.9010667,36.7999557,anaheim,http://www.wineinstitute.org/consumerstories,anaheim,napa,"Monterey Bay, Monterey County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
monterey bay,bay,-121.9010667,36.7999557,anaheim,http://www.hopper.com/articles/291/five-great-stops-between-los-angeles-and-san-francisco-on-the-pacific-coast-highway,anaheim,napa,"Monterey Bay, Monterey County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
monterey bay,bay,-121.9010667,36.7999557,anaheim,https://www.winecountryinn.com/blog/places-to-see-in-northern-california/,anaheim,napa,"Monterey Bay, Monterey County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
monterey bay,bay,-121.9010667,36.7999557,anaheim,http://www.travbuddy.com/California-travel-guide-p85,anaheim,napa,"Monterey Bay, Monterey County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
santa monica freeway,motorway,-118.3886136,34.0323355,anaheim,https://www.tripadvisor.com/ShowTopic-g28926-i29-k190573-Road_trip_from_Anaheim_to_San_Francisco_suggestions-California.html,anaheim,napa,"Santa Monica Freeway, Palms, LA, Los Angeles County, California, CA 90034, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
bay bridge,abandoned,-122.3422239,37.8193951,anaheim,http://gocalifornia.about.com/od/topcalifornia/qt/San-Francisco-to-Napa-Valley.htm,anaheim,napa,"San Francisco – Oakland Bay Bridge, Oakland, Alameda County, California, 94625, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
klamath bridge,reservoir,-121.176115,43.0790266,napa,http://gocalifornia.about.com/od/caplaceslist/ss/Redwood-Forests-in-California.htm,anaheim,napa,"Bridge Creek Waterhole, County Highway 650 North, Lake County, Oregon, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
sears point,hamlet,-122.447755,38.1510295,anaheim,http://gocalifornia.about.com/od/topcalifornia/qt/San-Francisco-to-Napa-Valley.htm,anaheim,napa,"Sears Point, Sonoma County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
california state railroad museum,museum,-121.5038909,38.5846424,anaheim,http://www.wineinstitute.org/consumerstories,anaheim,napa,"California State Railroad Museum, 125, I Street, Sacramento, Sacramento County, California, 95814, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
moro rock road,peak,-118.7655024,36.5442378,anaheim,http://gocalifornia.about.com/od/caplaceslist/ss/Redwood-Forests-in-California.htm,anaheim,napa,"Moro Rock, Tulare County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
american canyon rd,secondary,-122.199736,38.1691659,anaheim,http://gocalifornia.about.com/od/topcalifornia/qt/San-Francisco-to-Napa-Valley.htm,anaheim,napa,"American Canyon Road, Vallejo, Solano County, California, 94591, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
monterey aquarium,aquarium,-121.901680002002,36.61809095,anaheim,https://www.tripadvisor.com/ShowTopic-g28926-i29-k190573-Road_trip_from_Anaheim_to_San_Francisco_suggestions-California.html,anaheim,napa,"MBA, 886, Cannery Row, Monterey, Monterey County, California, 93940, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
orange county,administrative,-117.870493,33.7500378,anaheim,http://www.foxnews.com/travel/2013/04/25/whole-lot-more-than-wine-country-5-free-things-to-do-in-california-napa-valley.html,anaheim,napa,"Orange County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
orange county,administrative,-117.870493,33.7500378,anaheim,http://www.travbuddy.com/California-travel-guide-p85,anaheim,napa,"Orange County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
california,administrative,-118.7559973,36.7014631,anaheim,http://www.10best.com/interests/tours-itineraries/10best-day-trip-scenic-route-from-san-francisco-to-napa/,anaheim,napa,"California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
california,administrative,-118.7559973,36.7014631,anaheim,https://www.winecountryinn.com/blog/places-to-see-in-northern-california/,anaheim,napa,"California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
california,administrative,-118.7559973,36.7014631,anaheim,https://www.tripadvisor.com/ShowTopic-g28926-i29-k6152478-Driving_from_Anaheim_to_Napa_Itinerary_Help-California.html,anaheim,napa,"California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
california,administrative,-118.7559973,36.7014631,anaheim,http://www.foxnews.com/travel/2013/04/25/whole-lot-more-than-wine-country-5-free-things-to-do-in-california-napa-valley.html,anaheim,napa,"California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
california,administrative,-118.7559973,36.7014631,anaheim,http://fathomaway.com/guides/usa/california/napa-and-sonoma/itineraries/what-to-do-in-napa-valley-california/,anaheim,napa,"California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
california,administrative,-118.7559973,36.7014631,anaheim,http://www.travbuddy.com/California-travel-guide-p85,anaheim,napa,"California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
california,administrative,-118.7559973,36.7014631,anaheim,https://www.tripadvisor.com/ShowTopic-g28926-i29-k190573-Road_trip_from_Anaheim_to_San_Francisco_suggestions-California.html,anaheim,napa,"California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
california,administrative,-118.7559973,36.7014631,anaheim,https://www.pinterest.com/pin/188236459399683755/,anaheim,napa,"California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
california,administrative,-118.7559973,36.7014631,anaheim,http://www.10best.com/destinations/california/napa-valley/attractions/parks/,anaheim,napa,"California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
california,administrative,-118.7559973,36.7014631,anaheim,https://www.theinfatuation.com/san-francisco/guides/a-complete-guide-to-the-best-napa-restaurants,anaheim,napa,"California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
california,administrative,-118.7559973,36.7014631,anaheim,http://www.wineinstitute.org/consumerstories,anaheim,napa,"California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
california,administrative,-118.7559973,36.7014631,anaheim,http://www.hopper.com/articles/291/five-great-stops-between-los-angeles-and-san-francisco-on-the-pacific-coast-highway,anaheim,napa,"California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
california,administrative,-118.7559973,36.7014631,anaheim,http://thisismyhappiness.com/2012/07/16/30-things-to-do-in-napa-valley/,anaheim,napa,"California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
california,administrative,-118.7559973,36.7014631,anaheim,http://gocalifornia.about.com/od/caplaceslist/ss/Redwood-Forests-in-California.htm,anaheim,napa,"California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
julia lake,water,-118.553655054878,35.38562685,anaheim,http://fathomaway.com/guides/usa/california/napa-and-sonoma/itineraries/what-to-do-in-napa-valley-california/,anaheim,napa,"Julia Lake, Caliente Bodfish Road, Fig Orchard, Kern County, California, 93283, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
redwood forest.big basin,path,-122.2232594,37.1700236,anaheim,http://gocalifornia.about.com/od/caplaceslist/ss/Redwood-Forests-in-California.htm,anaheim,napa,"Redwood Trail, Big Basin, Santa Cruz County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
inglenook,hamlet,-123.7589042,39.529608,napa,http://www.foxnews.com/travel/2013/04/25/whole-lot-more-than-wine-country-5-free-things-to-do-in-california-napa-valley.html,anaheim,napa,"Inglenook, Mendocino County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
avila beach,hamlet,-120.7318417,35.1799752,anaheim,https://www.tripadvisor.com/ShowTopic-g28926-i29-k190573-Road_trip_from_Anaheim_to_San_Francisco_suggestions-California.html,anaheim,napa,"Avila Beach, San Luis Obispo County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
jenner,hamlet,-123.1155587,38.4496365,napa,http://www.10best.com/destinations/california/napa-valley/attractions/parks/,anaheim,napa,"Jenner, Sonoma County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
trancas street,primary,-122.2759686,38.3251961,napa,http://www.foxnews.com/travel/2013/04/25/whole-lot-more-than-wine-country-5-free-things-to-do-in-california-napa-valley.html,anaheim,napa,"Trancas Street, Napa, Napa County, California, 94558, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
hollywood,suburb,-118.3299898,34.1028268,anaheim,https://www.tripadvisor.com/ShowTopic-g28926-i29-k190573-Road_trip_from_Anaheim_to_San_Francisco_suggestions-California.html,anaheim,napa,"Hollywood, LA, Los Angeles County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
hollywood,suburb,-118.3299898,34.1028268,anaheim,http://www.wineinstitute.org/consumerstories,anaheim,napa,"Hollywood, LA, Los Angeles County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
hollywood,suburb,-118.3299898,34.1028268,anaheim,http://www.travbuddy.com/California-travel-guide-p85,anaheim,napa,"Hollywood, LA, Los Angeles County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
kings canyon national park,national_park,-118.607655759626,36.91527845,anaheim,https://www.pinterest.com/pin/188236459399683755/,anaheim,napa,"Kings Canyon National Park, Coopet Creek Trail, Fresno County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
wawona-mariposa grove,hamlet,-119.6549159,37.5368699,anaheim,http://gocalifornia.about.com/od/caplaceslist/ss/Redwood-Forests-in-California.htm,anaheim,napa,"Wawona, Mariposa County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
san simeon,hamlet,-121.1907532,35.6438587,anaheim,http://www.wineinstitute.org/consumerstories,anaheim,napa,"San Simeon, San Luis Obispo County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
san simeon,hamlet,-121.1907532,35.6438587,anaheim,http://www.hopper.com/articles/291/five-great-stops-between-los-angeles-and-san-francisco-on-the-pacific-coast-highway,anaheim,napa,"San Simeon, San Luis Obispo County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
san simeon,hamlet,-121.1907532,35.6438587,anaheim,http://www.travbuddy.com/California-travel-guide-p85,anaheim,napa,"San Simeon, San Luis Obispo County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
california-nevada,administrative,-120.8089842,39.3540335,napa,http://www.travbuddy.com/California-travel-guide-p85,anaheim,napa,"Nevada County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
sonoma coast,national_park,-123.099028545174,38.41699,napa,http://www.10best.com/destinations/california/napa-valley/attractions/parks/,anaheim,napa,"Sonoma Coast State Park, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
calico,locality,-119.206496,35.6327332,anaheim,http://www.travbuddy.com/California-travel-guide-p85,anaheim,napa,"Calico, Kern County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
yosemite valley,town,-119.6064673,37.734435,anaheim,http://gocalifornia.about.com/od/caplaceslist/ss/Redwood-Forests-in-California.htm,anaheim,napa,"Yosemite Valley, Mariposa County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
mountain home state forest,restaurant,-118.2900609,34.0999173,anaheim,http://gocalifornia.about.com/od/caplaceslist/ss/Redwood-Forests-in-California.htm,anaheim,napa,"Home State, 4624, Hollywood Boulevard, Little Armenia, LA, Los Angeles County, California, 90027, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
el dorado county,administrative,-120.5276128,38.7574137,anaheim,http://www.travbuddy.com/California-travel-guide-p85,anaheim,napa,"El Dorado County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
humboldt redwoods state park,national_park,-123.810101631344,40.21792445,napa,http://gocalifornia.about.com/od/caplaceslist/ss/Redwood-Forests-in-California.htm,anaheim,napa,"Humboldt Redwoods State Park, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
marin headlands,park,-122.534327312107,37.856162,anaheim,http://www.10best.com/interests/tours-itineraries/10best-day-trip-scenic-route-from-san-francisco-to-napa/,anaheim,napa,"Marin Headlands (GGNRA), Old Springs Trail, Marin City, Marin County, California, 94941, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
disneyland,theme_park,-117.91971186569,33.8136367,anaheim,http://www.travbuddy.com/California-travel-guide-p85,anaheim,napa,"DL, 1313, South Harbor Boulevard, Anaheim Resort District, Anaheim, Orange County, California, 92805, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
los angeles county,administrative,-118.2096813,34.3155072,anaheim,http://www.travbuddy.com/California-travel-guide-p85,anaheim,napa,"Los Angeles County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
mumm napa valley,attraction,-122.3942598,38.4788493,napa,http://www.foxnews.com/travel/2013/04/25/whole-lot-more-than-wine-country-5-free-things-to-do-in-california-napa-valley.html,anaheim,napa,"Mumm, 8445, Silverado Trail South, Rutherford, Napa County, California, 94573, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
bothe-napa valley state park,national_park,-122.548357333489,38.54052415,napa,http://www.wineinstitute.org/consumerstories,anaheim,napa,"Bothe-Napa Valley State Park, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
russian river,river,-123.1615372,39.0737803,napa,http://www.10best.com/destinations/california/napa-valley/attractions/parks/,anaheim,napa,"Russian River, Mendocino County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
orick,hamlet,-124.0597936,41.2867896,napa,https://www.winecountryinn.com/blog/places-to-see-in-northern-california/,anaheim,napa,"Orick, Humboldt County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
oceano dunes,beach,-120.6308599,35.10588,anaheim,https://www.tripadvisor.com/ShowTopic-g28926-i29-k190573-Road_trip_from_Anaheim_to_San_Francisco_suggestions-California.html,anaheim,napa,"Oceano Dunes, Pier Avenue, Oceano, San Luis Obispo County, California, 93445, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
haight ashbury,neighbourhood,-122.4470138,37.7700462,anaheim,https://www.tripadvisor.com/ShowTopic-g28926-i29-k190573-Road_trip_from_Anaheim_to_San_Francisco_suggestions-California.html,anaheim,napa,"Haight-Ashbury, SF, California, 94117, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
lake tahoe,water,-120.050511752934,39.0888982,anaheim,http://www.travbuddy.com/California-travel-guide-p85,anaheim,napa,"Lake Tahoe, Placer County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
third street promenade,pedestrian,-118.496879184169,34.01632465,anaheim,http://www.wineinstitute.org/consumerstories,anaheim,napa,"Third Street Promenade, Santa Monica, Los Angeles County, California, 90401, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
sierra nevada mountains,residential,-121.0394625,39.0434692,napa,http://gocalifornia.about.com/od/caplaceslist/ss/Redwood-Forests-in-California.htm,anaheim,napa,"Oak Mountains Court, Lake of the Pines, Nevada County, California, 95722, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
sierra nevada mountains,residential,-121.0394625,39.0434692,napa,http://www.travbuddy.com/California-travel-guide-p85,anaheim,napa,"Oak Mountains Court, Lake of the Pines, Nevada County, California, 95722, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
yosemite national park,national_park,-119.516587698025,37.84054795,anaheim,http://gocalifornia.about.com/od/caplaceslist/ss/Redwood-Forests-in-California.htm,anaheim,napa,"Yosemite National Park, Mt. Hoffmann Trail, Mariposa County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
yosemite national park,national_park,-119.516587698025,37.84054795,anaheim,http://www.travbuddy.com/California-travel-guide-p85,anaheim,napa,"Yosemite National Park, Mt. Hoffmann Trail, Mariposa County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
giant forest,forest,-118.7514867,36.5624446,anaheim,http://gocalifornia.about.com/od/caplaceslist/ss/Redwood-Forests-in-California.htm,anaheim,napa,"Giant Forest, Tharp's Log Trail, Pinewood, Tulare County, California, 93262, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
napa county,administrative,-122.3218413,38.4898675,napa,http://www.foxnews.com/travel/2013/04/25/whole-lot-more-than-wine-country-5-free-things-to-do-in-california-napa-valley.html,anaheim,napa,"Napa County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
myers flat,hamlet,-123.8703145,40.2662524,napa,http://gocalifornia.about.com/od/caplaceslist/ss/Redwood-Forests-in-California.htm,anaheim,napa,"Myers Flat, Humboldt County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
sonoma county,administrative,-122.8473387,38.5110803,napa,http://gocalifornia.about.com/od/topcalifornia/qt/San-Francisco-to-Napa-Valley.htm,anaheim,napa,"Sonoma County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
sonoma county,administrative,-122.8473387,38.5110803,napa,https://www.theinfatuation.com/san-francisco/guides/a-complete-guide-to-the-best-napa-restaurants,anaheim,napa,"Sonoma County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
fern canyon,stream,-120.5269923,35.2643486,anaheim,http://gocalifornia.about.com/od/caplaceslist/ss/Redwood-Forests-in-California.htm,anaheim,napa,"Fern Canyon, San Luis Obispo County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
meritage resort,hotel,-122.2740595,38.2460173,anaheim,http://thisismyhappiness.com/2012/07/16/30-things-to-do-in-napa-valley/,anaheim,napa,"The Meritage Resort and Spa, Trefethen Way, Napa, Napa County, California, 94558, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
big basin redwoods state park,national_park,-122.239816619658,37.1550317,anaheim,http://gocalifornia.about.com/od/caplaceslist/ss/Redwood-Forests-in-California.htm,anaheim,napa,"Big Basin Redwoods State Park, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
st. helena highway,trunk,-122.3268832,38.3441575,napa,http://www.foxnews.com/travel/2013/04/25/whole-lot-more-than-wine-country-5-free-things-to-do-in-california-napa-valley.html,anaheim,napa,"Saint Helena Highway, Napa, Napa County, California, 94558, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
st. helena highway,trunk,-122.3268832,38.3441575,napa,https://www.theinfatuation.com/san-francisco/guides/a-complete-guide-to-the-best-napa-restaurants,anaheim,napa,"Saint Helena Highway, Napa, Napa County, California, 94558, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
big basin,hamlet,-122.1875564,37.1665748,anaheim,http://gocalifornia.about.com/od/caplaceslist/ss/Redwood-Forests-in-California.htm,anaheim,napa,"Big Basin, Santa Cruz County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
calif.,administrative,-118.7559973,36.7014631,anaheim,http://www.foxnews.com/travel/2013/04/25/whole-lot-more-than-wine-country-5-free-things-to-do-in-california-napa-valley.html,anaheim,napa,"California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
calif.,administrative,-118.7559973,36.7014631,anaheim,https://www.winecountryinn.com/blog/places-to-see-in-northern-california/,anaheim,napa,"California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
geyserville,hamlet,-122.9024963,38.707687,napa,https://www.theinfatuation.com/san-francisco/guides/a-complete-guide-to-the-best-napa-restaurants,anaheim,napa,"Geyserville, Sonoma County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
pacific coast highway,primary,-118.0051687,33.6595127,anaheim,https://www.tripadvisor.com/ShowTopic-g28926-i29-k190573-Road_trip_from_Anaheim_to_San_Francisco_suggestions-California.html,anaheim,napa,"Pacific Coast Highway, Huntington Beach, Orange County, California, 92648, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
pacific coast highway,primary,-118.0051687,33.6595127,anaheim,http://www.hopper.com/articles/291/five-great-stops-between-los-angeles-and-san-francisco-on-the-pacific-coast-highway,anaheim,napa,"Pacific Coast Highway, Huntington Beach, Orange County, California, 92648, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
pacific coast highway,primary,-118.0051687,33.6595127,anaheim,http://www.travbuddy.com/California-travel-guide-p85,anaheim,napa,"Pacific Coast Highway, Huntington Beach, Orange County, California, 92648, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
golden gate bridge,motorway,-122.4797405,37.8302889,anaheim,http://gocalifornia.about.com/od/topcalifornia/qt/San-Francisco-to-Napa-Valley.htm,anaheim,napa,"Golden Gate Bridge, Waldo, Marin County, California, 94965, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
