mention_name,mention_type,mention_popularity,mention_address,no_of_blogFiles,mention_found_in_blogFiles
el cajon trail,city,1,"El Cajon, San Diego County, California, United States of America",2,"mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"
sacramento california,city,1,"Sacramento, Sacramento County, California, United States of America",1,malibu_and_stockton.json
west irvine,city,1,"Irvine, Orange County, California, United States of America",7,"bakersfield_and_newport beach.json,big bear lake_and_santa barbara.json,irvine_and_santa barbara.json,sacramento_and_san luis obispo.json,san francisco_and_santa barbara.json,san luis obispo_and_santa ana.json,santa barbara_and_stockton.json"
riverside route,city,3,"Riverside, Riverside County, California, United States of America",3,"big bear lake_and_riverside.json,irvine_and_riverside.json,pismo beach_and_riverside.json"
dixon,city,1,"Dixon, Solano County, California, United States of America",1,santa monica_and_stockton.json
santa maria ca,city,2,"Santa Maria, Santa Barbara County, California, United States of America",2,"santa ana_and_santa barbara.json,santa barbara_and_temecula.json"
visalia,city,17,"Visalia, Tulare County, California, United States of America",46,"anaheim_and_fresno.json,anaheim_and_mammoth lakes.json,bakersfield_and_carlsbad.json,bakersfield_and_fresno.json,bakersfield_and_irvine.json,bakersfield_and_mammoth lakes.json,bakersfield_and_napa.json,bakersfield_and_riverside.json,bakersfield_and_sacramento.json,bakersfield_and_san francisco.json,bakersfield_and_santa ana.json,bakersfield_and_santa clarita.json,bakersfield_and_stockton.json,bakersfield_and_temecula.json,beverly hills_and_san luis obispo.json,carlsbad_and_fresno.json,fremont_and_santa barbara.json,fresno_and_irvine.json,fresno_and_los angeles.json,fresno_and_mammoth lakes.json,fresno_and_napa.json,fresno_and_sacramento.json,fresno_and_san diego.json,fresno_and_santa barbara.json,fresno_and_santa clarita.json,fresno_and_santa monica.json,fresno_and_sausalito.json,fresno_and_stockton.json,fresno_and_temecula.json,long beach_and_sacramento.json,mammoth lakes_and_oakland.json,malibu_and_mammoth lakes.json,mammoth lakes_and_san diego.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,mammoth lakes_and_santa monica.json,mammoth lakes_and_temecula.json,oakland_and_santa clarita.json,sacramento_and_san luis obispo.json,sacramento_and_santa clarita.json,san bernardino_and_san luis obispo.json,san bernardino_and_santa barbara.json,sacramento_and_san bernardino.json,santa clarita_and_stockton.json,santa monica_and_stockton.json"
san luis obispo route,city,1,"San Luis Obispo, San Luis Obispo County, California, United States of America",1,pasadena_and_san luis obispo.json
woodland,city,3,"Woodland, Yolo County, California, United States of America",14,"anaheim_and_sacramento.json,anaheim_and_stockton.json,bakersfield_and_napa.json,bakersfield_and_sacramento.json,bakersfield_and_san francisco.json,bakersfield_and_stockton.json,berkeley_and_carlsbad.json,fresno_and_napa.json,fresno_and_sacramento.json,fresno_and_stockton.json,napa_and_sacramento.json,napa_and_stockton.json,riverside_and_stockton.json,sacramento_and_stockton.json"
suisun valley,city,2,"Suisun City, Solano County, California, United States of America",3,"napa_and_temecula.json,pismo beach_and_temecula.json,san luis obispo_and_temecula.json"
south sacramento,city,1,"Sacramento, Sacramento County, California, United States of America",7,"bakersfield_and_stockton.json,fresno_and_sacramento.json,fresno_and_santa clarita.json,fresno_and_stockton.json,sacramento_and_santa clarita.json,santa clarita_and_stockton.json,santa monica_and_stockton.json"
pismo beach route,city,28,"Pismo Beach, San Luis Obispo County, California, United States of America",11,"bakersfield_and_pismo beach.json,carlsbad_and_pismo beach.json,fremont_and_pismo beach.json,huntington beach_and_pismo beach.json,irvine_and_pismo beach.json,malibu_and_pismo beach.json,pismo beach_and_riverside.json,pismo beach_and_sacramento.json,pismo beach_and_san bernardino.json,pismo beach_and_santa ana.json,pismo beach_and_temecula.json"
lompoc,city,29,"Lompoc, Santa Barbara County, California, United States of America",125,"anaheim_and_bakersfield.json,anaheim_and_berkeley.json,anaheim_and_monterey.json,anaheim_and_pismo beach.json,anaheim_and_san jose.json,anaheim_and_san luis obispo.json,anaheim_and_santa barbara.json,anaheim_and_santa cruz.json,avalon_and_santa barbara.json,avalon_and_santa cruz.json,bakersfield_and_oakland.json,bakersfield_and_san diego.json,bakersfield_and_san jose.json,bakersfield_and_san luis obispo.json,berkeley_and_malibu.json,berkeley_and_pismo beach.json,berkeley_and_san luis obispo.json,berkeley_and_santa monica.json,berkeley_and_carlsbad.json,beverly hills_and_san luis obispo.json,big bear lake_and_santa barbara.json,big bear lake_and_santa cruz.json,carlsbad_and_santa barbara.json,carlsbad_and_santa cruz.json,fremont_and_los angeles.json,fremont_and_pismo beach.json,fremont_and_san diego.json,fremont_and_santa barbara.json,fresno_and_los angeles.json,fresno_and_pismo beach.json,fresno_and_san diego.json,fresno_and_san luis obispo.json,fresno_and_santa barbara.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_san francisco.json,huntington beach_and_santa barbara.json,huntington beach_and_santa cruz.json,irvine_and_monterey.json,irvine_and_san jose.json,irvine_and_san luis obispo.json,irvine_and_santa barbara.json,irvine_and_santa cruz.json,fresno_and_riverside.json,huntington beach_and_san jose.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_santa cruz.json,los angeles_and_oakland.json,los angeles_and_pismo beach.json,los angeles_and_san jose.json,los angeles_and_san luis obispo.json,malibu_and_napa.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_santa barbara.json,malibu_and_santa cruz.json,monterey_and_riverside.json,monterey_and_san bernardino.json,monterey_and_santa barbara.json,monterey_and_santa clarita.json,napa_and_pasadena.json,napa_and_pismo beach.json,napa_and_santa ana.json,napa_and_santa barbara.json,napa_and_santa clarita.json,napa_and_santa monica.json,long beach_and_monterey.json,long beach_and_santa barbara.json,los angeles_and_santa cruz.json,malibu_and_monterey.json,monterey_and_santa monica.json,newport beach_and_san jose.json,newport beach_and_santa barbara.json,newport beach_and_santa cruz.json,oakland_and_san luis obispo.json,oakland_and_santa monica.json,pasadena_and_santa barbara.json,pasadena_and_santa cruz.json,pismo beach_and_riverside.json,pismo beach_and_san bernardino.json,pismo beach_and_san diego.json,pismo beach_and_san jose.json,pismo beach_and_santa barbara.json,pismo beach_and_santa clarita.json,pismo beach_and_santa cruz.json,pismo beach_and_santa monica.json,pismo beach_and_sausalito.json,riverside_and_san luis obispo.json,riverside_and_santa barbara.json,sacramento_and_san luis obispo.json,sacramento_and_santa ana.json,sacramento_and_santa barbara.json,sacramento_and_santa monica.json,san bernardino_and_san luis obispo.json,san bernardino_and_santa barbara.json,san bernardino_and_santa cruz.json,san diego_and_san luis obispo.json,san diego_and_santa cruz.json,san diego_and_stockton.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa clarita.json,san francisco_and_santa monica.json,san jose_and_san luis obispo.json,san jose_and_santa barbara.json,san jose_and_santa clarita.json,sacramento_and_san bernardino.json,san jose_and_santa monica.json,irvine_and_stockton.json,san luis obispo_and_santa barbara.json,san luis obispo_and_santa cruz.json,san luis obispo_and_santa monica.json,san luis obispo_and_stockton.json,santa ana_and_santa barbara.json,santa ana_and_santa cruz.json,santa ana_and_stockton.json,santa barbara_and_santa clarita.json,santa barbara_and_santa cruz.json,santa barbara_and_santa monica.json,santa barbara_and_temecula.json,santa cruz_and_santa monica.json"
lancaster,city,21,"Lancaster, Los Angeles County, California, United States of America",51,"anaheim_and_fresno.json,bakersfield_and_beverly hills.json,bakersfield_and_mammoth lakes.json,bakersfield_and_santa monica.json,bakersfield_and_stockton.json,beverly hills_and_fresno.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_temecula.json,big bear lake_and_santa clarita.json,fremont_and_huntington beach.json,fremont_and_san bernardino.json,fremont_and_santa clarita.json,fresno_and_irvine.json,fresno_and_long beach.json,fresno_and_malibu.json,fresno_and_pasadena.json,fresno_and_santa ana.json,fresno_and_temecula.json,huntington beach_and_santa clarita.json,irvine_and_malibu.json,irvine_and_mammoth lakes.json,irvine_and_oakland.json,irvine_and_sacramento.json,irvine_and_santa clarita.json,fresno_and_riverside.json,long beach_and_santa clarita.json,los angeles_and_mammoth lakes.json,mammoth lakes_and_pasadena.json,mammoth lakes_and_riverside.json,mammoth lakes_and_san diego.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,mammoth lakes_and_santa clarita.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,oakland_and_san bernardino.json,oakland_and_santa clarita.json,pasadena_and_riverside.json,pasadena_and_temecula.json,riverside_and_san diego.json,riverside_and_santa clarita.json,sacramento_and_santa ana.json,sacramento_and_santa clarita.json,san bernardino_and_santa clarita.json,san diego_and_santa clarita.json,santa ana_and_santa clarita.json,santa clarita_and_santa cruz.json,santa monica_and_temecula.json"
la quinta,city,3,"La Quinta, Riverside County, California, United States of America",28,"anaheim_and_bakersfield.json,anaheim_and_fresno.json,anaheim_and_sacramento.json,anaheim_and_santa barbara.json,beverly hills_and_sausalito.json,berkeley_and_santa monica.json,carlsbad_and_santa barbara.json,carlsbad_and_santa monica.json,fremont_and_santa monica.json,long beach_and_san francisco.json,napa_and_santa barbara.json,napa_and_santa monica.json,monterey_and_santa monica.json,newport beach_and_santa barbara.json,sacramento_and_santa ana.json,sacramento_and_santa barbara.json,sacramento_and_santa clarita.json,san bernardino_and_santa barbara.json,san bernardino_and_santa monica.json,san diego_and_santa barbara.json,san diego_and_santa monica.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa monica.json,santa ana_and_santa barbara.json,santa barbara_and_temecula.json,santa monica_and_stockton.json,santa monica_and_temecula.json"
newport beach california,city,4,"Newport Beach, Orange County, California, United States of America",53,"anaheim_and_newport beach.json,avalon_and_newport beach.json,bakersfield_and_newport beach.json,berkeley_and_newport beach.json,berkeley_and_huntington beach.json,carlsbad_and_huntington beach.json,carlsbad_and_long beach.json,carlsbad_and_santa ana.json,carlsbad_and_santa barbara.json,carlsbad_and_santa monica.json,fremont_and_newport beach.json,fresno_and_newport beach.json,huntington beach_and_long beach.json,huntington beach_and_los angeles.json,huntington beach_and_newport beach.json,huntington beach_and_santa ana.json,huntington beach_and_santa barbara.json,huntington beach_and_santa clarita.json,huntington beach_and_santa monica.json,huntington beach_and_stockton.json,irvine_and_long beach.json,irvine_and_malibu.json,irvine_and_newport beach.json,irvine_and_riverside.json,irvine_and_santa barbara.json,carlsbad_and_los angeles.json,huntington beach_and_malibu.json,long beach_and_newport beach.json,los angeles_and_santa ana.json,los angeles_and_santa barbara.json,malibu_and_newport beach.json,malibu_and_santa ana.json,malibu_and_stockton.json,napa_and_newport beach.json,long beach_and_santa barbara.json,los angeles_and_newport beach.json,monterey_and_newport beach.json,newport beach_and_pasadena.json,newport beach_and_sacramento.json,newport beach_and_san jose.json,newport beach_and_santa ana.json,newport beach_and_santa barbara.json,newport beach_and_santa clarita.json,newport beach_and_santa monica.json,newport beach_and_stockton.json,newport beach_and_temecula.json,pismo beach_and_santa ana.json,newport beach_and_pismo beach.json,newport beach_and_sausalito.json,santa ana_and_santa barbara.json,santa ana_and_santa monica.json,santa ana_and_stockton.json,santa barbara_and_santa monica.json"
colton,city,8,"Colton, San Bernardino County, California, United States of America",12,"big bear lake_and_santa ana.json,fresno_and_san bernardino.json,huntington beach_and_riverside.json,huntington beach_and_san bernardino.json,big bear lake_and_san bernardino.json,newport beach_and_san bernardino.json,riverside_and_san bernardino.json,san bernardino_and_san diego.json,san bernardino_and_santa ana.json,san bernardino_and_temecula.json,riverside_and_santa ana.json,stockton_and_temecula.json"
buellton,city,16,"Buellton, Santa Barbara County, California, United States of America",157,"anaheim_and_bakersfield.json,anaheim_and_fresno.json,anaheim_and_monterey.json,anaheim_and_oakland.json,anaheim_and_pismo beach.json,anaheim_and_sacramento.json,anaheim_and_san francisco.json,anaheim_and_san jose.json,anaheim_and_san luis obispo.json,anaheim_and_santa cruz.json,anaheim_and_sausalito.json,avalon_and_bakersfield.json,avalon_and_san jose.json,bakersfield_and_san bernardino.json,avalon_and_sausalito.json,bakersfield_and_long beach.json,bakersfield_and_los angeles.json,bakersfield_and_monterey.json,bakersfield_and_oakland.json,bakersfield_and_riverside.json,bakersfield_and_sacramento.json,bakersfield_and_san diego.json,bakersfield_and_san francisco.json,bakersfield_and_san jose.json,bakersfield_and_san luis obispo.json,bakersfield_and_santa ana.json,bakersfield_and_santa barbara.json,bakersfield_and_santa cruz.json,bakersfield_and_santa monica.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,berkeley_and_los angeles.json,berkeley_and_pismo beach.json,berkeley_and_san diego.json,berkeley_and_santa ana.json,berkeley_and_santa barbara.json,beverly hills_and_san francisco.json,big bear lake_and_san luis obispo.json,big bear lake_and_santa barbara.json,big bear lake_and_sausalito.json,carlsbad_and_oakland.json,carlsbad_and_sacramento.json,carlsbad_and_santa barbara.json,carlsbad_and_santa clarita.json,carlsbad_and_santa cruz.json,carlsbad_and_stockton.json,fremont_and_los angeles.json,fremont_and_santa barbara.json,fresno_and_los angeles.json,fresno_and_malibu.json,fresno_and_oakland.json,fresno_and_sacramento.json,fresno_and_san bernardino.json,huntington beach_and_monterey.json,huntington beach_and_oakland.json,huntington beach_and_sacramento.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa barbara.json,huntington beach_and_sausalito.json,irvine_and_monterey.json,irvine_and_pismo beach.json,irvine_and_sacramento.json,irvine_and_santa cruz.json,irvine_and_sausalito.json,huntington beach_and_san jose.json,long beach_and_oakland.json,long beach_and_stockton.json,los angeles_and_monterey.json,los angeles_and_oakland.json,los angeles_and_pismo beach.json,los angeles_and_sacramento.json,los angeles_and_san francisco.json,los angeles_and_san jose.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,malibu_and_napa.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_santa barbara.json,malibu_and_sausalito.json,mammoth lakes_and_riverside.json,monterey_and_pasadena.json,monterey_and_riverside.json,monterey_and_san bernardino.json,monterey_and_san diego.json,monterey_and_santa barbara.json,monterey_and_santa clarita.json,napa_and_pasadena.json,napa_and_santa ana.json,napa_and_santa barbara.json,napa_and_santa clarita.json,long beach_and_santa barbara.json,los angeles_and_santa cruz.json,newport beach_and_santa barbara.json,oakland_and_pasadena.json,oakland_and_san diego.json,oakland_and_san luis obispo.json,oakland_and_santa ana.json,oakland_and_santa clarita.json,oakland_and_santa monica.json,pasadena_and_pismo beach.json,pasadena_and_sacramento.json,pasadena_and_san francisco.json,pasadena_and_san jose.json,pasadena_and_san luis obispo.json,pasadena_and_santa barbara.json,pasadena_and_santa cruz.json,pasadena_and_sausalito.json,pismo beach_and_riverside.json,pismo beach_and_sacramento.json,pismo beach_and_san diego.json,pismo beach_and_san jose.json,pismo beach_and_santa ana.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_san jose.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_san luis obispo.json,sacramento_and_santa ana.json,sacramento_and_santa barbara.json,sacramento_and_santa clarita.json,sacramento_and_santa monica.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san bernardino_and_sausalito.json,san diego_and_san jose.json,san diego_and_santa barbara.json,san diego_and_santa clarita.json,san diego_and_santa cruz.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa clarita.json,san francisco_and_temecula.json,san jose_and_san luis obispo.json,san jose_and_santa ana.json,san jose_and_santa barbara.json,sacramento_and_san bernardino.json,sacramento_and_san diego.json,newport beach_and_sausalito.json,oakland_and_pismo beach.json,san bernardino_and_stockton.json,santa clarita_and_sausalito.json,san luis obispo_and_santa barbara.json,san luis obispo_and_santa clarita.json,san luis obispo_and_santa monica.json,san luis obispo_and_sausalito.json,santa ana_and_santa barbara.json,santa barbara_and_santa clarita.json,santa barbara_and_santa cruz.json,santa barbara_and_santa monica.json,santa barbara_and_stockton.json,santa barbara_and_temecula.json,santa clarita_and_stockton.json,santa monica_and_sausalito.json,santa monica_and_stockton.json,stockton_and_temecula.json"
old town lompoc,city,1,"Lompoc, Santa Barbara County, California, United States of America",1,beverly hills_and_san luis obispo.json
bakersfield,city,224,"Bakersfield, Kern County, California, United States of America",204,"anaheim_and_bakersfield.json,anaheim_and_fresno.json,anaheim_and_mammoth lakes.json,anaheim_and_monterey.json,anaheim_and_pismo beach.json,anaheim_and_sacramento.json,anaheim_and_san francisco.json,anaheim_and_san jose.json,anaheim_and_san luis obispo.json,anaheim_and_santa barbara.json,anaheim_and_santa cruz.json,anaheim_and_sausalito.json,anaheim_and_stockton.json,avalon_and_bakersfield.json,avalon_and_fresno.json,avalon_and_monterey.json,avalon_and_sacramento.json,avalon_and_san luis obispo.json,bakersfield_and_huntington beach.json,bakersfield_and_san bernardino.json,beverly hills_and_pismo beach.json,avalon_and_santa clarita.json,avalon_and_sausalito.json,bakersfield_and_berkeley.json,bakersfield_and_beverly hills.json,bakersfield_and_big bear lake.json,bakersfield_and_carlsbad.json,bakersfield_and_fremont.json,bakersfield_and_fresno.json,bakersfield_and_irvine.json,bakersfield_and_long beach.json,bakersfield_and_los angeles.json,bakersfield_and_malibu.json,bakersfield_and_mammoth lakes.json,bakersfield_and_monterey.json,bakersfield_and_napa.json,bakersfield_and_newport beach.json,bakersfield_and_oakland.json,bakersfield_and_pasadena.json,bakersfield_and_pismo beach.json,bakersfield_and_riverside.json,bakersfield_and_sacramento.json,bakersfield_and_san diego.json,bakersfield_and_san francisco.json,bakersfield_and_san jose.json,bakersfield_and_san luis obispo.json,bakersfield_and_santa ana.json,bakersfield_and_santa barbara.json,bakersfield_and_santa clarita.json,bakersfield_and_santa cruz.json,bakersfield_and_santa monica.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,bakersfield_and_temecula.json,berkeley_and_malibu.json,berkeley_and_mammoth lakes.json,berkeley_and_riverside.json,berkeley_and_san diego.json,berkeley_and_san luis obispo.json,berkeley_and_santa barbara.json,berkeley_and_fresno.json,beverly hills_and_fresno.json,beverly hills_and_monterey.json,beverly hills_and_napa.json,beverly hills_and_sacramento.json,beverly hills_and_san jose.json,beverly hills_and_san luis obispo.json,beverly hills_and_santa barbara.json,big bear lake_and_santa barbara.json,big bear lake_and_santa clarita.json,big bear lake_and_sausalito.json,carlsbad_and_fresno.json,carlsbad_and_oakland.json,carlsbad_and_sacramento.json,carlsbad_and_santa clarita.json,carlsbad_and_stockton.json,fremont_and_los angeles.json,fremont_and_san luis obispo.json,fremont_and_santa barbara.json,fremont_and_santa clarita.json,fremont_and_temecula.json,fresno_and_irvine.json,fresno_and_long beach.json,fresno_and_los angeles.json,fresno_and_monterey.json,fresno_and_napa.json,fresno_and_oakland.json,fresno_and_pasadena.json,fresno_and_pismo beach.json,fresno_and_sacramento.json,fresno_and_san bernardino.json,fresno_and_san diego.json,fresno_and_san francisco.json,fresno_and_san jose.json,fresno_and_san luis obispo.json,fresno_and_santa ana.json,fresno_and_santa barbara.json,fresno_and_santa clarita.json,fresno_and_santa monica.json,fresno_and_sausalito.json,fresno_and_stockton.json,fresno_and_temecula.json,huntington beach_and_sacramento.json,huntington beach_and_sausalito.json,irvine_and_sacramento.json,irvine_and_san luis obispo.json,irvine_and_santa barbara.json,irvine_and_sausalito.json,long beach_and_oakland.json,long beach_and_sacramento.json,long beach_and_san jose.json,long beach_and_san luis obispo.json,long beach_and_stockton.json,los angeles_and_monterey.json,los angeles_and_sacramento.json,los angeles_and_san luis obispo.json,los angeles_and_santa barbara.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_sausalito.json,mammoth lakes_and_monterey.json,mammoth lakes_and_napa.json,mammoth lakes_and_oakland.json,malibu_and_mammoth lakes.json,mammoth lakes_and_riverside.json,mammoth lakes_and_san diego.json,mammoth lakes_and_san jose.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,mammoth lakes_and_santa cruz.json,mammoth lakes_and_santa monica.json,mammoth lakes_and_temecula.json,monterey_and_riverside.json,monterey_and_san bernardino.json,monterey_and_san luis obispo.json,monterey_and_santa barbara.json,napa_and_pismo beach.json,napa_and_san bernardino.json,napa_and_san luis obispo.json,los angeles_and_santa cruz.json,mammoth lakes_and_pismo beach.json,mammoth lakes_and_sausalito.json,newport beach_and_oakland.json,newport beach_and_san jose.json,oakland_and_san bernardino.json,oakland_and_san luis obispo.json,oakland_and_santa ana.json,oakland_and_santa barbara.json,oakland_and_santa clarita.json,pasadena_and_san luis obispo.json,pasadena_and_sausalito.json,pismo beach_and_san bernardino.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_san luis obispo.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_san luis obispo.json,sacramento_and_santa ana.json,sacramento_and_santa barbara.json,sacramento_and_santa clarita.json,san bernardino_and_san jose.json,san bernardino_and_san luis obispo.json,san bernardino_and_santa barbara.json,san bernardino_and_santa clarita.json,san bernardino_and_sausalito.json,san diego_and_san luis obispo.json,san diego_and_santa barbara.json,san diego_and_santa clarita.json,san diego_and_stockton.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa clarita.json,san francisco_and_temecula.json,san jose_and_san luis obispo.json,san jose_and_santa barbara.json,sacramento_and_san bernardino.json,sacramento_and_san diego.json,newport beach_and_pismo beach.json,newport beach_and_sausalito.json,san bernardino_and_stockton.json,san jose_and_santa monica.json,santa clarita_and_sausalito.json,irvine_and_stockton.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa barbara.json,san luis obispo_and_santa clarita.json,san luis obispo_and_santa cruz.json,san luis obispo_and_santa monica.json,san luis obispo_and_sausalito.json,san luis obispo_and_stockton.json,san luis obispo_and_temecula.json,santa ana_and_santa cruz.json,santa ana_and_stockton.json,santa barbara_and_santa cruz.json,santa barbara_and_stockton.json,santa clarita_and_stockton.json,santa monica_and_sausalito.json,santa monica_and_stockton.json,stockton_and_temecula.json"
tustin branch trail,city,3,"Tustin, Orange County, California, United States of America",5,"big bear lake_and_santa clarita.json,long beach_and_riverside.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,newport beach_and_riverside.json"
el segundo,city,6,"El Segundo, Los Angeles County, California, United States of America",21,"avalon_and_malibu.json,berkeley_and_long beach.json,bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,berkeley_and_los angeles.json,berkeley_and_malibu.json,berkeley_and_pasadena.json,berkeley_and_santa monica.json,berkeley_and_beverly hills.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_pasadena.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_temecula.json,irvine_and_los angeles.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_santa monica.json,santa monica_and_temecula.json"
thousand oaks,city,5,"Thousand Oaks, Ventura County, California, United States of America",28,"berkeley_and_san diego.json,berkeley_and_santa barbara.json,fresno_and_san diego.json,fresno_and_santa barbara.json,irvine_and_san jose.json,irvine_and_santa clarita.json,irvine_and_santa cruz.json,long beach_and_santa clarita.json,los angeles_and_riverside.json,los angeles_and_santa clarita.json,los angeles_and_stockton.json,los angeles_and_santa cruz.json,malibu_and_santa clarita.json,pasadena_and_riverside.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_santa barbara.json,riverside_and_santa clarita.json,riverside_and_santa cruz.json,riverside_and_stockton.json,sacramento_and_santa clarita.json,san diego_and_santa ana.json,san diego_and_santa clarita.json,san francisco_and_santa ana.json,san francisco_and_santa clarita.json,san jose_and_san luis obispo.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json"
signal hill,city,1,"Signal Hill, Los Angeles County, California, United States of America",1,malibu_and_pasadena.json
monterey park,city,9,"Monterey Park, Los Angeles County, California, United States of America",7,"beverly hills_and_monterey.json,carlsbad_and_monterey.json,los angeles_and_oakland.json,los angeles_and_san francisco.json,monterey_and_san bernardino.json,riverside_and_santa monica.json,san bernardino_and_santa monica.json"
saratoga,city,8,"Saratoga, Santa Clara County, California, United States of America",23,"berkeley_and_fremont.json,fremont_and_monterey.json,fremont_and_napa.json,fremont_and_oakland.json,fremont_and_sacramento.json,fremont_and_san francisco.json,irvine_and_san jose.json,irvine_and_santa cruz.json,los angeles_and_stockton.json,malibu_and_santa cruz.json,mammoth lakes_and_san luis obispo.json,napa_and_san diego.json,los angeles_and_santa cruz.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_santa cruz.json,riverside_and_stockton.json,sacramento_and_san jose.json,sacramento_and_santa clarita.json,san francisco_and_santa ana.json,san francisco_and_santa clarita.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json"
richmond,city,19,"Richmond, Contra Costa County, California, United States of America",67,"anaheim_and_sausalito.json,berkeley_and_san jose.json,avalon_and_sausalito.json,bakersfield_and_monterey.json,bakersfield_and_oakland.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,berkeley_and_los angeles.json,berkeley_and_napa.json,berkeley_and_newport beach.json,berkeley_and_sacramento.json,berkeley_and_san francisco.json,berkeley_and_fremont.json,big bear lake_and_sausalito.json,carlsbad_and_oakland.json,carlsbad_and_sacramento.json,carlsbad_and_stockton.json,fremont_and_oakland.json,fresno_and_los angeles.json,fresno_and_monterey.json,fresno_and_oakland.json,fresno_and_sacramento.json,fresno_and_san bernardino.json,fresno_and_san jose.json,fresno_and_stockton.json,huntington beach_and_sacramento.json,huntington beach_and_sausalito.json,irvine_and_sacramento.json,irvine_and_sausalito.json,los angeles_and_sausalito.json,malibu_and_sausalito.json,mammoth lakes_and_riverside.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,monterey_and_sacramento.json,monterey_and_san bernardino.json,monterey_and_stockton.json,mammoth lakes_and_sausalito.json,newport beach_and_oakland.json,newport beach_and_sacramento.json,oakland_and_san bernardino.json,oakland_and_san jose.json,oakland_and_sausalito.json,oakland_and_stockton.json,pasadena_and_sausalito.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_sausalito.json,sacramento_and_san jose.json,sacramento_and_santa clarita.json,san bernardino_and_san jose.json,san bernardino_and_san luis obispo.json,san bernardino_and_sausalito.json,san francisco_and_santa clarita.json,san francisco_and_temecula.json,sacramento_and_san bernardino.json,newport beach_and_sausalito.json,sacramento_and_san francisco.json,san bernardino_and_stockton.json,santa clarita_and_sausalito.json,san jose_and_sausalito.json,san jose_and_stockton.json,san luis obispo_and_sausalito.json,santa monica_and_sausalito.json,sausalito_and_stockton.json,stockton_and_temecula.json"
dunsmuir,city,3,"Dunsmuir, Siskiyou County, California, United States of America",4,"anaheim_and_sacramento.json,anaheim_and_stockton.json,mammoth lakes_and_san diego.json,riverside_and_stockton.json"
compton,city,7,"Compton, Los Angeles County, California, United States of America",20,"bakersfield_and_long beach.json,big bear lake_and_santa clarita.json,carlsbad_and_santa barbara.json,fremont_and_santa barbara.json,fresno_and_san bernardino.json,huntington beach_and_santa barbara.json,huntington beach_and_san jose.json,long beach_and_oakland.json,long beach_and_riverside.json,long beach_and_santa ana.json,malibu_and_santa barbara.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,long beach_and_santa barbara.json,newport beach_and_riverside.json,newport beach_and_santa barbara.json,oakland_and_san bernardino.json,sacramento_and_santa barbara.json,santa barbara_and_santa cruz.json"
calimesa,city,1,"Calimesa, Riverside County, California, United States of America",2,"riverside_and_santa monica.json,san bernardino_and_santa monica.json"
