attraction_name,attraction_knownFor,attraction_reviewComment,attraction_ranking,attraction_no_of_reviews,attraction_contact,attraction_in,attraction_address,attraction_url,attraction_in_file
Bheemeshwari Wildlife Sanctuary,,Our company had organized an outing to Bheemeshwari fishing camp and the plan was to stay in tents. We had tied up with Thrillophilia for setting up tents and all activities. As... read more,6,35,,Mandya,"Between Mekedatu, Gaganachukki and Barachukki , Mandya , India",https://www.tripadvisor.com/Attraction_Review-g2078495-d4138559-Reviews-Bheemeshwari_Wildlife_Sanctuary-Mandya_Karnataka.html,mandya.json
Krishnaraja Sagar (KRS) Dam,,I went to this place with my friends and i enjoyed a lot here. This is a place where i have been two to three times. This place really gives a fresh feeling. So overall i would... read more,2,64,,Mandya,"12 kms north-west of Mysore | Mandya , Mandya , India",https://www.tripadvisor.com/Attraction_Review-g2078495-d1223608-Reviews-Krishnaraja_Sagar_KRS_Dam-Mandya_Karnataka.html,mandya.json
Barachukki and Gaganachukki Falls,"Waterfalls , Nature & Parks",It takes only 3.30 hours from Bangalore. Both falls are awesome especially especially during monsoon days.,1,111,,Mandya,"Shivanasamundra | Shivanasamundram , Mandya , India",https://www.tripadvisor.com/Attraction_Review-g2078495-d1163696-Reviews-Barachukki_and_Gaganachukki_Falls-Mandya_Karnataka.html,mandya.json
Daria Daulat Bagh,,"Dariya Daulat Palace (Summer Palace) is set amidst beautiful gardens called Daria Daulat Bagh. Tipu sultan popularly known as the ""Tiger of Mysore"", built this palace. The palace... read more",3,33,,Mandya,"Near Cauveri River | Near Tipu Sultan Museum , Mandya , India",https://www.tripadvisor.com/Attraction_Review-g2078495-d4138562-Reviews-Daria_Daulat_Bagh-Mandya_Karnataka.html,mandya.json
Mekedatu,,"We decided to visit Mekedatu at around 10:00 am in the morning and started at 12 and reached by 3 on 10th Oct 2016. We had nice lunch @ Gokul, Kanakapura and from there to... read more",1,62,,Kanakapura,"Cauvery River , Kanakapura , India",https://www.tripadvisor.com/Attraction_Review-g2285371-d3335371-Reviews-Mekedatu-Kanakapura_Karnataka.html,kanakapura.json
Shimshapura Falls,,This is really nice fall specially for those who come from North India. There are several small falls which are mixing on a single place. Enjoyed this place.,13,6,,Mandya,"Simsha | Shivanasamundram , Mandya , India",https://www.tripadvisor.com/Attraction_Review-g2078495-d3731116-Reviews-Shimshapura_Falls-Mandya_Karnataka.html,mandya.json
Shivasamudram Falls,"Waterfalls , Nature & Parks",The only reason to visit the place is for the beautiful view. When I visited the water level was high and we were not allowed to go down the stairs. But visit the place just for... read more,1,570,+91 90190 21088,Belakavadi,"Mandya District | Cauvery , Belakavadi 560070 , India",https://www.tripadvisor.com/Attraction_Review-g7983271-d1204461-Reviews-Shivasamudram_Falls-Belakavadi_Karnataka.html,belakavadi.json
Bheemeshwari,,"It's a joy going to this vast river Cauvery waterspot, a short drive off the city. Spending a day out doing nothing but picnic in itself is rewarding in this peaceful and green... read more",82,38,+91 96860 20000,Bengaluru,"Bheemeshwari , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d3238605-Reviews-Bheemeshwari-Bengaluru_Karnataka.html,bengaluru.json
Cheluvanarayana Swamy Temple,,"Melkote, situated in Pandavapura, Mandya district, is one of the most popular and frequented tourist destinations in Karnataka. It is the abode of the revered deity... read more",4,13,,Mandya,"Melukote, Pandavapura Taluk , Mandya , India",https://www.tripadvisor.com/Attraction_Review-g2078495-d4153098-Reviews-Cheluvanarayana_Swamy_Temple-Mandya_Karnataka.html,mandya.json
Brindavan Garden,,The garden was considered one of the most beautiful garden in the country but is loosing it glamor due to maintainance issues. The dam near the entrance is marvellous. The garden... read more,14,"1,587",+91 80 2657 1925,Mysuru (Mysore),"Mysuru (Mysore) 576103 , India",https://www.tripadvisor.com/Attraction_Review-g304553-d1216820-Reviews-Brindavan_Garden-Mysuru_Mysore_Karnataka.html,mysuru_(mysore).json
Janapada Loka,,"If you are on Mysore Road and having food at Kamat Lokaruchi (after Ramanagara - if you are coming from Bengaluru), spare 45 minutes to step into this place right next door. We... read more",1,19,080-7201143,Ramnagaram,"Mysore highway | Ramanagar District, Doddamannugudde Forest , Ramnagaram 562159 , India",https://www.tripadvisor.com/Attraction_Review-g2295139-d3705753-Reviews-Janapada_Loka-Ramnagaram_Karnataka.html,ramnagaram.json
Chunchi Falls,,"This is a beautiful waterfall located at a distance of 80km from Bangalore, we went in bike and the journey was excellent. The water fall is eye satisfying but has a lot of things... read more",2,18,,Kanakapura,"Kanakapura , India",https://www.tripadvisor.com/Attraction_Review-g2285371-d8702251-Reviews-Chunchi_Falls-Kanakapura_Karnataka.html,kanakapura.json
Kokrebellur Pelicanry,,This place is really good if you are going with children and family. There are lots of fun loving activities over there. Loved this place a lot.,8,11,,Mandya,"Bheemeshwari , Mandya , India",https://www.tripadvisor.com/Attraction_Review-g2078495-d3727423-Reviews-Kokrebellur_Pelicanry-Mandya_Karnataka.html,mandya.json
Kaikondrahalli Lake,"Bodies of Water , Nature & Parks",The lake has been developed rather well now with a good walking/ jogging path and benches and gazebos. The birds are numerous and of different varieties on the trees in the lake... read more,38,57,,Bengaluru,"Sarjapur Road | Kaikondrahalli Village , Bengaluru 560035 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d7728876-Reviews-Kaikondrahalli_Lake-Bengaluru_Karnataka.html,bengaluru.json
Butterfly Park,,We had great time at the Butterfly Park.We have seen a lot of butterflies. Dome shaped structure with landscaped garden to house butterflies throughout the year. They Research and... read more,95,21,+91 91649 50099,Bengaluru,"| Banerghatta Biological Park , Bengaluru 560083 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d8803635-Reviews-Butterfly_Park-Bengaluru_Karnataka.html,bengaluru.json
Sangama at Mecedatu,,"I had been to this place about 2 weeks ago with my family and friends. At least my kids enjoyed a lot in the river water. But, you need to be careful while travelling to the other... read more",78,48,,Bengaluru,"Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d2501062-Reviews-Sangama_at_Mecedatu-Bengaluru_Karnataka.html,bengaluru.json
Thrillophilia Anthargange Adventure,,"a brilliant place to be around if you are from banaglore. very close by, pleasant place and also amazing service. we were 4 friends and had a crazy time. caving was specialy good... read more",88,21,,Bengaluru,"Kolar District , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d3238532-Reviews-Thrillophilia_Anthargange_Adventure-Bengaluru_Karnataka.html,bengaluru.json
Mysore Sand Sculpture Museum,"Art Museums , Museums",The sand sculptures are quite detailed and the museum is worth a visit while on the way back from Chamundi hills. It's a small museum and shouldnt take more than 15 mins of your... read more,9,396,+91 94482 73890,Mysuru (Mysore),"Chamundi Hill Main Road , Mysuru (Mysore) 570010 , India",https://www.tripadvisor.com/Attraction_Review-g304553-d6537124-Reviews-Mysore_Sand_Sculpture_Museum-Mysuru_Mysore_Karnataka.html,mysuru_(mysore).json
Karanji Lake,"Bodies of Water , Nature & Parks","The Karanji lake in Mysuru is situated quite close to the Sri Chamarajendra Zoo. With direction boards and ever helpful locals, locating it is quite easy. The Karanji Lake is one... read more",7,345,,Mysuru (Mysore),"Chamundipuram , Mysuru (Mysore) , India",https://www.tripadvisor.com/Attraction_Review-g304553-d4702455-Reviews-Karanji_Lake-Mysuru_Mysore_Karnataka.html,mysuru_(mysore).json
Sri Chamarajendra Zoological Gardens,"Outdoor Activities , Nature & Parks , Zoos & Aquariums","Please pack a lunch so you can really experience the entire zoological gardens, it is like going back into the jungle and immersing yourself by feeling that you are really... read more",1,"2,051",0821 252 0302,Mysuru (Mysore),"Indiranagar | Near Mysore Palace , Mysuru (Mysore) 570 010 , India",https://www.tripadvisor.com/Attraction_Review-g304553-d500203-Reviews-Sri_Chamarajendra_Zoological_Gardens-Mysuru_Mysore_Karnataka.html,mysuru_(mysore).json
Mysore Maharajah's Palace (Amba Vilas),"Historic Sites , Sights & Landmarks",Great on a Sunday evening it is totally lit up all over with thousands of lights The palace is a most impressive building in Mysore a total must for your visit to this lovely city,2,"3,774",+91 821 242 1051,Mysuru (Mysore),"Mysuru (Mysore) , India",https://www.tripadvisor.com/Attraction_Review-g304553-d319703-Reviews-Mysore_Maharajah_s_Palace_Amba_Vilas-Mysuru_Mysore_Karnataka.html,mysuru_(mysore).json
Wonderla Amusement Park,,It's a great ome day getaway from the hussle and bustle of the city with your family/friends. Good rides and clean environment.,1,"2,811",+91 80 2201 0333,Bengaluru,"28th km Mysore Road , Bengaluru 562109 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d1603947-Reviews-Wonderla_Amusement_Park-Bengaluru_Karnataka.html,bengaluru.json
Manchanabele Dam,,Very nice place to hangout with friends. Calm and peaceful. You can experience village lifestyle on the way. You can also visit Big Banyan tree along with this place.,1,48,,Manchanabele,"Mysore Road , Manchanabele , India",https://www.tripadvisor.com/Attraction_Review-g8138613-d3530377-Reviews-Manchanabele_Dam-Manchanabele_Karnataka.html,manchanabele.json
Pyramid Valley International,"Architectural Buildings , Sacred & Religious Sites , Sights & Landmarks","This is a meditation center in Pyramid shape. Inside the pyramid, there is absolute pin-drop silence. If you want a quick escape to a peaceful place in Bangalore, this is it... read more",27,259,+91 80327 23143,Bengaluru,"Kanakapura Road | Kebbedoddi Village, Harohalli Hobli , Bengaluru 562112 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d1221020-Reviews-Pyramid_Valley_International-Bengaluru_Karnataka.html,bengaluru.json
Ramadevara Betta Hill,,Ok to just take a break and have few photos. As it is famous for SHOLAY film shooting. Difficult to access,1,17,,Ramanagara,"Mysore Road , Ramanagara , India",https://www.tripadvisor.com/Attraction_Review-g4041420-d7613160-Reviews-Ramadevara_Betta_Hill-Ramanagara_Karnataka.html,ramanagara.json
Ramnagaram Museum,"“ ‘Janapada Loka’ Folk Museum at Ramanagara ” Reviewed July 29, 2015 The town Ramanagara [not Ramnagaram] is the district Head quarters for Ramanagara district of Karnataka in India. It is a tourist’s delight in many aspects as it has lush green surroundings and challenging rock formations that can interest any adventurous youth. Good lot of exciting activities are awaiting for today’s youth, who are enthusiastic in trekking for scaling up the... More Helpful? 2 Thank Profvns Report",,166,3,,Bengaluru,,https://www.tripadvisor.com/Attraction_Review-g297628-d3705107-Reviews-Ramnagaram_Museum-Bengaluru_Karnataka.html,bengaluru.json
Kokrebellur Bird Sanctuary,,the place was not very famous. i happened to reach there just by chance. i liked the place because of its openness.this place is a worth visit.,14,8,,Mandya,"Bangalore-Mysore Road | 10 Km From Maddur , Mandya , India",https://www.tripadvisor.com/Attraction_Review-g2078495-d4151746-Reviews-Kokrebellur_Bird_Sanctuary-Mandya_Karnataka.html,mandya.json
Bannerghatta National Park,,I went on safari it costs 260 and butterfly park fee 30 .Safari was so good and also we can see in normal way very closely we can find Animals like... read more,19,"1,756",+91-80-7828400,Bengaluru,"Bannerghatta Road | Bannerghatta , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d1006969-Reviews-Bannerghatta_National_Park-Bengaluru_Karnataka.html,bengaluru.json
Nijagal Betta,,"Nijagalbetta is among those perfect place for a barbecue night and camping, located in close proximity of Bengaluru (~60km), short and easy trail. One can park vehicles near... read more",124,7,,Bengaluru,"Bangalore-Tumkur Highway , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d6496317-Reviews-Nijagal_Betta-Bengaluru_Karnataka.html,bengaluru.json
Melody World Wax Museum,,This place is a good start towards the prevalent culture of private museum in the west. The place has a decent collection of wax statues but needs maintenance and funds as has... read more,33,143,+91 99004 54707,Mysuru (Mysore),"#1 Vihara Marga, Sidhartha Layout , Mysuru (Mysore) , India",https://www.tripadvisor.com/Attraction_Review-g304553-d1972179-Reviews-Melody_World_Wax_Museum-Mysuru_Mysore_Karnataka.html,mysuru_(mysore).json
Himada Gopalswamy Temple,"Sacred & Religious Sites , Sights & Landmarks","This place is located near Gundlupet, around 75km from the city of Mysuru. The place is accessible via road, but the last mile travel is allowed only via government bus. The place... read more",21,115,,Mysuru (Mysore),"NH-212 | Near Gundlupet , Mysuru (Mysore) , India",https://www.tripadvisor.com/Attraction_Review-g304553-d1220253-Reviews-Himada_Gopalswamy_Temple-Mysuru_Mysore_Karnataka.html,mysuru_(mysore).json
Devaraja Market,"Flea & Street Markets , Shopping",Very interesting. Full of colour and loverly people. Selling all sorts of spices vegetables and incense/oils. Be wary of prices if western.,15,106,,Mysuru (Mysore),"Sayyaji Rao Rd | Shivarampet , Mysuru (Mysore) 570001 , India",https://www.tripadvisor.com/Attraction_Review-g304553-d1022746-Reviews-Devaraja_Market-Mysuru_Mysore_Karnataka.html,mysuru_(mysore).json
Savandurga,"Geologic Formations , Nature & Parks","Once you reach here after long driving on the beautiful road and see the hill you will say , this is scary i am not gonna climb here. Then you reach at the bottom of the hill and... read more",2,127,+91 99956 04009,Dabguli,"60 km west of Bangalore, off Magadi Road , Dabguli , India",https://www.tripadvisor.com/Attraction_Review-g7983256-d1204347-Reviews-Savandurga-Dabguli_Karnataka.html,dabguli.json
Gavi Gangadhareshwara Temple,"Sacred & Religious Sites , Mysterious Sites , Points of Interest & Landmarks , Sights & Landmarks , More",This is an historic temple inside a monolithic rock and amidst rocky terrain inside Bangalore. It is surely a must visit place for all Siva followers.,25,185,,Bengaluru,"3 km from the City Market | Gavipuram , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d2648901-Reviews-Gavi_Gangadhareshwara_Temple-Bengaluru_Karnataka.html,bengaluru.json
Bangalore International Exhibition Centre,,"If you are a business house representative and want to attract the attention of so many customers then this is the place , where you can try it out by putting your... read more",181,3,+(91)8494915900,Bengaluru,"Tumkur Road | 10th Mile, Madavara Post, Dasanapura Hobli , Bengaluru 562 123 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d8519910-Reviews-Bangalore_International_Exhibition_Centre-Bengaluru_Karnataka.html,bengaluru.json
Sri Vani Science Park,,"It need little more maintenance but the science park is still worth to visit. They have different planed zone like one dedicated to forest, tress other is for human body science.",140,6,23286998,Bengaluru,"Bapagram ""Hanumavana"" 16 Km Off Magadi Road , Bengaluru 560091 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d3569066-Reviews-Sri_Vani_Science_Park-Bengaluru_Karnataka.html,bengaluru.json
Indian Cartoon Gallery,,"A really fine collections of cartoons by amongst others, the inimitable Laxman! Well worth a visit though understanding the context of some of the drawings is difficult!",183,3,,Bengaluru,"No1, Midford House, Midford Garden, Off Mg Road , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d6496208-Reviews-Indian_Cartoon_Gallery-Bengaluru_Karnataka.html,bengaluru.json
Shivoham Shiva Temple,,"As a tourist , this is a must see place , it transmits such of peace that makes you transport to another space",49,468,+91 9739455555,Bengaluru,"#97, Terrace Kemp Fort | Airport Road , Bengaluru 560017 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d1219275-Reviews-Shivoham_Shiva_Temple-Bengaluru_Karnataka.html,bengaluru.json
Omthara Kala Kuteera,,A very nice place ... it is a few kms into the Mangalore Highway - took about 1.45 mins from whitefield in Bangalore. The google map directions to this place is a bit... read more,147,5,,Bengaluru,"42/2 Basavenahalli, Near Mahadevapura , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d3151970-Reviews-Omthara_Kala_Kuteera-Bengaluru_Karnataka.html,bengaluru.json
Turahalli Forest,,"This place is good, well Maintained and a peaceful place to be in for an early morning walk or an evening walk, The place does indeed makes you feel good to be in a forest at the... read more",116,16,,Bengaluru,"Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d7311363-Reviews-Turahalli_Forest-Bengaluru_Karnataka.html,bengaluru.json
"Guruvayur Temple, Nettigere, Bangalore",,This temple is small but the architecture of the temple makes it great.The priests at the temple were also very humble in nature.This place fills you with positive energy.There... read more,79,19,+91 80 2843 3194,Bengaluru,"Nettigere , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d5123051-Reviews-Guruvayur_Temple_Nettigere_Bangalore-Bengaluru_Karnataka.html,bengaluru.json
Railway Museum Mysore,,"Near to the Mysore railway station. A few types of trains with its description. Steam engine, kids train, locomotive, train wheel etc displayed on open ground along with kids play... read more",16,218,+91 821 286 6955,Mysuru (Mysore),"Krishnaraja Sagar Road | near Mysore railway station , Mysuru (Mysore) , India",https://www.tripadvisor.com/Attraction_Review-g304553-d3679692-Reviews-Railway_Museum_Mysore-Mysuru_Mysore_Karnataka.html,mysuru_(mysore).json
The Hobby Place,,Great place! Very friendly team! Loved the activity! A very beautiful experience in a beautiful environment!,32,25,+91 96208 47069,Mysuru (Mysore),"#34 Vivekananda Road | Yadavgiri , Mysuru (Mysore) 570020 , India",https://www.tripadvisor.com/Attraction_Review-g304553-d7623175-Reviews-The_Hobby_Place-Mysuru_Mysore_Karnataka.html,mysuru_(mysore).json
Innovative Film City,,"I had visited this place back in 2008 once, during its early days. It was a very bad experience as I remember. Then I visited it again in 2015 December, it really has improved a... read more",66,610,+91 80669 66666,Bengaluru,"24 & 26, Bidadi Industrial Estate , Bengaluru 562 109 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d1213155-Reviews-Innovative_Film_City-Bengaluru_Karnataka.html,bengaluru.json
Basavanagudi,"Neighborhoods , Sights & Landmarks , Other","Basavangudi gives a taste of old traditional Bangalore. Beautiful roads, the large parks, the large trees is what make this place adorable. The Gandhi Bazar, Bull Temple, are... read more",8,359,+91 80 2662 6380,Bengaluru,"Gandhi Bazaar , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d2587592-Reviews-Basavanagudi-Bengaluru_Karnataka.html,bengaluru.json
Shri Shringeri Shankar Math,,"Nice Place to visit, May be visit early, Very much supportive guide and the location is also beautiful.",1,15,+91 83892 30293,Siddapura,"Hosur , Siddapura 581 355 , India",https://www.tripadvisor.com/Attraction_Review-g10548085-d2426224-Reviews-Shri_Shringeri_Shankar_Math-Siddapura_Uttar_Kannada_Karnataka.html,siddapura.json
Basavanagudi Aquatic Centre,,Go here every week with my 3year old son who enjoys playing in the pool. Its very well maintained and clean as well. The staff are very supportive and caring too. Lot of batches... read more,185,3,,Bengaluru,"Papmpamahakavi Road, Sankarapuram, Basavanagudi , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d4401223-Reviews-Basavanagudi_Aquatic_Centre-Bengaluru_Karnataka.html,bengaluru.json
Vijayanagara,,This is possibly one of the most underrated historical places to visit in india. I went on a 3 day trip to see and experience Hampi and later realized that to under the true... read more,1,41,,Bellary,"Bellary , India",https://www.tripadvisor.com/Attraction_Review-g1731271-d3701198-Reviews-Vijayanagara-Bellary_Karnataka.html,bellary.json
Hindustan Aeronautical Museum,,We visited this place with our kids and is a must for people who have enthu on planes and science. The halls on historical values of Indian aviation has been done greatly. The... read more,131,4,,Bengaluru,"Varthur Main Road, Marathalli , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d10056480-Reviews-Hindustan_Aeronautical_Museum-Bengaluru_Karnataka.html,bengaluru.json
Malleswaram,"Neighborhoods , Sights & Landmarks , Other",loved the roads a little traffic but manageable loved food at adigas and allbek bangalore weather suits the best here with all the trees,10,409,+91 98450 23738,Bengaluru,"3'rd Main Road , Bengaluru 560003 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d2587768-Reviews-Malleswaram-Bengaluru_Karnataka.html,bengaluru.json
Enchanting Acres,,This is a place where you can spend a day with your family especially the kids.My cousins son enjoyed playing with the rabbit and horses.The atmosphere is very calm and quiet and... read more,161,3,9880170889,Bengaluru,"29 Enchanting Acres | next to GR Educational Institute , Bengaluru 560078 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d8387637-Reviews-Enchanting_Acres-Bengaluru_Karnataka.html,bengaluru.json
Sri Ranganatha Swamy Temple,,I liked the architecture of the temple. The walls of Sri Ranganatha swamy temple are very well decorated with detail work. It is nice and holy place.,128,5,,Bengaluru,"Kalkunte Agrahara, near Chikka Tirupathi, Bangalore Rural District , Bengaluru , India",https://www.tripadvisor.com/Attraction_Review-g297628-d8505287-Reviews-Sri_Ranganatha_Swamy_Temple-Bengaluru_Karnataka.html,bengaluru.json
Jayachamarajendra Art Gallery,,"Art Gallery is located at the Jaganmohan Palace. While the building is not maintained that well, the art collection is good. There is a collection of Ravi Varma paintings and by... read more",22,139,,Mysuru (Mysore),"Jaganmohan Palace , Mysuru (Mysore) , India",https://www.tripadvisor.com/Attraction_Review-g304553-d3218449-Reviews-Jayachamarajendra_Art_Gallery-Mysuru_Mysore_Karnataka.html,mysuru_(mysore).json
Folklore Museum,,This museum has a great collection of artefacts that are pooled in from different part of Karnataka and gives a feel of the states rich folklore. A lot more artefacts needs to be... read more,51,15,,Mysuru (Mysore),"Jayalakshmi Vilas Mansion | University of Mysore, Manasagangothri , Mysuru (Mysore) , India",https://www.tripadvisor.com/Attraction_Review-g304553-d3201198-Reviews-Folklore_Museum-Mysuru_Mysore_Karnataka.html,mysuru_(mysore).json
"ISKCON Bangalore, Sri Sri Lakshmi Narasimha Temple","Sacred & Religious Sites , Sights & Landmarks",This is famous ISKCON temple in Bangalore. Its very popular and crowded place. During special festival this one is choke a block. The temple is maintained neat and clean. They... read more,16,385,+91 80 2357 8347,Bengaluru,"West of Chord Road | Rajaji Nagar , Bengaluru 560010 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d3618849-Reviews-ISKCON_Bangalore_Sri_Sri_Lakshmi_Narasimha_Temple-Bengaluru_Karnataka.html,bengaluru.json
Fun World,,The theme park is having fun which I felt is limited. Think been there on weekdays so the crowd was less. The hygiene level was a bit less. Needs more maintenance works as not... read more,227,,+(91)8023543290,Bengaluru,"Palace Grounds | Opposite TV Tower JC Nagar , Bengaluru 560006 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d10470397-Reviews-Fun_World-Bengaluru_Karnataka.html,bengaluru.json
VR Bengaluru,,"Right next to the Phoenix Market mall which is one of the famous malls in Bangalore, The VR Bengaluru stands tall as well. Though it is not as big as its neighbour but covers all... read more",59,39,+91 97400 19646,Bengaluru,"Whitefield Main Road | Mahadevpura , Bengaluru 560048 , India",https://www.tripadvisor.com/Attraction_Review-g297628-d10117267-Reviews-VR_Bengaluru-Bengaluru_Karnataka.html,bengaluru.json
