attraction_name,attraction_knownFor,attraction_reviewComment,attraction_ranking,attraction_no_of_reviews,attraction_contact,attraction_in,attraction_address,attraction_longitude,attraction_latitude,attraction_url,attraction_in_file
San Francisco Maritime National Historical Park,"Neighborhood: Fisherman’s Wharf Educational sites , National Parks , Specialty Museums , Sights & Landmarks , Nature & Parks , Museums , More",Every ship in this exhibit is worth visiting. We've been here several times because there is so much to see. Plus not every ship is open all the time. Our last visit was to the... read more,46,402,415-447-5000,San Francisco,"499 Jefferson St , San Francisco , CA 94109-1314",,,https://www.tripadvisor.com/Attraction_Review-g60713-d104217-Reviews-San_Francisco_Maritime_National_Historical_Park-San_Francisco_California.html,san_francisco.json
Rodeo Beach,"Beaches , Outdoor Activities , Nature & Parks",The place is usually very breezy and gives a good view of the city on the other side and the pacific on on side. The gold gate bridge can be admired as well. Good spot for the... read more,9,88,,Sausalito,"Sausalito , CA",-122.4854693,37.8590272,https://www.tripadvisor.com/Attraction_Review-g33062-d3804132-Reviews-Rodeo_Beach-Sausalito_Marin_County_California.html,sausalito.json
Golden Gate View Point,,"I was very glad that we stopped at this vantage point to take pictures, as you cannot appreciate the grandeur of this bridge when you are driving over it. The official color of... read more",10,28,,Mill Valley,"5702 Conzelman Road , Mill Valley , CA 94941",,,https://www.tripadvisor.com/Attraction_Review-g60909-d10122549-Reviews-Golden_Gate_View_Point-Mill_Valley_Marin_County_California.html,mill_valley.json
Bacchus & Venus,,Immediate pleasant greeting by the owners made me stay and actually purchase two bottles. These folks really know wine and can assist in choosing something yummy to take back to... read more,14,33,+1 415-331-2001,Sausalito,"769 Bridgeway , Sausalito , CA 94965-2102",,,https://www.tripadvisor.com/Attraction_Review-g33062-d281601-Reviews-Bacchus_Venus-Sausalito_Marin_County_California.html,sausalito.json
Green Gulch Farm,,"On our ladies' day out, we ended our outing here with a private tea ceremony (they have public teas on Sundays). What a marvelous place to be in: calming and refreshing. The... read more",2,9,+1 415-383-3134,Muir Beach,"1601 Shoreline Hwy , Muir Beach , CA 94965-9759",,,https://www.tripadvisor.com/Attraction_Review-g32762-d2416292-Reviews-Green_Gulch_Farm-Muir_Beach_Marin_County_California.html,muir_beach.json
Marin Headlands,"Nature & Wildlife Areas , State Parks , Nature & Parks","I don't know how we missed this place on the numerous times we have been in San Fransisco? On the way back from Napa, just as the sun was going down, we stopped off and went up... read more",2,"1,731",415-331-1540,Marin County,"Golden Gate National Recreation Area , CA 94965",-122.5177517,37.8499275,https://www.tripadvisor.com/Attraction_Review-g155988-d103182-Reviews-Marin_Headlands-Marin_County_California.html,marin_county.json
Chinatown,,"A fairly large China Town in the city, recommend finding a place to stop and enjoy dim sum since fairly inexpensive. Not prettiest area to walk around in, but worth getting the... read more",54,"3,955",+1 888-212-3203,San Francisco,"Grant Avenue , San Francisco , CA 94108",-122.4051522,37.788237,https://www.tripadvisor.com/Attraction_Review-g60713-d108679-Reviews-Chinatown-San_Francisco_California.html,san_francisco.json
Legion of Honor,"Art Museums , Museums ","When in town, if there's a special exhibition here, I usually make time to attend. This time it was for the Brothers Nain, French artists of the 17th century who painted... read more",17,"1,460",+1 415-750-3600,San Francisco,"34th Avenue & Clement Street , Lincoln Park , San Francisco , CA 94121",,,https://www.tripadvisor.com/Attraction_Review-g60713-d156333-Reviews-Legion_of_Honor-San_Francisco_California.html,san_francisco.json
Aquatic Park,"Neighborhood: Fisherman’s Wharf Neighborhoods , Sights & Landmarks , Other, Nature & Parks",Just at the end of fishermans wharf. nice walk out the pier and a super view of The Rock. Nice place to relax from the hussle and bussle of fishermans wharf. grab a book and relax... read more,125,42,(415) 447-5000,San Francisco,"499 Jefferson St , San Francisco Maritime National Historical Park , San Francisco , CA 94109-1314",,,https://www.tripadvisor.com/Attraction_Review-g60713-d104950-Reviews-Aquatic_Park-San_Francisco_California.html,san_francisco.json
Bill Dan Balancing Rocks,,"This guy is AMAZING!! How he came up with this I'll never know, but I love the fact that he works on the rocky shoreline (in Sausalito near the main walkway), where no one else... read more",11,47,,Sausalito,"Bridgeway Waterfront , Sausalito , CA 94966",,,https://www.tripadvisor.com/Attraction_Review-g33062-d3502389-Reviews-Bill_Dan_Balancing_Rocks-Sausalito_Marin_County_California.html,sausalito.json
Stinson Beach,,"This beach is crowdy, especially on week-ends. But the drive to the beach is amazing. The upkeep is not okay. Still spending sometime here can be rejuvenating.",1,102,(415) 868-1922,Stinson Beach,"1 Calle Del Resaca , Stinson Beach , CA 94970-9706",,,https://www.tripadvisor.com/Attraction_Review-g33128-d7919980-Reviews-Stinson_Beach-Stinson_Beach_Marin_County_California.html,stinson_beach.json
Chinese Historical Society of America,,The upstairs exhibits give you a good but limited overview of the history of Chinatown and can be covered in 20-30 minutes. The real jewel of this place is the downstairs... read more,213,20,+1 415-391-1188,San Francisco,"965 Clay St , Chinatown , San Francisco , CA 94108-1527",,,https://www.tripadvisor.com/Attraction_Review-g60713-d145241-Reviews-Chinese_Historical_Society_of_America-San_Francisco_California.html,san_francisco.json
Sutro Baths,"Neighborhood: The Richmond Historic Sites , Sights & Landmarks ",Amazing piece of San Francisco's history. To look at these ruins and imagine what it was like back in the day! What a neat place and spectacular views and great place to watch... read more,64,257,+1 415-561-4323,San Francisco,"Point Lobos , San Francisco , CA",,,https://www.tripadvisor.com/Attraction_Review-g60713-d3242904-Reviews-Sutro_Baths-San_Francisco_California.html,san_francisco.json
Sea Lion Center,"Neighborhood: Fisherman’s Wharf Nature & Wildlife Areas , Zoos & Aquariums , Nature & Parks","It is located at the end of Pier 39. Before reaching the destination, you will come across many restaurants and souvenir shops. I came here at 9:30am this morning before visiting... read more",105,75,+1 415-262-4734,San Francisco,"The Embarcadero at Beach Street , c/o Aquarium of the Bay , San Francisco , CA 94133",,,https://www.tripadvisor.com/Attraction_Review-g60713-d6352219-Reviews-Sea_Lion_Center-San_Francisco_California.html,san_francisco.json
Stow Lake,"Neighborhood: Golden Gate Park Bodies of Water , Nature & Parks ",We visited Stow Lake (family of four; kids ages 8 and 12) on a Monday in June. It was very peaceful. We brought a picnic lunch and enjoyed it at the boathouse area. After eating... read more,127,72,415 752 0347,San Francisco,"50 Stow Lake Drive , Golden Gate Park , San Francisco , CA 94118",,,https://www.tripadvisor.com/Attraction_Review-g60713-d104942-Reviews-Stow_Lake-San_Francisco_California.html,san_francisco.json
Kong Chow Temple,,It claims to be one of the oldest temple in US. Temple timing is from 9-4. It's not that big and is on 3rd floor.,412,3,+1 415-788-1339,San Francisco,"855 Stockton St , San Francisco , CA 94108-2175",,,https://www.tripadvisor.com/Attraction_Review-g60713-d557319-Reviews-Kong_Chow_Temple-San_Francisco_California.html,san_francisco.json
Japanese Tea Garden,"Gardens , Nature & Parks ","To walk around this beautiful, fantastically well kept japanese garden brings peace and joy to my heart.. when possible try to get a seat at the tea bar and enjoy the fantastic... read more",40,"2,237",+1 415-752-4227,San Francisco,"Golden Gate Park , San Francisco , CA 94117",-122.4663048,37.7734254,https://www.tripadvisor.com/Attraction_Review-g60713-d142415-Reviews-Japanese_Tea_Garden-San_Francisco_California.html,san_francisco.json
Filbert Steps,"Neighborhood: North Beach / Telegraph Hill Historic Walking Areas , Sights & Landmarks ","Easy to park on the street at the bottom - pay and display. The walk up isn't that far, passing really nice looking houses. Even saw some parrots hanging out in the trees. Good... read more",41,352,,San Francisco,"Sansome St. & Filbert St. , San Francisco , CA",,,https://www.tripadvisor.com/Attraction_Review-g60713-d142463-Reviews-Filbert_Steps-San_Francisco_California.html,san_francisco.json
16th Avenue Tiled Steps,"Scenic Walking Areas , Points of Interest & Landmarks , Sights & Landmarks",I love the stairs. The design of from the bottom of the ocean to the top of the sky is incredible and moving. The new staircase is lovely too. It is very colorful and you should... read more,44,325,,San Francisco,"Moraga St , between 15th & 16th Ave , San Francisco , CA 94122",,,https://www.tripadvisor.com/Attraction_Review-g60713-d3440316-Reviews-16th_Avenue_Tiled_Steps-San_Francisco_California.html,san_francisco.json
Ripley s Believe It or Not! San Francisco,,"Was okay. Interesting in some aspects but I've been to a different location previously, and some was more of the same that I have seen before. Interesting overall. Tourist... read more",146,177,+1 415-202-9850,San Francisco,"175 Jefferson St , San Francisco , CA 94133-1201",,,https://www.tripadvisor.com/Attraction_Review-g60713-d2420049-Reviews-Ripley_s_Believe_It_or_Not_San_Francisco-San_Francisco_California.html,san_francisco.json
de Young Museum,"Specialty Museums , Museums ","The de Young museum located at Golden Gate Park holds frequent traveling art shows, such as the Mayan Exhibition and Egyptian Exposition...also has a permanent array of paintings... read more",29,"1,450",+1 415-750-3600,San Francisco,"50 Hagiwara Tea Garden Dr , Golden Gate Park , San Francisco , CA 94118-4502",,,https://www.tripadvisor.com/Attraction_Review-g60713-d127943-Reviews-De_Young_Museum-San_Francisco_California.html,san_francisco.json
California Academy of Sciences,"Neighborhood: Golden Gate Park Educational sites , Natural History Museums , Science Museums , Observatories & Planetariums , Zoos & Aquariums , Nature & Parks , Sights & Landmarks , Museums , More ",My wife and I are both in our early 50’s. Just the two of us went. We wondered if this would be very enjoyable or not without kids. We loved it. We spent about 3 hours here... read more,14,"4,171",+1 415-379-8000,San Francisco,"55 Music Concourse Dr , Golden Gate Park , San Francisco , CA 94118-4503",,,https://www.tripadvisor.com/Attraction_Review-g60713-d117078-Reviews-California_Academy_of_Sciences-San_Francisco_California.html,san_francisco.json
Shakespeare Garden,,"This garden is simply one of the most peaceful places I""ve been. It's the kind of place that I would visit all the time if I lived in SF.",290,5,415-831-5500,San Francisco,"55 Music Concourse Dr , San Francisco , CA 94118-4503",,,https://www.tripadvisor.com/Attraction_Review-g60713-d8779371-Reviews-Shakespeare_Garden-San_Francisco_California.html,san_francisco.json
National AIDS Memorial Grove,,"We were at a birthday party for a friend at The AIDS Memorial Grove this weekend. First, the weather in the city was around 78 degrees..unheard of! There was not a cloud in the... read more",186,18,+1 415-750-8340,San Francisco,"856 Stanyan St , Golden Gate Park , San Francisco , CA 94117-2752",,,https://www.tripadvisor.com/Attraction_Review-g60713-d311692-Reviews-National_AIDS_Memorial_Grove-San_Francisco_California.html,san_francisco.json
Golden Gate Park Windmills & Tulips,,Who knew that situated in Golden Gate Park on the far western end across the road from Ocean Beach was a tulip garden and Dutch Windmill? Well worth the stop for the peace and... read more,153,28,+1 415-263-0991,San Francisco,"1691 John F Kennedy Dr , San Francisco , CA 94121",-122.5110265,37.7704516,https://www.tripadvisor.com/Attraction_Review-g60713-d7998276-Reviews-Golden_Gate_Park_Windmills_Tulips-San_Francisco_California.html,san_francisco.json
San Francisco Botanical Garden,"Gardens , Nature & Wildlife Areas , Nature & Parks ",We are still working our way through Nat Geo's best public gardens and the San Francisco Botanical Garden is certainly deserving of being on the list. We were actually killing... read more,42,532,(415) 661-1316,San Francisco,"1199 9th Ave , Golden Gate Park , San Francisco , CA 94122",,,https://www.tripadvisor.com/Attraction_Review-g60713-d104952-Reviews-San_Francisco_Botanical_Garden-San_Francisco_California.html,san_francisco.json
Telegraph Hill,"Neighborhood: North Beach / Telegraph Hill Historic Walking Areas , Observation Decks & Towers , Points of Interest & Landmarks , Lookouts , Sights & Landmarks , More ","This is a hefty hill, so be ready for a workout. It's iconic and historic for being the first place in San Francisco with a telegraph line.",82,209,,San Francisco,"Lombard Street at Kearny Street , North Beach , San Francisco , CA",,,https://www.tripadvisor.com/Attraction_Review-g60713-d105361-Reviews-Telegraph_Hill-San_Francisco_California.html,san_francisco.json
Asian Art Museum,"Neighborhood: Civic Center Art Museums , Museums",I confess my review is a bit belated as we visited during the Emperor's Treasure's Exhibition which was superbly curated with both art objects and history. But we did extend our... read more,21,"1,115",415 581 3500,San Francisco,"200 Larkin St , San Francisco , CA 94102-4734",,,https://www.tripadvisor.com/Attraction_Review-g60713-d103857-Reviews-Asian_Art_Museum-San_Francisco_California.html,san_francisco.json
Queen Wilhelmina Garden,,The Queen Wilhelmina Garden is located at the base of the northernmost Dutch windmill along Ocean Beach. The mostly tulip garden with other blooming flowers mixed in was... read more,250,15,,San Francisco,"1690 John F Kennedy Drive , San Francisco , CA",-122.4667523,37.7725658,https://www.tripadvisor.com/Attraction_Review-g60713-d2624522-Reviews-Queen_Wilhelmina_Garden-San_Francisco_California.html,san_francisco.json
Art for Children at the de Young Museum,,"We held our son's 4th birthday party at the de Young and it was fantastic. We had a private docent tour of the amazing African mask exhibit. Afterwards, our group gathered in a... read more",404,2,+1 415-863-3330,San Francisco,"Eighth Ave. at John F. Kennedy Dr. , San Francisco , CA",,,https://www.tripadvisor.com/Attraction_Review-g60713-d156293-Reviews-Art_for_Children_at_the_de_Young_Museum-San_Francisco_California.html,san_francisco.json
Beach Chalet,,"We got a recommendation to visit The Beach Chalet while on our long weekend getaway to San Francisco. Although we were told you don't need a reservation, we phoned for one... read more",183,77,+1 415-386-8439,San Francisco,"1000 Great Hwy , Between Lincoln and Fulton , San Francisco , CA 94121-3268",,,https://www.tripadvisor.com/Attraction_Review-g60713-d156308-Reviews-Beach_Chalet-San_Francisco_California.html,san_francisco.json
Little Italy,"Neighborhood: North Beach / Telegraph Hill Neighborhoods , Other, Sights & Landmarks ","San Francisco was founded by many different type of immigrants...Chinese, Hispanic, Japanese and Italian. Little Italy offers a multitude of great restaurants, coffee shops and... read more",72,261,,San Francisco,"San Francisco , CA",-122.4629896,37.7647993,https://www.tripadvisor.com/Attraction_Review-g60713-d142403-Reviews-Little_Italy-San_Francisco_California.html,san_francisco.json
Orpheum Theatre,,"The Orpheum is SFs best opera house, great acoustics and seating views. I saw ""Phantom of the Opera"" here years back, and it was an awesome experience...tickets not as pricey as... read more",78,208,+1 415-551-2000,San Francisco,"1192 Market St , San Francisco , CA 94102-4928",,,https://www.tripadvisor.com/Attraction_Review-g60713-d156586-Reviews-Orpheum_Theatre-San_Francisco_California.html,san_francisco.json
Camera Obscura,,"Novel option for looking at a great scenery. Not worth standing in line for, but a cool option if you are in the area and have the time",189,21,+1 415-750-0415,San Francisco,"1096 Point Lobos Ave , San Francisco , CA 94121-1449",,,https://www.tripadvisor.com/Attraction_Review-g60713-d254548-Reviews-Camera_Obscura-San_Francisco_California.html,san_francisco.json
Sutro Heights Park,,Sutro Heights is a great place to get away from it all. You can wander through grounds of Adolph Sutro's estate and work your way over to ocean view and soak it all... read more,177,24,+1 415-561-4323,San Francisco,"48th Ave & Point Lobos Ave , San Francisco , CA 94121",,,https://www.tripadvisor.com/Attraction_Review-g60713-d3267601-Reviews-Sutro_Heights_Park-San_Francisco_California.html,san_francisco.json
USS San Francisco Memorial,,We stopped here because the parking was easier than for Sutro Baths. I had no idea about the history of Guadalcanal and was sobered by the loss of life and change in direction of... read more,242,13,415-334-0263,San Francisco,"2400 El Camino Del Mar , San Francisco , CA 94121",-122.510055933305,37.7822305815603,https://www.tripadvisor.com/Attraction_Review-g60713-d7212042-Reviews-USS_San_Francisco_Memorial-San_Francisco_California.html,san_francisco.json
San Francisco Ballet,,"I have season subscription tickets to the ballet as they are truly worth it. Imaginative programming, mixing old and new works. Great dance corps that continues to reach new... read more",102,122,+1 415-703-9400,San Francisco,"401 Van Ness Ave , (between McAllister and Fell Sts) , San Francisco , CA 94102-4522",,,https://www.tripadvisor.com/Attraction_Review-g60713-d142414-Reviews-San_Francisco_Ballet-San_Francisco_California.html,san_francisco.json
San Francisco Symphony,,"We are Hitchcock fans so this was a must see! Symphony played the background music to Alfred Hitchcock's movie Vertigo. To top it off, Kim Novak who starred with Jimmy Stewart... read more",80,216,+1 415-864-6000,San Francisco,"201 Van Ness Ave , San Francisco , CA 94102-4585",,,https://www.tripadvisor.com/Attraction_Review-g60713-d142413-Reviews-San_Francisco_Symphony-San_Francisco_California.html,san_francisco.json
Grand View Park,,"Sure, it's worth the climb for the extraordinary view. ""Just do it"" and bring your camera. You won't be disappointed.",136,35,,San Francisco,"14th and 15th Avenues, Sunset District , San Francisco , CA",,,https://www.tripadvisor.com/Attraction_Review-g60713-d4180173-Reviews-Grand_View_Park-San_Francisco_California.html,san_francisco.json
SFJazz Center,,"SF Jazz is a unique venue in that it is dedicated to jazz music, jazz appreciation and the development of jazz musicians. It promotes and depends on its membership to fully fund... read more",141,39,+1 866-920-5299,San Francisco,"201 Franklin St , San Francisco , CA 94102-5108",,,https://www.tripadvisor.com/Attraction_Review-g60713-d3844100-Reviews-SFJazz_Center-San_Francisco_California.html,san_francisco.json
TIX Bay Area,,Visited twice and got tickets for City of Angels and The Rules; both Playhouse productions. Kat served us on both occasions and was really friendly. Overheard her colleague... read more,316,11,+1 415-430-1140,San Francisco,"350 Powell St , Union Square - between Geary & Post , San Francisco , CA 94102-1813",,,https://www.tripadvisor.com/Attraction_Review-g60713-d3410479-Reviews-TIX_Bay_Area-San_Francisco_California.html,san_francisco.json
SHN Curran Theatre,,with great shows. I took my mother to see I Love Lucy and she really enjoyed it. The seats were wider than other theaters so we didnt feel sqished. The only thing is that the... read more,236,24,,San Francisco,"445 Geary St , San Francisco , CA 94102-1222",,,https://www.tripadvisor.com/Attraction_Review-g60713-d4039071-Reviews-SHN_Curran_Theatre-San_Francisco_California.html,san_francisco.json
Nordstrom,"Neighborhood: SoMa Department Stores , Shopping","Its very close to union square, you can reach by cable car. Its a big department store. Inside the building try spiral escalator, its surprising",133,58,+1 415-243-8500,San Francisco,"865 Market St. at Fifth St. , San Francisco , CA",,,https://www.tripadvisor.com/Attraction_Review-g60713-d156581-Reviews-Nordstrom-San_Francisco_California.html,san_francisco.json
Glide Memorial United Methodist Church,"Sacred & Religious Sites , Sights & Landmarks","Visiting now in Oct San Francisco, we knew about the Gospel chor and the ""kind"" of Mess in this Church. We went there for 11.00 am on Sunday, in the 1st floor, there were still... read more",119,93,+1 415-771-6000,San Francisco,"330 Ellis St , West of Union Square , San Francisco , CA 94102-2735",,,https://www.tripadvisor.com/Attraction_Review-g60713-d143985-Reviews-Glide_Memorial_United_Methodist_Church-San_Francisco_California.html,san_francisco.json
Martin Lawrence Galleries,,The Martin Lawrence galleries are represented internationally and carry a diverse collection of top notch art. Their spacious San Francisco gallery is an absolute joy to browse... read more,327,4,+1 415-956-0345,San Francisco,"366 Geary St , San Francisco , CA 94102-1802",,,https://www.tripadvisor.com/Attraction_Review-g60713-d3936108-Reviews-Martin_Lawrence_Galleries-San_Francisco_California.html,san_francisco.json
San Francisco Visitor Information Center,"Neighborhood: Union Square Visitor Centers , Traveler Resources","The Visitor Information Center may not look like much and it’s a little hidden, one level down from street level at Powell and Market St., but don’t let appearances deceive you... read more",155,59,+1 415-391-2000,San Francisco,"900 Market St , Lower Hallidie Plaza near the Powell BART Station , San Francisco , CA 94102-2804",,,https://www.tripadvisor.com/Attraction_Review-g60713-d3505807-Reviews-San_Francisco_Visitor_Information_Center-San_Francisco_California.html,san_francisco.json
Market Street,,"This is still a place to come and shop at individual market stalls. Some of the items are a bit on the expensive side, but it's nice if you're a shopper.",94,409,,San Francisco,"Market Street , San Francisco , CA",-122.4430705,37.7515184,https://www.tripadvisor.com/Attraction_Review-g60713-d144424-Reviews-Market_Street-San_Francisco_California.html,san_francisco.json
The Flood Building,,My wife and I recently became acquainted with The Flood Building during an architectural tour of San Francisco that we took on a recent visit to this great city. The Flood... read more,244,12,,San Francisco,"870 Market St , San Francisco , CA 94102-3001",,,https://www.tripadvisor.com/Attraction_Review-g60713-d559452-Reviews-The_Flood_Building-San_Francisco_California.html,san_francisco.json
Museum of Craft and Design,,"On our first visit, they were preparing for their next exhibition , so could only look through the book store section. Very helpful staff and some very interesting books and bits... read more",284,9,+1 415-773-0303,San Francisco,"Third Street & 22nd Avenue, Dogpatch neighborhood , San Francisco , CA 94107",,,https://www.tripadvisor.com/Attraction_Review-g60713-d5293412-Reviews-Museum_of_Craft_and_Design-San_Francisco_California.html,san_francisco.json
Clarion Alley Murals,,"Clarion Alley boasts more wonderful, colorful murals free for the viewing. Many of the murals in this alley are political in nature, especially regarding the gentrification of... read more",144,39,,San Francisco,"Clarion Alley , San Francisco , CA 94103",-122.4194974,37.7630497,https://www.tripadvisor.com/Attraction_Review-g60713-d7827116-Reviews-Clarion_Alley_Murals-San_Francisco_California.html,san_francisco.json
Mission District,,"The Mission District is a diverse area of the city...once a virtial melting pot of cultures, Chinese, Phillipino, Mexican and Eurooean. Now mostly Hispanic, has many good Mexican... read more",79,374,,San Francisco,"Mission St. between 16th and Army Sts. , San Francisco , CA",,,https://www.tripadvisor.com/Attraction_Review-g60713-d220163-Reviews-Mission_District-San_Francisco_California.html,san_francisco.json
Union Street,"Neighborhood: Marina District Neighborhoods , Points of Interest & Landmarks , Other, Sights & Landmarks ","This is a long street in San Francisco, but it's unique in that it's the only street with two-way traffic through the Russian Hill neighborhood.",111,91,+1 415-441-7055,San Francisco,"Union Street Association: 1686 Union St. , Cow Hollow , San Francisco , CA 94123",,,https://www.tripadvisor.com/Attraction_Review-g60713-d127868-Reviews-Union_Street-San_Francisco_California.html,san_francisco.json
Queen Anne Victorians,,houses are really pretty. Its a movie location and easy to reach and park the car. Keep quiet while taking picture in front of the house since people are living in the houses.,200,13,,San Francisco,"700 block of Steiner Street , San Francisco , CA",,,https://www.tripadvisor.com/Attraction_Review-g60713-d106239-Reviews-Queen_Anne_Victorians-San_Francisco_California.html,san_francisco.json
Dragon's Gate,,"Unfortunately, many of the businesses at the gate entrance are not Chinese and seem a tad shady as the proprietors try to hustle their goods. Grant Ave is a nice walk to get the... read more",229,21,,San Francisco,"Bush St , San Francisco , CA 94108",-122.4036969,37.7908124,https://www.tripadvisor.com/Attraction_Review-g60713-d8660947-Reviews-Dragon_s_Gate-San_Francisco_California.html,san_francisco.json
